프로그램번호,년도,방학구분,프로그램 시작날짜,프로그램 종료날짜,온라인구분,어린이 인원,청소년 인원,학부모 인원
1,2010,여름,07월 16일,08월 31일,X,415,21,0
2,2011,겨울,01월 01일,02월 28일,X,242,2,171
3,2011,여름,07월 16일,08월 31일,X,352,20,265
4,2012,겨울,01월 01일,01월 31일,X,261,21,178
5,2012,여름,07월 21일,08월 31일,X,290,8,363
6,2012,겨울,12월 22일,12월 31일,X,12,2,7
7,2013,겨울,01월 01일,02월 03일,X,409,19,317
8,2013,여름,07월 02일,08월 31일,X,318,4,224
9,2013,겨울,12월 21일,12월 31일,X,10,0,8
10,2014,겨울,01월 01일,01월 26일,X,158,9,109
11,2014,여름,07월 25일,08월 31일,X,500,27,381
12,2014,겨울,12월 29일,12월 31일,X,83,0,58
13,2015,겨울,01월 01일,01월 31일,X,252,5,189
14,2015,여름,07월 18일,08월 16일,X,187,0,127
15,2015,겨울,12월 26일,12월 31일,X,2,0,1
16,2016,겨울,01월 01일,01월 31일,X,92,0,116
17,2016,여름,07월 23일,08월 21일,X,389,20,326
18,2017,겨울,01월 01일,02월 05일,X,151,0,112
19,2017,여름,07월 24일,08월 27일,X,312,20,213
20,2017,겨울,12월 23일,12월 31일,X,0,7,7
21,2018,겨울,01월 01일,02월 25일,X,89,3,54
22,2018,여름,07월 27일,08월 26일,X,187,29,129
23,2018,겨울,12월 21일,12월 31일,X,16,1,9
24,2019,겨울,01월 01일,02월 28일,X,66,0,56
25,2019,여름,07월 27일,08월 31일,X,221,2,169
26,2019,겨울,12월 28일,12월 31일,X,13,0,13
27,2020,여름,07월 24일,08월 03일,O,294,0,0
28,2021,겨울,01월 08일,02월 28일,O,2318,0,0
29,2022,여름,07월 22일,08월 28일,X,90,0,65
30,2022,겨울,12월 23일,12월 31일,X,7,0,6
31,2022,겨울,01월 01일,02월 26일,X,41,0,35
32,2023,여름,07월 25일,08월 27일,X,117,2,85
33,2023,겨울,12월 22일,02월 25일,X,31,0,29
34,2024,여름,07월 29일,08월 31일,X,71,0,70
