년도,일정,강의주제,신청학교,인원
2012,02월 16일,광고의 이해,HR에듀테인먼트,80
2012,04월 05일,뉴 트렌드 광고,숭실대 정보사회학과,78
2012,04월 12일,광고의 이해,경기시흥 송운중,33
2012,04월 24일,광고의 이해,여주대 시각디자인과,52
2012,05월 02일,광고의 이해,어린이경제신문,35
2012,07월 04일,광고의 이해,어린이경제신문,35
2012,09월 05일,광고의 이해,어린이경제신문,34
2012,05월 02일,뉴 트렌드 광고,성공회대 신문방송학과,13
2012,05월 04일,광고의 이해,대명중 ,36
2012,05월 22일,광고의 이해,협성대학교 광고홍보영상학과,48
2012,06월 13일,광고의 이해,경기안양 평촌경영고,126
2012,07월 11일,광고의 이해,압구정중,18
2012,07월 13일,광고의 이해,도곡중학교,35
2012,07월 18일,광고의 이해,분당정보산업고 ,77
2012,08월 01일,크리에이티브,열광(전국청소년광고동아리),50
2012,09월 12일,광고의 이해,압구정중,18
2012,09월 14일,광고인이 되는 길,동의대 광고홍보학과,18
2012,09월 26일,광고회사 입성 전략,부산경상대 광고마케팅과,40
2012,10월 01일,광고의 이해,압구정중,17
2012,11월 12일,광고제작과정,평택대 광고홍보학과,39
2012,11월 14일,광고의 이해,압구정중,17
2012,12월 18일,광고의 이해,도곡중학교,35
2013,02월 02일,광고제작 현장의 이해,영산대 광고홍보학과,24
2013,04월 01일,광고의 이해,상지대 언론광고학부,69
2013,04월 09일,광고의 이해,분당경영고,102
2013,04월 17일,광고의 이해,상계제일중,36
2013,05월 07일,광고의 이해,협성대학교 미디어광고영상학부,48
2013,05월 29일,광고의 이해,세종대 신문방송학과,60
2013,06월 27일,광고 디자인의 이해,우송대 미디어디자인학부,36
2013,07월 11일,광고기획과 광고라는 직업,경희여중,15
2013,07월 16일,광고의 이해,상계제일중,35
2013,07월 16일,광고의 이해,신관중,31
2013,08월 01일,광고의 이해,열광(전국청소년광고동아리),42
2013,08월 01일,광고의 이해,여의도여고 광고동아리,6
2013,08월 14일,광고의 이해,청주청소년광고연합동아리,43
2013,10월 27일,광고의 이해,경기 화성고 광고동아리,21
2013,11월 12일,광고제작과정의 이해,평택대 광고홍보학과,37
2013,11월 21일,광고매체의 이해,중부대 광고홍보학과,92
2014,03월 31일,광고의 이해,상지대 언론광고학부,67
2014,05월 28일,광고의 이해,협성대 미디어광고영상학부 ,53
2014,06월 11일,광고의 이해,한국기술교육대 산업경영학부,24
2014,06월 13일,광고의 이해,광남고,24
2014,06월 13일,광고의 이해,풍성중,16
2014,06월 13일,광고의 이해,인천여고,18
2014,06월 14일,광고의 이해,상일여고,27
2014,06월 14일,광고의 이해,북일여고 동아리,7
2014,07월 04일,광고의 이해,한국사보협회,15
2014,08월 13일,광고의 이해,열광(전국청소년광고동아리),19
2014,08월 14일,광고의 이해,열광(전국청소년광고동아리),19
2014,09월 05일,광고의 이해,부광여고 광고동아리,17
2014,09월 26일,광고의 이해,경기여고 마케팅동아리,22
2014,10월 21일,광고의 이해,두원공과대학 방송영상제작전공,43
2014,10월 27일,광고의 이해,세종대 신문방송학과,23
2014,11월 11일,광고 크리에이티브,평택대 광고홍보학과,51
2014,11월 11일,광고 홍보 영상 미디어의 변화,동덕여대 미디어디자인과,13
2014,11월 27일,광고의 이해,한국예술원 방송연예예술학부,19
2015,03월 25일,광고의 이해,한국방송예술교육진흥원 광고제작과,11
2015,04월 08일,광고의 이해,한국기술교육대학교 산업경영학부,11
2015,04월 08일,광고의 이해,한양사대부고 경제동아리,21
2015,04월 10일,광고의 이해,영동고 광고동아리,23
2015,05월 02일,광고의 이해,의정부교육청,20
2015,05월 02일,광고의 이해,국제대 광고디자인전공,7
2015,05월 08일,광고의 이해,호원고 광고동아리,20
2015,05월 12일,광고의 이해,상지대 언론광고학부,61
2015,05월 22일,광고의 이해,도농고 ,20
2015,06월 13일,광고의 이해,중산고,12
2015,06월 13일,광고의 이해,상일여고,26
2015,06월 17일,광고의 이해,한성대 미디어디자인컨텐츠학부 시각영상디자인전공,29
2015,06월 19일,광고의 이해,서울호서직업전문학교,52
2015,07월 31일,광고의 이해,한국사보협회,15
2015,08월 29일,광고의 이해,속초여고,10
2015,10월 22일,광고 크리에이티브,영산대 광고홍보학과,34
2016,03월 12일,광고의 이해,을지대 의료홍보디자인학과,14
2016,03월 15일,광고의 이해,숙명여대 홍보광고학과,15
2016,04월 02일,광고의 이해,상지대 언론광고학부 ,46
2016,04월 07일,광고회사의 이해,숭실대 정보사회학과,56
2016,04월 23일,광고와 박물관의 이해,남서울대 영상예술디자인학과,12
2016,05월 03일,광고와 박물관의 이해,홍익대 광고홍보학부,37
2016,05월 12일,광고와 박물관의 이해,서울호서예술실용전문학교 영상사진예술학부,15
2016,05월 18일,광고와 박물관의 이해,인헌고 광고진로동아리,31
2016,05월 18일,광고와 박물관의 이해,서원고 광고동아리,25
2016,06월 11일,광고 기획의 이해 (PT발표),상일여고,26
2016,06월 22일,광고와 박물관의 이해,아주대 경영대학 경력개발센터,18
2016,11월 24일,광고와 박물관의 이해,제주대 생활환경복지학부,28
2017,04월 03일,광고박물관의 이해,상지대 언론광고학부,53
2017,04월 05일,광고박물관의 이해,수원대 미디어커뮤니케이션학과,52
2017,05월 27일,광고박물관의 이해,한국외대 미디어커뮤니케이션학부,21
2017,06월 07일,광고와 박물관의 이해,별내고 광고홍보동아리,17
2017,06월 01일,광고제작 발표 및 코칭,상일여고,23
