지원년도,접수번호,지원매체,지역,제작 건수,제작 초수,제작비(원)
2019,2019010009,TV,부산,2,15,86000000
2019,2019010012,TV,경기,2,"15,30",100000000
2019,2019010018,TV,서울,1,15,60000000
2019,2019010021,TV,경기,2,"15,30",210000000
2019,2019010028,TV,경기,1,15,100000000
2019,2019010029,TV,서울,3,15,506878500
2019,2019010036,TV,경기,1,15,209250000
2019,2019010037,TV,경기,3,"15,20,30",112000000
2019,2019010039,TV,서울,3,"15,20,30",140000000
2019,2019010042,TV,강원,1,15,101630000
2019,2019010043,TV,경기,4,"15,20,30",100000000
2019,2019010049,TV,경기,2,"15,30",50000000
2019,2019010057,TV,인천,5,"15,20",132000000
2019,2019010058,TV,광주,1,15,85000000
2019,2019010063,TV,서울,4,"15,30",100000000
2019,2019010069,TV,서울,2,"15,30",110000000
2019,2019010071,TV,충북,3,"15,20,30",100060000
2019,2019010074,TV,서울,1,20,100000000
2019,2019010075,TV,전남,1,15,105000000
2019,2019010076,TV,서울,6,15,168500000
2019,2019010077,TV,경기,1,60,50000000
2019,2019010088,TV,서울,2,"15,30",100000000
2019,2019010092,TV,경기,1,20,65000000
2019,2019010101,TV,경기,5,15,45000000
2019,2019010107,TV,전남,1,15,100000000
2019,2019020003,TV,대전,3,"15,20,30",252604000
2019,2019020005,TV,대전,2,"15,30",187052244
2019,2019020012,TV,서울,2,"15,30",118400000
2019,2019020018,TV,경남,2,"15,30",179722000
2019,2019020026,TV,서울,3,"15,20,30",70000000
2019,2019020047,TV,서울,2,20,103242000
2019,2019020049,TV,서울,1,15,255095825
2019,2019020054,TV,경기,3,"15,30",103624077
2019,2019020055,TV,전남,3,"15,20,30",100000000
2019,2019020059,TV,서울,2,15,110000000
2019,2019020060,TV,부산,1,15,85000000
2019,2019020075,TV,서울,1,15,175000000
2019,2019020077,TV,서울,1,15,112516500
2019,2019020078,TV,서울,2,"15,30",142000000
2019,2019020080,TV,경기,2,"15,30",115800000
2019,2019020082,TV,서울,1,15,100000000
2019,2019020083,TV,서울,1,15,191720000
2019,2019020092,TV,서울,2,"15,30",221000000
2019,2019010005,RADIO,서울,1,20,5000000
2019,2019010006,RADIO,서울,1,20,5050000
2019,2019010007,RADIO,서울,2,20,5200000
2019,2019010013,RADIO,인천,1,20,5500000
2019,2019010014,RADIO,경기,2,20,5000000
2019,2019010017,RADIO,대구,1,20,4800000
2019,2019010019,RADIO,서울,1,20,6000000
2019,2019010020,RADIO,경기,2,20,3790000
2019,2019010035,RADIO,경기,1,20,3300000
2019,2019010040,RADIO,서울,1,20,5000000
2019,2019010044,RADIO,충북,1,20,7000000
2019,2019010048,RADIO,부산,1,20,1100000
2019,2019010050,RADIO,대구,1,20,5000000
2019,2019010051,RADIO,서울,1,20,4700000
2019,2019010053,RADIO,경기,1,20,9600000
2019,2019010054,RADIO,서울,1,20,4750000
2019,2019010059,RADIO,경기,1,20,4900000
2019,2019010060,RADIO,전북,1,20,2900000
2019,2019010062,RADIO,경기,1,20,7000000
2019,2019010064,RADIO,경기,1,20,5000000
2019,2019010087,RADIO,서울,1,20,5000000
2019,2019010103,RADIO,부산,1,20,5000000
2019,2019010113,RADIO,서울,1,20,5000000
2019,2019020017,RADIO,서울,1,20,3200000
2019,2019020023,RADIO,서울,1,20,6000000
2019,2019020031,RADIO,서울,1,20,4800000
2019,2019020041,RADIO,서울,2,20,4900000
2019,2019020042,RADIO,경기,2,15,6900000
2019,2019020053,RADIO,경기,1,20,3400000
2019,2019020067,RADIO,경기,2,20,4600000
2019,2019020088,RADIO,서울,1,20,2100000
2019,2019020089,RADIO,전북,1,20,3700000
2020,202010002,TV,경기,2,20,90000000
2020,202010004,TV,서울,2,15,128500000
2020,202010006,TV,전북,3,"15,20,30",90000000
2020,202010017,TV,서울,1,15,90910000
2020,202010018,TV,경기,2,"15,30",227272727
2020,202010023,TV,강원,1,15,90000000
2020,202010024,TV,서울,4,"15,30",76851817
2020,202010029,TV,서울,2,"15,30",90000000
2020,202010031,TV,서울,1,15,283750000
2020,202010033,TV,서울,1,15,165000000
2020,202010039,TV,서울,3,15,1880500000
2020,202010047,TV,서울,2,"15,20",90000000
2020,202010048,TV,서울,1,30,80000000
2020,202010055,TV,서울,2,15,128038500
2020,202010057,TV,서울,1,15,65000000
2020,202010059,TV,서울,2,"15,30",201876310
2020,202010061,TV,경기,3,"15,30",98000000
2020,202010067,TV,경기,1,30,60000000
2020,202010073,TV,충남,1,15,90000000
2020,202010078,TV,서울,1,15,82560000
2020,202010081,TV,경기,3,"15,20,30",72252000
2020,202010082,TV,서울,2,"15,30",90950000
2020,202010089,TV,서울,4,"15,20",90000000
2020,202010092,TV,경기,1,15,100000000
2020,202010095,TV,인천,2,"15,30",90000000
2020,202010099,TV,경기,2,"15,30",90000000
2020,202010104,TV,경기,2,15,77272730
2020,202010106,TV,서울,2,15,100000000
2020,202010109,TV,경기,1,15,150000000
2020,202010115,TV,서울,1,30,80000000
2020,202010116,TV,서울,5,"15,30",156838500
2020,2020020013,TV,충남,2,"15,30",167883609
2020,2020020014,TV,서울,1,20,120000000
