번호,년도,대분류,중분류,소분류,광고주,제품
태평양001,1967,화장품 및 보건용품,여성 색조화장품,파우더,태평양화학,코-티粉
태평양002,1967,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,몽블랑 크림
태평양003,1966,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,2월 달력
태평양004,1967,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,5월 달력
태평양005,1968,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,3월 달력
태평양006,1969,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,11월 달력
태평양007,1963,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,태평양 화장품
태평양008,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,1월 달력
태평양009,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,1월 달력
태평양010,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,1-2월 달력
태평양011,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,아모레 타미나화장품 11-12월 달력
태평양012,1981,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,명화시리즈
태평양013,1982,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,명화시리즈
태평양014,1983,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,외국풍경
태평양015,1984,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,외국풍경
태평양016,1985,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양017,1986,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양018,1987,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양019,1988,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,명화시리즈
태평양020,1989,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,새시리즈
태평양021,1990,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,새시리즈
태평양022,1993,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,9월 달력
태평양023,1993,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,5월 달력
태평양024,1998,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,6월 달력
태평양025,1997,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,7월 달력
태평양026,1995,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,8월 달력
태평양027,1995,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,표지
태평양028,1991,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양029,1992,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양030,1993,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,일러스트
태평양031,2003,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,표지
태평양032,2005,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,표지
태평양033,2006,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,표지
태평양034,2002,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,12월 달력
태평양035,2003,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,4월 달력
태평양036,1963,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,ABC화장품 
태평양037,1963,화장품 및 보건용품,여성 색조화장품,파우더,태평양화학,리도 분백분
태평양038,1963,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,ABC화장품
태평양039,1963,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,오스카 밀크 로션
태평양040,1963,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,미용재료점
