등록연월,시도명,신규등록수
1993-10,서울특별시,85
1993-10,전라북도,85
1998-07,경상북도,16
1999-10,부산광역시,1
2000-02,서울특별시,43
2000-05,서울특별시,1
2002-01,부산광역시,66
2002-11,서울특별시,30
2003-03,경기도,100
2003-03,서울특별시,72
2003-04,충청북도,72
2003-05,충청남도,11
2003-06,경기도,78
2003-06,광주광역시,1
2003-09,전라북도,36
2004-04,서울특별시,43
2004-09,경상북도,31
2004-09,대구광역시,49
2004-09,서울특별시,43
2005-04,경상남도,40
2005-05,대구광역시,84
2005-09,서울특별시,84
2005-12,경기도,84
2006-03,인천광역시,43
2006-05,경기도,31
2006-06,대구광역시,49
2006-07,경기도,31
2006-09,서울특별시,85
2007-01,서울특별시,49
2007-05,대전광역시,16
2007-05,인천광역시,36
2007-08,서울특별시,36
2007-10,충청남도,78
2008-04,서울특별시,84
2008-04,충청북도,72
2008-05,충청남도,85
2008-06,부산광역시,100
2008-06,서울특별시,84
2008-07,서울특별시,168
2008-07,전라남도,100
2008-08,서울특별시,36
2008-09,서울특별시,36
2008-10,경기도,68
2008-10,인천광역시,66
2008-11,대구광역시,1
2008-11,부산광역시,1
2008-12,대구광역시,30
2008-12,부산광역시,78
2009-01,경상북도,84
2009-01,서울특별시,115
2009-03,대구광역시,85
2009-03,세종특별자치시,85
2009-04,서울특별시,150
2009-05,서울특별시,60
2009-06,인천광역시,84
2009-06,충청북도,100
2009-07,경기도,100
2009-07,경상남도,84
2009-07,서울특별시,114
2009-08,경기도,150
2009-08,대전광역시,16
2009-08,서울특별시,72
2009-09,대구광역시,143
2009-09,서울특별시,84
2009-10,경기도,121
2009-10,인천광역시,34
2009-10,전라북도,36
2009-11,서울특별시,168
2009-12,서울특별시,68
2010-01,서울특별시,234
2010-02,경상남도,36
2010-03,경기도,162
2010-03,대구광역시,42
2010-03,대전광역시,36
2010-03,부산광역시,66
2010-03,서울특별시,302
2010-04,경기도,202
2010-04,서울특별시,84
2010-04,전라북도,100
2010-05,서울특별시,85
2010-07,서울특별시,168
2010-07,인천광역시,67
2010-08,서울특별시,127
2010-09,전라남도,100
2010-10,경기도,106
2010-11,경기도,1
2010-11,서울특별시,140
2010-12,경기도,40
2010-12,경상남도,84
2010-12,경상북도,1
2010-12,서울특별시,16
2011-02,서울특별시,84
2011-03,광주광역시,1
2011-03,서울특별시,240
2011-05,경기도,42
2011-05,부산광역시,100
2011-05,서울특별시,66
2011-05,인천광역시,40
2011-06,대구광역시,84
2011-06,서울특별시,84
2011-07,경상남도,36
2011-07,서울특별시,69
2011-08,경상남도,40
2011-08,대전광역시,42
2011-08,서울특별시,127
2011-08,제주특별자치도,1
2011-09,강원도,85
2011-10,경기도,34
2011-10,서울특별시,84
2011-11,경기도,136
2011-11,서울특별시,182
2011-12,경기도,49
2011-12,경상남도,59
2011-12,서울특별시,168
2011-12,인천광역시,89
2012-01,강원도,72
2012-01,경기도,42
2012-01,부산광역시,36
2012-01,서울특별시,152
2012-02,충청북도,100
2012-03,경기도,178
2012-03,부산광역시,36
2012-03,서울특별시,99
2012-04,경기도,218
2012-04,서울특별시,163
2012-04,충청북도,72
2012-05,서울특별시,115
2012-06,서울특별시,258
2012-06,전라남도,100
2012-07,경기도,84
2012-07,경상남도,31
2012-07,대구광역시,35
2012-07,서울특별시,286
2012-07,전라북도,31
2012-08,경기도,107
2012-08,서울특별시,172
2012-08,울산광역시,84
2012-09,경기도,49
2012-09,서울특별시,104
2012-10,경기도,100
2012-10,인천광역시,72
2012-11,경기도,370
2012-11,경상북도,16
2012-11,부산광역시,36
2012-11,서울특별시,151
2012-12,경기도,40
2012-12,서울특별시,84
2013-01,서울특별시,84
2013-02,경기도,95
2013-02,대구광역시,35
2013-02,서울특별시,146
2013-02,전라북도,100
2013-03,경상남도,40
2013-03,서울특별시,67
2013-03,전라남도,84
2013-03,충청남도,100
2013-04,경기도,136
2013-04,대구광역시,1
2013-04,서울특별시,127
2013-04,인천광역시,31
2013-05,경기도,208
