연도,구분,수상내역,부문,제목
2024년,대상,대상,인쇄,"무분별한 별점테러, 자영업자에겐 재앙입니다."
2024년,일반부,금상,TV,저자극이 가장 필요한 곳
2024년,일반부,은상,TV,킥라니 출몰주의
2024년,일반부,동상,TV,미래로 가기전에 미래를 지켜주세요
2024년,일반부,장려상,TV,두근 두근 데이트
2024년,일반부,금상,인쇄,팬더가 되고싶은 북극곰
2024년,일반부,은상,인쇄,저격
2024년,일반부,동상,인쇄,대한민국 모든 곳은 어린이 보호구역
2024년,일반부,장려상,인쇄,베드버그
2024년,일반부,특별상,옥외광고,인구현황
2024년,일반부,특별상,영상,109번
2024년,대학생부,금상,TV,우리가 함께 지켜야하는 것
2024년,대학생부,은상,TV,걷기 싫은 횡단보도
2024년,대학생부,동상,TV,더 이상 낯선 사람이 아닙니다
2024년,대학생부,장려상,TV,당연한 권리
2024년,대학생부,금상,인쇄,숏폼 중독
2024년,대학생부,은상,인쇄,100점짜리 백지 답안지
2024년,대학생부,동상,인쇄,사소한 적치물 하나가 위급상황엔 치명적인 장애물이 됩니다
2024년,대학생부,장려상,인쇄,당신의 아이를 찾으시오
2024년,대학생부,특별상,옥외광고,탈북민이 아닌 한국인
2024년,대학생부,특별상,영상,실종
2024년,청소년부,금상,TV,"우리 가족, 우리 바다"
2024년,청소년부,은상,TV,"마약, 브레이크가 고장난 자동차와 같습니다"
2024년,청소년부,동상,TV,불편한 동거
2024년,청소년부,장려상,TV,Short 하지 말고 Long 하세요
2024년,청소년부,금상,인쇄,내가 멸종해봐서 아는데
2024년,청소년부,은상,인쇄,고등학교 13학년입니다
2024년,청소년부,동상,인쇄,잘 보이십니까?
2024년,청소년부,장려상,인쇄,오늘의 얼굴
2023년,대상,대상,인쇄,멸종위기 1급 대한민국
2023년,일반부,금상,TV,세계일주
2023년,일반부,은상,TV,멸종위기종 전시회
2023년,일반부,동상,TV,엄마 나 학교 가기 싫어요
2023년,일반부,장려상,TV,또 하나의 공용어
2023년,일반부,금상,인쇄,신호를 볼 수 없습니다
2023년,일반부,은상,인쇄,"우리 아이, 새로운 표적이 되다"
2023년,일반부,동상,인쇄,우리가 하고 싶은 것
2023년,일반부,장려상,인쇄,공익광고공모전_온라인위협글_출품용
2023년,일반부,특별상,영상,블라인드(Blind)
2023년,일반부,특별상,영상,엄마가 항상 지켜줄게
2023년,일반부,특별상,이모티콘,할미도 알고싶어
2023년,일반부,특별상,이모티콘,우리 지구를 지켜줘
2023년,대학생부,금상,TV,가볍지 않은 터치
2023년,대학생부,은상,TV,정답
2023년,대학생부,동상,TV,가족도 유행을 타나요?
2023년,대학생부,장려상,TV,질 수밖에 없는 경기
