연도,작품명,대분류,소분류
1981,새 해 새 희망,국가의식,민족의식
1981,아끼세요,환경/에너지,에너지/자원 절약
1981,우리는 모두 이웃,공동체 의식/상생,다양성 존중
1981,풍요로운 내일,경제/산업,저축 및 절약
1981,의자,경제/산업,경제 침체 극복
1982,내일의 당신,사회적 약자 및 소수자 보호,노인
1982,대도약의 나래,국가의식,민족의식
1982,모두가 주인,국가의식,민족의식
1982,물가안정,경제/산업,경제 침체 극복
1982,반칙,공중예절/에티켓,공공매너
1982,부주의,보건/안전,화재안전
1982,셋이서 가요,가정/아동/청소년,가족계획
1982,손잡기,공동체 의식/상생,신뢰/화합
1982,어린이는 어른의 거울,공중예절/에티켓,공공매너
1982,얼룩진 자국,범죄예방,부정부패
1982,우리는 한 배를 타고 있습니다,공동체 의식/상생,신뢰/화합
1982,우리의 영원한 정원,환경/에너지,환경보호 의식 개선
1982,일석사조,경제/산업,저축 및 절약
1982,통일로 가는 길,국가의식,통일
1982,한 민족 한 핏줄,국가의식,민족의식
1983,결혼식,가정/아동/청소년,가족계획
1983,나라의 미래,가정/아동/청소년,도전정신 고취
1983,내일의 주인공,과학/기술,과학기술 장려
1983,대식가,보건/안전,화재안전
1983,돈,경제/산업,저축 및 절약
1983,부끄러운 말,보건/안전,안전의식
1983,선진조국 창조,국가의식,민족의식
1983,우리아빠,경제/산업,근로 의욕 고취
1983,우리의 재산,가정/아동/청소년,도전정신 고취
1983,전화기,공중예절/에티켓,공공매너
1983,제2의 광복,국가의식,통일
1983,제2의 생산,환경/에너지,에너지/자원 절약
1983,제인양,문화/예술/관광,국가브랜드
1983,진짜질서,공중예절/에티켓,공공매너
1983,헌혈가족,보건/안전,헌혈/장기기증
1983,힘찬 전진,보건/안전,민족의식
1984,공든탑,보건/안전,화재안전
1984,두 얼굴,경제/산업,국산품 애용
1984,무형의 재산,공중예절/에티켓,공공매너
1984,문화유산,국가의식,민족의식
1984,방심,보건/안전,안전의식
1984,사랑의 실천,보건/안전,헌혈/장기기증
1984,손기정,국가의식,국가행사
1984,오케스트라,국가의식,민족의식
1984,저축의 생활화,경제/산업,저축 및 절약
1984,주의와 점검,보건/안전,화재안전
1984,질서는 능률,공중예절/에티켓,공공매너
1984,차선,보건/안전,교통안전
1984,청결 금메달,국가의식,국가행사
1984,청소년 문제의 원점,가정/아동/청소년,자녀 관심/교육
1984,학창시절,가정/아동/청소년,도전정신 고취
1984,한 마음,경제/산업,노사 화합
1984,인터뷰,가정/아동/청소년,가족계획
1984,희망의 85,국가의식,민족의식
1985,계란차,보건/안전,교통안전
1985,길,국가의식,민족의식
1985,미술시간,보건/안전,화재안전
1985,새로운 출발,국가의식,국가행사
1985,앨범,가정/아동/청소년,효/예절
1985,이웃사랑,보건/안전,헌혈/장기기증
1985,자녀에게 관심을,가정/아동/청소년,자녀 관심/교육
1985,자린고비 이야기,경제/산업,저축 및 절약
1985,종이 한 장이 바로 외화,경제/산업,저축 및 절약
1985,찻잔,국가의식,민족의식
1985,찾아가지 않는 물건들,경제/산업,저축 및 절약
1985,학창생활,가정/아동/청소년,청소년
1985,호돌이,환경/에너지,환경보호 의식 개선
1986,1000억불시대,경제/산업,근로 의욕 고취
1986,간첩신고,범죄예방,간첩신고
