연도,작품명,대분류,소분류
1983,마음속의 방석,문화/예술/관광,국가브랜드
1983,아빠는 60점,가정/아동/청소년,자녀 관심/교육
1984,국산품애용 두얼굴,경제/산업,국산품 애용
1984,마음의 창을 엽시다,공동체 의식/상생,이웃간 소통/나눔
1984,우리 마음속에 맥을 이어온 친절,문화/예술/관광,국가브랜드
1984,절약하며 행복하게 살아가는 많은 이웃들,경제/산업,저축 및 절약
1985,가는말이 거칠어야 오는말이 곱다,공중예절/에티켓,언어 예절
1985,끊이지 않는 행렬,문화/예술/관광,문화의식
1985,닳도록 써 보셨습니까,경제/산업,저축 및 절약
1985,"불, 조심이 제일입니다",보건/안전,화재안전
1985,사용하지 않으면 꼬인다,공동체 의식/상생,타인 배려/소통
1985,석유가 재채기를 하면,환경/에너지,에너지/자원 절약
1985,우물 밖 개구리(우리 눈을 더 크고...),국가의식,민족의식
1985,자린고비 이야기,경제/산업,저축 및 절약
1985,효자 집안에 효자난다,가정/아동/청소년,효/예절
1986,돼지 뱃속에 집 한채,경제/산업,저축 및 절약
1986,마음을 병들게 하는 책,가정/아동/청소년,자녀 관심/교육
1986,민족의 얼,국가의식,민족의식
1987,그들의 모습을 볼 수 없는 우리가 장애자인지도 모릅니다,사회적 약자 및 소수자 보호,장애인
1988,다를 것이 없습니다,사회적 약자 및 소수자 보호,장애인
1988,작은 사랑도 받는이에겐 큰 기쁨입니다,공동체 의식/상생,이웃간 소통/나눔
1989,물이 죽으면 우리는,환경/에너지,수질오염
1989,아무리 급해도 바늘허리 매어쓸 수는 없습니다,공중예절/에티켓,공공매너
1989,예절교육의 요람은 언제까지나 가정입니다,가정/아동/청소년,효/예절
1989,자녀의 키가 얼마나 되는지 아십니까,가정/아동/청소년,자녀 관심/교육
1990,과소비 나라와 가정을 어렵게 합니다,경제/산업,과소비 지양
1990,기름낭비 너무 심해요,환경/에너지,에너지/자원 절약
1990,내 하늘인생의 시작에는 한권의 책이 있었다,문화/예술/관광,독서
1990,온누리 깨끗하게 10년 캠페인,환경/에너지,환경보호 의식 개선
1990,우리집 밥상에는 대화가 반찬,가정/아동/청소년,가정 내 소통
1990,합성세제 반의반도 많습니다,환경/에너지,수질오염
1991,가장 큰 장애,사회적 약자 및 소수자 보호,장애인
1991,쓰레기등고선,환경/에너지,토양오염
1991,아빠 전 따로 갈래요,가정/아동/청소년,자녀 관심/교육
1991,아빠노릇은 100점 자식노릇은 몇점,가정/아동/청소년,효/예절
1991,지금 초롱이가 환경을 이야기하러 옵니다,환경/에너지,환경보호 의식 개선
1992,미래의 주인공,가정/아동/청소년,도전정신 고취
1992,에너지 절약-지금까지,환경/에너지,에너지/자원 절약
1992,에어컨 한대가,환경/에너지,에너지/자원 절약
1992,온국민이 함께 뛰는 1993,국가의식,민족의식
1992,화합-신바람,국가의식,민족의식
1992,광복절 국기게양,국가의식,나라사랑
1993,경제를 살리는 사람들,경제/산업,근로 의욕 고취
1993,경제를 살립시다,경제/산업,근로 의욕 고취
1993,고맙습니다,공중예절/에티켓,언어 예절
1993,깨끗한 환경보전,환경/에너지,재활용/일회용품 자제
1993,부정부패 추방,범죄예방,부정부패
1993,수보전-온누리 깨끗하게,환경/에너지,수질오염
1993,우물 밖 개구리(우리 모두 힘 모아...),국가의식,민족의식
1994,더 많습니다-신년물,국가의식,민족의식
1994,맑은 공기 보존,환경/에너지,대기오염
1994,서울하늘,환경/에너지,대기오염
1994,손잡은 우리,경제/산업,근로 의욕 고취
1994,예절,국가의식,역사의식
1994,자연보호,환경/에너지,환경보호 의식 개선
1994,질서,공중예절/에티켓,대중교통 예절
1995,고운말 고운마음,공중예절/에티켓,언어 예절
1995,건전한 해외여행,문화/예술/관광,국가브랜드
1995,깨끗한 선거,국가의식,선거
1995,노사화합,경제/산업,노사 화합
1995,쓰레기 줄이기,환경/에너지,재활용/일회용품 자제
1995,청소년 선도,가정/아동/청소년,청소년 관심/선도
1995,황영조,국가의식,민족의식
1996,노사가 하나되면,경제/산업,노사 화합
1996,느릴 것 같지만 빠른 자전거,환경/에너지,대기오염
