번호,제작년도,제작월,초수,대분류,중분류,소분류,광고주,제품,제목,대행사,제작프로덕션
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,교통안전,안전벨트,연합광고,연합광고
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,올림픽500일전,기수단,(주)엘지애드,엘지애드
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,올림픽1년전,오륜기,세종문화,세종문화
1981,1987,,35,관공서 및 단체,단체,공공단체,한국방송광고공사,약속과신뢰,건강한사회,(주)대홍기획,대홍기획
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,문화창달,대한국인,연합광고,연합광고
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,우리는하나,악수,동방기획,동방기획
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,안정사회,빙산의힘,(주)엘지애드,엘지애드
1981,1987,,60,관공서 및 단체,단체,공공단체,한국방송광고공사,안보의식,자유와평화,업체불명,
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,대공안보의식,자유와평화,중앙영상,중앙영상
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,저축,토끼와거북이,KBS사업단,KBS사업단
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,산업안전,안전제일의생활화,업체불명,K프로덕션
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,한강보존,다시찾은한강,업체불명,
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,자연보호,산쓰레기,한일홍보,한일홍보
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,화해.화합,모두가한마음,송프로덕션,송프로덕션
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,장애자,송율궁군,두진기획,두진기획
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,이웃과의대화,추적,(주)대홍기획,대흥기획
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,공명선거,우리모두의책임,(주)엘지애드,엘지애드
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,교통안전,음주운전예방,업체불명,K프로덕션
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,교통안전,차선지키기,(주)서울광고,서울광고기획
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,올림픽200일전,금메달,(주)제일기획,제일기획
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,올림픽참여,우정과화합,업체불명,선우
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,올림픽안전,장승,(주)오리콤,오리콤
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,신용사회,상거래질서,(주)제일기획,제일기획
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,소비자보호,소비자권리,송프로덕션,송프로덕션
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,제자리찾기,우리의모습,연합광고,연합광고
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,예절,인사,(주)대홍기획,대흥기획
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,헌혈,사랑의실천,업체불명,정프로덕션
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,쾌적한환경,삼도영화,삼도영화
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,급행주의추방,마음의여유,(주)대홍기획,대흥기획
1981,1988,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,갱생보호,출소자,(주)제일기획,제일기획
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,마약추방,창살,세종문화,세종문화
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,범죄예방,도미노,(주)서울광고,서울광고기획
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,여성권익보호,세상의절반,(주)코마코,코마코
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,폭력추방,인형,세종문화,세종문화
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,예절교육,작은예절,(주)오리콤,오리콤
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,의료보험,포도송이,(주)대홍기획,대흥기획
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,과소비추방,풍선,세종문화,세종문화
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,산불방지,등산객,업체불명,신영기업
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,산업재해예방,헬멧,업체불명,선우프로덕션
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,청소년선도,유해환경추방,송프로덕션,송프로덕션
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,청소년선도,키재기,(주)오리콤,오리콤
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,수질보전,생활하수,(주)제일기획,제일기획
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,교통안전,오뚜기,업체불명,씨엠포인트
1981,1989,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,세계로미래로,퍼즐,수프로덕션,수프로덕션
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,노사화합,생산성향상,업체불명,천우프로덕션
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,질서,늑대인간,(주)코마코,코마코
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,에너지절약,스위치,(주)제일기획,제일기획
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,도덕성회복,이기심,업체불명,동진프로덕션
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,과소비방지,종이배,업체불명,천우프로덕션
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,청소년선도,대화,(주)오리콤,오리콤
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,헌혈,사랑의손길,두진기획,두진기획
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,런칭,(주)제일기획,제일기획
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,산업폐수,(주)제일기획,제일기획
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,합성세제,(주)제일기획,제일기획
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제안정,달력,업체불명,MBC프로덕션
1981,1990,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,이웃사랑,따뜻한마음,KBS제작단,KBS제작단
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,소년소녀가장돕기,따뜻한손길,KBS제작단,KBS제작단
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,장애자보호,턱,(주)대홍기획,대흥기획
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,공명선거,귀중한한표,(주)제일기획,제일기획
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,잼버리,화합의한마당,업체불명,리젠시
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,마약방지,올가미,세종문화,세종문화
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,예절(효),그냥두세요,삼희기획,삼희기획
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,근검절약,늦지않았습니다,업체불명,미디아트
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,범죄추방,무관심,업체불명,광고방
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,식생활개선,음식물낭비,업체불명,MBC프로덕션
1981,1991,,60,관공서 및 단체,단체,공공단체,한국방송광고공사,음주운전방지,필름역회전,(주)제일기획,제일기획
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,청소년선도,좌절극복,에이스컴,에이스컴
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,초롱이탄생,업체불명,
1981,1991,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,행락철환경보전,(주)제일기획,제일기획
1981,1991,,35,관공서 및 단체,단체,공공단체,한국방송광고공사,경제안정,다시한번뜁시다,(주)오리콤,오리콤
1981,1991,,35,관공서 및 단체,단체,공공단체,한국방송광고공사,공명선거,금권선거방지,업체불명,천우프로덕션
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,공명선거,대선투표참여,세종문화,세종문화
1981,1992,,40,관공서 및 단체,단체,공공단체,한국방송광고공사,공명선거,제14대국회의원,KBS제작단,KBS제작단
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,명랑사회,밝고희망찬사회,(주)엘지애드,엘지애드
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,새해새희망,93새출발,한인기획,한인기획
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,가치관확립,경제재도약,삼희기획,삼희기획
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,가치관확립,신뢰사회,삼희기획,삼희기획
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,에너지절약,절전,(주)코래드,코래드
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,가치관확립,청소년의합창,동방기획,동방기획
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,건전한행락문화,누렁이,세종문화,세종문화
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,산불방지,(주)제일기획,제일기획
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,쓰레기다이어트,(주)제일기획,제일기획
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,쓰레기분리수거,자원재활용,(주)대홍기획,대홍기획
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제,경제를살립시다,(주)금강기획,금강기획
1981,1992,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제,국가경쟁력강화,(주)코마코,코마코
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제,산업역군,(주)코마코,코마코
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제,프로정신,(주)코마코,코마코
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,엑스포,도우미,업체불명,텔레콤
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,엑스포,아버지와딸,세종문화,세종문화
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,의식개혁,부정부패추방,(주)대홍기획,대홍기획
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,의식개혁,새다짐새각오,한국비전,한국비전
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,의식개혁,작은관심큰도움,(주)오리콤,오리콤
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,좋은책읽기,증언,프로덕션2000,프로덕션2000
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,의식개혁,청소년교육,프로덕션2000,프로덕션2000
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,환경주부,(주)제일기획,제일기획
1981,1993,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,문화민족 긍지,한민족,업체불명,
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제활성화,과학기술혁신,프로덕션2000,프로덕션2000
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제활성화,농촌사랑,업체불명,오리콤AVC
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제활성화,화합하여세계로,동방기획,동방기획
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,민족정신함양,예절,(주)대홍기획,대홍기획
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,민족정신함양,이웃사랑,(주)금강기획,금강기획
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,도덕성회복,마약추방,업체불명,광고방
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,도덕성회복,도덕성회복,(주)웰콤퍼블리시스월드와이드,웰컴
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,신고정신,신문고,세종문고,세종문고
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,도덕성회복,질서,(주)서울광고,서울광고기획
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,맑은공기보존,FBS애드컴,FBS애드컴
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,맑은물되살리기,제일영상,제일영상
1994,1994,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,자연보호,자연은우리의생명,(주)엘지애드,엘지애드
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,깨끗한선거,노희지의깨끗한선거,코리아하베스트,코리아하베스트
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,광복50주년,해방동이,세종문화,세종문화
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,노사화합,노사는동반자,(주)엘지애드,엘지애드
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,신년선물,첫날,(주)오리콤,오리콤
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,질서,꽁초할아버지,(주)코래드,코래드
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,고운말고운마음,앵무새,(주)대홍기획,대홍기획
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,청소년선도,무의탁노인,FBS애드컴,FBS애드컴
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,청소년교육,밝은청소년상,FBS애드컴,FBS애드컴
1994,1995,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,쓰레기줄이기,(주)제일기획,제일기획
1994,1995,,35,관공서 및 단체,단체,공공단체,한국방송광고공사,환경보전,야생화,삼정커미셜,삼정커미셜
1994,1996,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,깨끗한선거,바를正자,(주)대홍기획,대홍기획
1994,1996,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,노사화합,세계제일,동방기획,동방기획
1994,1996,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,신년물,섬돌위의신발,(주)엘지애드,엘지애드
1994,1996,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,학교폭력추방,부모님의마음,(주)신콤커뮤니케이션,신콤
1994,1996,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,신소비문화,서세원부부,(주)제일기획,제일기획
1994,1996,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,올바른소비문화,올바른소비생활,(주)제일기획,제일기획
1994,1996,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,자연보호,맑은물이그립습니다,누리기획,누리기획
1994,1997,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제위기극복,다시뜁시다,(주)한컴,한컴
1994,1997,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제살리기,우리모두다같이조금만,(주)엘지애드,엘지애드
1994,1997,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,선거,하얀색투표용지,(주)엘지애드,엘지애드
1994,1997,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,국민화합,웃을수있는미래,(주)웰콤퍼블리시스월드와이드,웰컴
1994,1997,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,태극기사랑,태극기사랑,업체불명,비프로덕션
1994,1997,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,노사화합,노사는무촌,(주)코래드,코래드
1994,1998,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제살리기,똑똑한소비,(주)제일기획,제일기획
1994,1998,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제살리기,외채줄이기,(주)금강기획,금강기획
1994,1998,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,경제살리기,의자,(주)MBC애드컴,MBC애드컴
1994,1998,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,국민화합,도전,나라기획,나라기획
1994,1998,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,국민화합,처음처럼,(주)대홍기획,대홍기획
1994,1998,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,국민화합,IMF졸업식,(주)코래드,코래드
1994,1998,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,청소년보호,청소년독백,동방기획,동방기획
1994,1999,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,공동체의식,기본이바로선나라,(주)금강기획,금강기획
