번호,제작년도,제작월,초수,대분류,중분류,소분류,광고주,제품,제목,대행사,제작프로덕션
1981,1981,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,이웃,우리는 모두 하나입니다,한국비디오,한국비디오
1981,1981,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,82신년물,새해새희망,KBS사업단,KBS사업단
1981,1981,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,에너지절약,아끼세요,(주)제일기획,제일기획
1981,1981,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,물가안정,의자,나라기획,나라기획
1981,1981,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,저축,풍요로운내일,연합광고,연합광고
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,가족계획,셋이서가요,송프로덕션,송프로덕션
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,경제도약,물가안정,삼양영화,삼양영화
1981,1982,,45,관공서 및 단체,단체,공공단체,방송광고향상협의회,노인,내일의당신,(주)오리콤,오리콤
1981,1982,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,신뢰사회,손,세종문화,세종문화
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,통일,통일로가는길,세종문화,세종문화
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,민족주체성,한민족한핏줄,대광기획,대광기획
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,83신년물,대도약의나래,한국미디어,한국미디어
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,안보와신뢰,우리는한배를타고있습니다,대광기획,대광기획
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,주인의식,모두가주인,한국비디오,한국비디오
1981,1982,,45,관공서 및 단체,단체,공공단체,방송광고향상협의회,질서,반칙,신영필름,신영필름
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,질서,어린이는어른의거울,신영필름,신영필름
1981,1982,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,부정심리추방,얼룩진자국,세종문화,세종문화
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,식량절약,일석사조,삼진영화,삼진영화
1981,1982,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,불조심,부주의,KBS사업단,KBS사업단
1981,1982,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,자연보호,우리의영원한정원,삼진영화,삼진영화
1981,1983,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,가족계획,결혼식,송프로덕션,송프로덕션
1981,1983,,50,관공서 및 단체,단체,공공단체,방송광고향상협의회,세계가우리를보러옵니다,제인양,한국미디어,한국미디어
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,국가와민족,제2의광복,(주)제일기획,제일기획
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,84신년물,힘찬전진,업체불명,MBC프로덕션
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,과학,내일의주인공,KBS사업단,KBS사업단
1981,1983,,45,관공서 및 단체,단체,공공단체,방송광고향상협의회,저축,돈,남양기획,남양기획
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,선진조국,선진조국창조,삼진영화,삼진영화
1981,1983,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,직업,우리아빠,연합광고,연합광고
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,면학,우리의재산,한국미디어,한국미디어
1981,1983,,45,관공서 및 단체,단체,공공단체,방송광고향상협의회,친절,전화기,삼진영화,삼진영화
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,에너지절약,제2의생산,(주)제일기획,제일기획
1981,1983,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,질서,진짜질서,(주)제일기획,제일기획
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,불조심,대식가,한일홍보,한일홍보
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,연탄가스,부끄러운말,KBS사업단,KBS사업단
1981,1983,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,청소년선도,나라의미래,KBS사업단,KBS사업단
1981,1983,,50,관공서 및 단체,단체,공공단체,방송광고향상협의회,헌혈,헌혈가족,송프로덕션,송프로덕션
1981,1984,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,가족계획,인터뷰,한국교육영화사,한국교육영화사
1981,1984,,45,관공서 및 단체,단체,공공단체,방송광고향상협의회,교통안전,차선,한국교육영화사,한국교육영화사
1981,1984,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,이제는서울입니다,손기정,KBS사업단,KBS사업단
1981,1984,,50,관공서 및 단체,단체,공공단체,방송광고향상협의회,우리문화지키기,문화유산,한국비디오,한국비디오
1981,1984,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,민족의심포니,오케스트라,KBS사업단,KBS사업단
1981,1984,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,노사화합,한마음,한일홍보,한일홍보
1981,1984,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,85신년물,희망의85,한국비디오,한국비디오
1981,1984,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,국산품애용,두얼굴,중앙영상,중앙영상
1981,1984,,45,관공서 및 단체,단체,공공단체,방송광고향상협의회,친절,무형의재산,업체불명,MBC프로덕션
1981,1984,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,저축,저축의생활화,한국미디어,한국미디어
1981,1984,,45,관공서 및 단체,단체,공공단체,방송광고향상협의회,질서,질서는능률,업체불명,
1981,1984,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,청결,청결금메달,중앙영상,중앙영상
1981,1984,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,면학,학창시절,한국미디어,한국미디어
1981,1984,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,불조심,공든탑,한국미디어,한국미디어
1981,1984,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,연탄가스,방심,시네텔서울,시네텔서울
1981,1984,,45,관공서 및 단체,단체,공공단체,방송광고향상협의회,가스안전,주의와점검,한국미디어,한국미디어
1981,1984,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,청소년선도,청소년문제의원점,한국미디어,한국미디어
1981,1984,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,헌혈,사랑의실천,남양기획,남양기획
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,교통안전,계란차,서울동화,서울동화
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,한국은세계로,길,(주)제일기획,제일기획
1981,1985,,35,관공서 및 단체,단체,공공단체,방송광고향상협의회,대화,찻잔,(주)제일기획,제일기획
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,86신년물,새로운출발,중앙영상,중앙영상
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,효,앨범,송프로덕션,송프로덕션
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,저축,자린고비이야기,시네텔서울,시네텔서울
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,소비절약,종이한장이바로외화,송프로덕션,송프로덕션
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,소비절약,찾아가지않는물건들,세종문화,세종문화
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,청결,청결금메달,업체불명,
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,면학,학창시절,업체불명,
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,불조심,미술시간,업체불명,K프로덕션
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,청소년선도,자녀에게관심을,한국비디오,한국비디오
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,헌혈,이웃사랑,남양기획,남양기획
1981,1985,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,환경보전,호돌이,한국미디어,한일홍보
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,가족계획,한자녀가정,업체불명,
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,아시안게임참여,손과마음을보탭시다,(주)제일기획,제일기획
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,아신안게임안전,우리모두안전요원,업체불명,전필름
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,불조심,오케스트라,(주)제일기획,제일기획
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,85신년물,문화유산,한국비디오,한국비디오
1981,1986,,40,관공서 및 단체,단체,공공단체,방송광고향상협의회,대공안보의식,간첩신고,연합광고,연합광고
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,선진조국,"1,000억불시대",송프로덕션,송프로덕션
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,환경,먼지,업체불명,
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,질서,미꾸라지,업체불명,
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,바른말고운말,바른언어생활,시네텔서울,시네텔서울
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,질서,톱니바퀴,한국미디어,한국미디어
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,가스안전,주의와점검,대원동화,대원동화
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,헌혈,헌혈은사랑의실천,업체불명,
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,경제,삼희기획,삼희기획
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,꿈나무,삼희기획,삼희기획
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,노젓는노인,삼희기획,삼희기획
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,다시와본한강,삼희기획,삼희기획
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,문화창달,삼희기획,삼희기획
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,백로는날아들고,삼희기획,삼희기획
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,새로운출발,삼희기획,삼희기획
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,인공위성,삼희기획,삼희기획
1981,1986,,60,관공서 및 단체,단체,공공단체,방송광고향상협의회,한강시리즈,휴식터,삼희기획,삼희기획
1981,1986,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,가족계획,한자녀시대,코콤기획,코콤기획
1981,1987,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,장애자문제,마음의문턱,삼우기획,삼우기획
1981,1987,,30,관공서 및 단체,단체,공공단체,방송광고향상협의회,성숙사회,흔들의자,(주)대홍기획,대홍기획
1981,1987,,30,관공서 및 단체,단체,공공단체,한국방송광고공사,공명선거,버려야할유산,연합광고,연합광고
