년도,옥외 유형,세부 광고유형,매출액(백만원),구성비율
2022,빌보드,지주이용광고,55421,13.9
2022,빌보드,옥상,142971,36
2022,빌보드,벽면,198940,50.1
2022,교통,도시철도역사/ 차량지하도(상가),204482,46.7
2022,교통,버스,121017,27.7
2022,교통,택시,10496,2.4
2022,교통,일반차량,16467,3.8
2022,교통,쉘터,51443,11.8
2022,교통,공항  및  항공기,15084,3.4
2022,교통,철도역사/차량,18467,4.2
2022,엔터테인먼트,스포츠/레저,44445,28.4
2022,엔터테인먼트,극장/공연장,50722,32.5
2022,엔터테인먼트,쇼핑몰,61137,39.1
2022,기타,소매업,10907,13.9
2022,기타,생활네트워크,39928,51
2022,기타,공공시설물  이용광고  및 군사시설  가림간판,27407,35
2023,빌보드,지주이용광고,"42,943",10.1
2023,빌보드,옥상,"152,713",36.1
2023,빌보드,벽면,"227,823",53.8
2023,교통,도시철도역사/ 차량지하도(상가),"128,694",28.3
2023,교통,버스,"151,672",33.3
2023,교통,택시,"14,100",3.1
2023,교통,일반차량,"16,344",3.6
2023,교통,쉘터,"69,447",15.3
2023,교통,공항  및  항공기,"58,592",12.9
2023,교통,철도역사/차량,"16,393",3.6
2023,엔터테인먼트,스포츠/레저,"45,370",22.6
2023,엔터테인먼트,극장/공연장,"89,000",44.4
2023,엔터테인먼트,쇼핑몰,"66,176",33
2023,기타,소매업,"11,254",8
2023,기타,생활네트워크,"102,279",72.3
2023,기타,공공시설물  이용광고  및 군사시설  가림간판,"28,003",19.8
2024(e),빌보드,지주이용광고,"42,414",9.8
2024(e),빌보드,옥상,"155,412",36.1
2024(e),빌보드,벽면,"232,995",54.1
2024(e),교통,도시철도역사/ 차량지하도(상가),"133,244",29.1
2024(e),교통,버스,"149,238",32.6
2024(e),교통,택시,"13,495",3
2024(e),교통,일반차량,"16,212",3.5
2024(e),교통,쉘터,"69,034",15.1
2024(e),교통,공항  및  항공기,"59,772",13.1
2024(e),교통,철도역사/차량,"16,462",3.6
2024(e),엔터테인먼트,스포츠/레저,"45,293",20.6
2024(e),엔터테인먼트,극장/공연장,"104,795",47.6
2024(e),엔터테인먼트,쇼핑몰,"70,161",31.9
2024(e),기타,소매업,"11,698",7.8
2024(e),기타,생활네트워크,"108,666",72.1
2024(e),기타,공공시설물  이용광고  및 군사시설  가림간판,"30,250",20.1
2025(e),빌보드,지주이용광고,"44,159",10
2025(e),빌보드,옥상,"157,304",35.5
2025(e),빌보드,벽면,"241,753",54.5
2025(e),교통,도시철도역사/ 차량지하도(상가),"133,290",28.8
2025(e),교통,버스,"150,854",32.6
2025(e),교통,택시,"14,714",3.2
2025(e),교통,일반차량,"16,443",3.5
2025(e),교통,쉘터,"70,620",15.2
2025(e),교통,공항  및  항공기,"60,696",13.1
2025(e),교통,철도역사/차량,"16,651",3.6
2025(e),엔터테인먼트,스포츠/레저,"47,523",21.1
2025(e),엔터테인먼트,극장/공연장,"107,115",47.6
2025(e),엔터테인먼트,쇼핑몰,"70,168",31.2
2025(e),기타,소매업,"12,015",8.1
2025(e),기타,생활네트워크,"106,082",71.1
2025(e),기타,공공시설물  이용광고  및 군사시설  가림간판,"31,083",20.8
