등록연월,업종,신규등록수
1993-10,제약및의료,170
1998-07,화학공업,16
2000-02,출판,43
2002-01,패션,66
2002-11,교육및복지후생,30
2003-03,가정용품,72
2003-03,식품,100
2003-04,가정용품,72
2003-05,그룹및기업광고,11
2003-06,화장품및보건용품,78
2003-09,유통,36
2004-04,출판,43
2004-09,가정용전기전자,49
2004-09,"건설,건재및부동산",31
2004-09,출판,43
2005-04,산업기기,40
2005-05,서비스,84
2005-09,서비스,84
2005-12,서비스,84
2006-03,출판,43
2006-05,"건설,건재및부동산",31
2006-06,가정용전기전자,49
2006-07,"건설,건재및부동산",31
2006-09,제약및의료,85
2007-01,가정용전기전자,49
2007-05,유통,36
2007-05,화학공업,16
2007-08,유통,36
2007-10,화장품및보건용품,78
2008-04,가정용품,72
2008-04,서비스,84
2008-05,제약및의료,85
2008-06,서비스,84
2008-06,식품,100
2008-07,서비스,168
2008-07,식품,100
2008-08,유통,36
2008-09,유통,36
2008-10,컴퓨터및정보통신,68
2008-10,패션,66
2008-12,교육및복지후생,30
2008-12,화장품및보건용품,78
2009-01,교육및복지후생,30
2009-01,서비스,168
2009-03,제약및의료,170
2009-04,서비스,84
2009-04,패션,66
2009-05,가정용전기전자,49
2009-05,그룹및기업광고,11
2009-06,서비스,84
2009-06,식품,100
2009-07,서비스,84
2009-07,식품,100
2009-07,유통,36
2009-07,화장품및보건용품,78
2009-08,가정용품,72
2009-08,서비스,84
2009-08,패션,66
2009-08,화학공업,16
2009-09,서비스,168
2009-09,수송기기,59
2009-10,가정용전기전자,49
2009-10,가정용품,72
2009-10,유통,36
2009-10,정밀기기및사무기기,34
2009-11,서비스,168
2009-12,컴퓨터및정보통신,68
2010-01,서비스,168
2010-01,패션,66
2010-02,유통,36
2010-03,교육및복지후생,30
2010-03,서비스,252
2010-03,유통,72
2010-03,음료및기호식품,42
2010-03,컴퓨터및정보통신,68
2010-03,패션,66
2010-03,화장품및보건용품,78
2010-04,서비스,252
2010-04,식품,100
2010-04,정밀기기및사무기기,34
2010-05,서비스,84
2010-07,서비스,168
2010-07,패션,66
2010-08,서비스,84
2010-08,출판,43
2010-09,식품,100
2010-10,가정용품,72
2010-10,정밀기기및사무기기,34
2010-11,교육및복지후생,30
2010-11,음료및기호식품,42
2010-11,컴퓨터및정보통신,68
2010-12,산업기기,40
2010-12,서비스,84
2010-12,화학공업,16
2011-02,서비스,84
2011-03,가정용품,72
2011-03,서비스,168
2011-05,산업기기,40
2011-05,식품,100
2011-05,음료및기호식품,42
2011-05,패션,66
2011-06,서비스,168
2011-07,유통,36
2011-07,컴퓨터및정보통신,68
2011-08,가정용전기전자,49
2011-08,산업기기,40
2011-08,음료및기호식품,42
2011-08,화장품및보건용품,78
2011-09,제약및의료,85
2011-10,서비스,84
2011-10,정밀기기및사무기기,34
2011-11,교육및복지후생,30
2011-11,서비스,168
2011-11,유통,36
2011-11,컴퓨터및정보통신,68
2011-11,화학공업,16
2011-12,가정용전기전자,98
2011-12,가정용품,72
2011-12,교육및복지후생,60
2011-12,산업기기,40
2011-12,수송기기,59
2011-12,유통,36
2012-01,가정용품,72
2012-01,서비스,84
2012-01,유통,36
2012-01,음료및기호식품,42
2012-01,컴퓨터및정보통신,68
2012-02,식품,100
2012-03,가정용품,144
2012-03,"건설,건재및부동산",31
2012-03,유통,36
2012-03,정밀기기및사무기기,34
2012-03,컴퓨터및정보통신,68
2012-04,가정용품,72
2012-04,산업기기,40
2012-04,서비스,84
2012-04,식품,100
2012-04,유통,36
2012-04,출판,43
2012-04,화장품및보건용품,78
2012-05,"건설,건재및부동산",31
2012-05,서비스,84
2012-06,가정용품,72
2012-06,교육및복지후생,30
2012-06,서비스,84
2012-06,식품,100
2012-06,유통,72
2012-07,가정용품,72
2012-07,"건설,건재및부동산",62
2012-07,기초재,35
2012-07,서비스,168
2012-07,유통,36
2012-07,화장품및보건용품,78
2012-07,화학공업,16
2012-08,가정용품,144
2012-08,기초재,35
2012-08,서비스,168
2012-08,화학공업,16
2012-09,가정용전기전자,49
2012-09,유통,36
2012-09,컴퓨터및정보통신,68
2012-10,가정용품,72
2012-10,식품,100
2012-11,가정용품,144
2012-11,"건설,건재및부동산",31
2012-11,서비스,168
2012-11,식품,100
2012-11,유통,72
2012-11,음료및기호식품,42
2012-11,화학공업,16
2012-12,산업기기,40
2012-12,서비스,84
2013-01,서비스,84
2013-02,기초재,35
2013-02,수송기기,59
2013-02,식품,100
2013-02,유통,36
2013-02,컴퓨터및정보통신,68
2013-02,화장품및보건용품,78
2013-03,산업기기,40
2013-03,서비스,84
2013-03,식품,100
2013-03,패션,66
2013-04,"건설,건재및부동산",31
2013-04,그룹및기업광고,11
2013-04,산업기기,40
2013-04,서비스,84
2013-04,제약및의료,85
2013-04,출판,43
2013-05,가정용전기전자,49
2013-05,수송기기,59
2013-05,유통,36
2013-05,컴퓨터및정보통신,68
2013-05,화학공업,48
2013-06,"건설,건재및부동산",31
2013-06,산업기기,40
2013-06,서비스,168
2013-06,식품,100
2013-07,가정용전기전자,49
2013-07,유통,36
2013-07,패션,66
2013-08,가정용전기전자,49
2013-08,제약및의료,85
2013-08,컴퓨터및정보통신,68
2013-09,가정용전기전자,49
2013-09,가정용품,72
2013-09,"건설,건재및부동산",31
2013-09,서비스,168
2013-09,식품,100
2013-09,화학공업,16
2013-10,그룹및기업광고,11
2013-10,유통,36
2013-10,정밀기기및사무기기,34
2013-10,화장품및보건용품,78
2013-11,가정용전기전자,49
2013-11,"건설,건재및부동산",31
2013-11,음료및기호식품,42
2013-11,컴퓨터및정보통신,68
2013-12,산업기기,80
2013-12,출판,43
2013-12,컴퓨터및정보통신,68
2014-01,서비스,84
2014-01,제약및의료,85
2014-02,가정용품,72
2014-02,산업기기,40
2014-02,식품,100
2014-02,제약및의료,85
2014-02,출판,86
2014-02,패션,66
2014-03,가정용품,216
2014-03,산업기기,40
2014-03,컴퓨터및정보통신,68
2014-03,화장품및보건용품,156
2014-04,가정용품,72
2014-04,서비스,84
2014-04,화장품및보건용품,78
2014-05,산업기기,80
2014-05,서비스,168
2014-05,컴퓨터및정보통신,136
2014-05,화장품및보건용품,78
2014-05,화학공업,16
2014-06,가정용품,72
2014-06,"건설,건재및부동산",31
2014-06,정밀기기및사무기기,34
2014-07,서비스,84
2014-08,"건설,건재및부동산",31
2014-08,패션,66
2014-09,가정용품,72
2014-09,서비스,84
2014-09,화장품및보건용품,78
2014-10,산업기기,40
2014-10,서비스,252
2014-10,식품,100
2014-10,패션,66
2014-11,가정용품,72
2014-12,서비스,168
2014-12,제약및의료,85
2015-01,서비스,168
2015-01,화장품및보건용품,78
2015-02,서비스,84
2015-02,식품,100
2015-04,가정용품,72
2015-05,서비스,84
2015-05,출판,43
2015-05,패션,66
2015-05,화장품및보건용품,78
2015-06,화장품및보건용품,78
2015-07,가정용전기전자,49
2015-07,서비스,84
2015-07,식품,100
2015-07,유통,36
2015-07,제약및의료,85
2015-07,컴퓨터및정보통신,68
2015-08,서비스,84
2015-08,제약및의료,85
2015-09,서비스,168
2015-09,식품,100
2015-10,가정용품,72
2015-10,식품,100
2015-10,정밀기기및사무기기,34
2015-11,"건설,건재및부동산",31
2015-12,서비스,168
2015-12,수송기기,59
2015-12,컴퓨터및정보통신,68
2016-02,가정용전기전자,49
2016-02,서비스,84
2016-03,가정용품,72
2016-03,식품,100
2016-03,패션,66
2016-04,가정용품,72
2016-04,화장품및보건용품,78
2017-10,교육및복지후생,30
2018-10,산업기기,40
2019-05,그룹및기업광고,11
2020-06,서비스,84
2020-10,서비스,84
2021-03,산업기기,40
2021-07,교육및복지후생,30
2021-10,서비스,84
2022-01,가정용전기전자,49
2022-01,가정용품,144
2022-01,교육및복지후생,30
2022-01,그룹및기업광고,33
2022-01,서비스,168
2022-01,화장품및보건용품,78
2022-02,교육및복지후생,30
2022-02,그룹및기업광고,22
2022-02,"금융,보험및증권",27
2022-02,산업기기,40
2022-02,서비스,168
2022-02,수송기기,59
2022-02,식품,200
2022-02,패션,66
2022-02,화장품및보건용품,156
2022-03,그룹및기업광고,11
2022-03,서비스,84
2022-03,식품,100
2022-03,유통,36
2022-03,컴퓨터및정보통신,68
2022-04,가정용품,144
2022-04,그룹및기업광고,11
2022-04,서비스,252
2022-04,수송기기,59
2022-04,정밀기기및사무기기,34
2022-04,제약및의료,85
2022-04,화장품및보건용품,234
2022-05,가정용품,144
2022-05,그룹및기업광고,11
2022-05,기초재,35
2022-05,서비스,168
2022-05,수송기기,59
2022-05,유통,36
2022-05,정밀기기및사무기기,34
2022-05,제약및의료,85
2022-05,출판,43
2022-05,화장품및보건용품,78
2022-06,가정용전기전자,49
2022-06,그룹및기업광고,22
2022-06,산업기기,40
2022-06,서비스,84
2022-06,식품,300
2022-06,컴퓨터및정보통신,68
2022-06,화장품및보건용품,78
2022-07,교육및복지후생,60
2022-07,그룹및기업광고,11
2022-07,서비스,420
2022-07,식품,300
2022-07,유통,36
2022-07,제약및의료,85
2022-07,화장품및보건용품,78
2022-08,가정용품,216
2022-08,그룹및기업광고,22
2022-08,서비스,168
2022-08,식품,100
2022-08,유통,72
2022-09,그룹및기업광고,11
2022-09,기초재,35
2022-09,산업기기,40
2022-09,서비스,84
2022-09,컴퓨터및정보통신,68
2022-09,화장품및보건용품,78
2022-09,화학공업,16
2022-10,가정용품,72
2022-10,교육및복지후생,30
2022-10,그룹및기업광고,33
2022-10,기초재,35
2022-10,서비스,84
2022-10,컴퓨터및정보통신,136
2022-10,화장품및보건용품,156
2022-11,가정용전기전자,49
2022-11,가정용품,72
2022-11,교육및복지후생,60
2022-11,서비스,168
2022-11,식품,100
2022-11,패션,66
2022-11,화장품및보건용품,78
2022-12,가정용품,72
2022-12,화장품및보건용품,78
2023-01,서비스,84
2023-01,식품,100
2023-01,제약및의료,85
2023-02,가정용품,72
2023-02,산업기기,40
2023-02,출판,43
2023-03,그룹및기업광고,11
2023-03,제약및의료,85
2023-04,교육및복지후생,30
2023-04,그룹및기업광고,11
2023-04,패션,66
2023-04,화장품및보건용품,78
2023-05,가정용전기전자,49
2023-05,가정용품,72
2023-05,그룹및기업광고,11
2023-05,음료및기호식품,42
2023-06,가정용품,72
2023-06,"건설,건재및부동산",31
2023-06,식품,200
2023-06,패션,66
2023-07,가정용전기전자,98
2023-07,가정용품,72
2023-07,산업기기,40
2023-07,수송기기,59
2023-08,"건설,건재및부동산",31
2023-08,교육및복지후생,30
2023-08,그룹및기업광고,22
2023-08,서비스,84
2023-08,수송기기,59
2023-09,"건설,건재및부동산",31
2023-09,그룹및기업광고,11
2023-10,화장품및보건용품,78
2023-11,산업기기,40
2023-11,제약및의료,85
2023-12,기초재,35
2023-12,서비스,84
2023-12,제약및의료,85
