제작연도,고유번호,공익광고작품명,대분류,소분류,영상링크-코바코 홈페이지,영상링크-유튜브,핵심 키워드(관리자 직접 지정),썸네일 이미지,썸네일 이미지 이름
1981,1981_01,새해 새 희망,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/7?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_01.jpg
1981,1981_02,아끼세요,자연환경,에너지 절약,https://www.kobaco.co.kr/site/main/archive/advertising/5/10?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_02.jpg
1981,1981_03,우리는 모두 이웃,사회공동체,나눔/이웃,https://www.kobaco.co.kr/site/main/archive/advertising/5/9?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_03.jpg
1981,1981_04,풍요로운 내일,경제사회/기타,절약/소비,https://www.kobaco.co.kr/site/main/archive/advertising/5/11?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_04.jpg
1981,1981_05,의자,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/8?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_05.jpg
1982,1982_01,내일의 당신,가정/청소년,가족/대화,https://www.kobaco.co.kr/site/main/archive/advertising/5/13?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_01.jpg
1982,1982_02,대도약의 나래,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/12?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,,
1982,1982_03,모두가 주인,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/23?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_03.jpg
1982,1982_04,물가안정,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/24?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_04.jpg
1982,1982_05,반칙,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/20?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_05.jpg
1982,1982_06,부주의,자연환경,불조심,https://www.kobaco.co.kr/site/main/archive/advertising/5/15?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_06.jpg
1982,1982_07,셋이서 가요,가정/청소년,가족계획,https://www.kobaco.co.kr/site/main/archive/advertising/5/17?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_07.jpg
1982,1982_08,손잡기,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/19?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_08.jpg
1982,1982_09,어린이는 어른의 거울,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/26?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_09.jpg
1982,1982_10,얼룩진 자국,사회공동체,부정부패,https://www.kobaco.co.kr/site/main/archive/advertising/5/18?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_10.jpg
1982,1982_11,우리는 한 배를 타고 있습니다,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/21?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_11.jpg
1982,1982_12,우리의 영원한 정원,자연환경,환경보전,https://www.kobaco.co.kr/site/main/archive/advertising/5/22?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_12.jpg
1982,1982_13,일석사조,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/25?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_13.jpg
1982,1982_14,통일로 가는 길,경제사회/기타,통일,https://www.kobaco.co.kr/site/main/archive/advertising/5/16?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_14.jpg
1982,1982_15,한 민족 한 핏줄,경제사회/기타,통일,https://www.kobaco.co.kr/site/main/archive/advertising/5/14?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,,
1983,1983_01,결혼식,가정/청소년,가족계획,https://www.kobaco.co.kr/site/main/archive/advertising/5/38?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_01.jpg
1983,1983_02,나라의 미래,가정/청소년,청소년,https://www.kobaco.co.kr/site/main/archive/advertising/5/42?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,,
1983,1983_03,내일의 주인공,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/37?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_03.jpg
1983,1983_04,대식가,자연환경,불조심,https://www.kobaco.co.kr/site/main/archive/advertising/5/30?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_04.jpg
1983,1983_05,돈,경제사회/기타,절약/소비,https://www.kobaco.co.kr/site/main/archive/advertising/5/36?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_05.jpg
1983,1983_06,부끄러운 말,가정/청소년,가족/대화,https://www.kobaco.co.kr/site/main/archive/advertising/5/29?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,,
