번호,명칭,수량,재질,시대,용도기능,입수처,크기(cm),특징
31,광고정보 22호(1983년 1월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.5,"월간지, 80쪽(앞뒤 표지 제외)"
32,광고정보 23호(1982년 2월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.5,"월간지, 88쪽(앞뒤 표지 제외)"
33,광고정보 24호(1983년 3월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.1×24.5×0.5,"월간지, 84쪽(앞뒤 표지 제외)"
34,광고정보 25호(1983년 4월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.5,"월간지, 88쪽(앞뒤 표지 제외)"
35,광고정보 26호(1983년 5월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.5,"월간지, 78쪽(앞뒤 표지 제외)"
36,광고정보 27호(1983년 6월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.5,"월간지, 74쪽(앞뒤 표지 제외)"
37,광고정보 28호(1983년 7월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.5,"월간지, 84쪽(앞뒤 표지 제외)"
38,광고정보 29호(1983년 8월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.5,"월간지, 84쪽(앞뒤 표지 제외)"
39,광고정보 30호(1983년 9월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 92쪽(앞뒤 표지 제외)"
40,광고정보 31호(1983년 10월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 102쪽(앞뒤 표지 제외)"
41,광고정보 32호(1983년 11월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 84쪽(앞뒤 표지 제외)"
42,광고정보 33호(1983년 12월호),1,종이,1983년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 94쪽(앞뒤 표지 제외)"
43,광고정보 34호(1984년 1월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.5,"월간지, 100쪽(앞뒤 표지 제외)"
44,광고정보 35호(1984년 2월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.5,"월간지, 108쪽(앞뒤 표지 제외)"
45,광고정보 36호(1984년 3월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 92쪽(앞뒤 표지 제외)"
46,광고정보 37호(1984년 4월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.7×25×0.6,"월간지, 112쪽(앞뒤 표지 제외)"
47,광고정보 38호(1984년 5월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25.1×0.5,"월간지, 90쪽(앞뒤 표지 제외)"
48,광고정보 39호(1984년 6월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.7×25×0.5,"월간지, 88쪽(앞뒤 표지 제외)"
49,광고정보 40호(1984년 7월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25.1×0.5,"월간지, 192쪽(앞뒤 표지 제외)"
50,광고정보 41호(1984년 8월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 88쪽(앞뒤 표지 제외)"
51,광고정보 42호(1984년 9월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 94쪽(앞뒤 표지 제외)"
52,광고정보 43호(1984년 10월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 102쪽(앞뒤 표지 제외)"
53,광고정보 44호(1984년 11월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.6,"월간지, 90쪽(앞뒤 표지 제외)"
54,광고정보 45호(1984년 12월호),1,종이,1984년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 96쪽(앞뒤 표지 제외)"
55,광고정보 46호(1985년 1월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.6,"월간지, 98쪽(앞뒤 표지 제외)"
56,광고정보 47호(1985년 2월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 104쪽(앞뒤 표지 제외)"
57,광고정보 48호(1985년 3월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.6,"월간지, 100쪽(앞뒤 표지 제외)"
58,광고정보 49호(1985년 4월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.7,"월간지, 112쪽(앞뒤 표지 제외)"
59,광고정보 50호(1985년 5월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 98쪽(앞뒤 표지 제외)"
60,광고정보 51호(1985년 6월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 112쪽(앞뒤 표지 제외)"
61,광고정보 52호(1985년 7월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.8,"월간지, 120쪽(앞뒤 표지 제외)"
62,광고정보 53호(1985년 8월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.7,"월간지, 114쪽(앞뒤 표지 제외)"
63,광고정보 55호(1985년 10월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.5,"월간지, 84쪽(앞뒤 표지 제외)"
64,광고정보 56호(1985년 11월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 78쪽(앞뒤 표지 제외)"
65,광고정보 57호(1985년 12월호),1,종이,1985년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 106쪽(앞뒤 표지 제외)"
66,광고정보 58호(1986년 1월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.7,"월간지, 136쪽(앞뒤 표지 제외)"
67,광고정보 59호(1986년 2월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 112쪽(앞뒤 표지 제외)"
68,광고정보 60호(1986년 3월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.6,"월간지, 94쪽(앞뒤 표지 제외)"
69,광고정보 61호(1986년 4월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.7,"월간지, 118쪽(앞뒤 표지 제외)"
70,광고정보 62호(1986년 5월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 108쪽(앞뒤 표지 제외)"
71,광고정보 63호(1986년 6월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 88쪽(앞뒤 표지 제외)"
72,광고정보 64호(1986년 7월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×25×0.5,"월간지, 96쪽(앞뒤 표지 제외)"
73,광고정보 65호(1986년 8월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.6,"월간지, 98쪽(앞뒤 표지 제외)"
74,광고정보 66호(1986년 9월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 94쪽(앞뒤 표지 제외)"
75,광고정보 67호(1986년 10월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 92쪽(앞뒤 표지 제외)"
76,광고정보 68호(1986년 11월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 98쪽(앞뒤 표지 제외)"
77,광고정보 69호(1986년 12월호),1,종이,1986년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 102쪽(앞뒤 표지 제외)"
78,광고정보 70호(1987년 1월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 104쪽(앞뒤 표지 제외)"
79,광고정보 71호(1987년 2월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 104쪽(앞뒤 표지 제외)"
80,광고정보 72호(1987년 3월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 116쪽(앞뒤 표지 제외)"
81,광고정보 73호(1987년 4월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.7,"월간지, 120쪽(앞뒤 표지 제외)호수 오기(72호가 아니라 73호임)"
82,광고정보 74호(1987년 5월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.5,"월간지, 98쪽(앞뒤 표지 제외)"
83,광고정보 75호(1987년 6월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.5,"월간지, 94쪽(앞뒤 표지 제외)"
84,광고정보 76호(1987년 7월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.8,"월간지, 126쪽(앞뒤 표지 제외)"
85,광고정보 77호(1987년 8월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×1,"월간지, 166쪽(앞뒤 표지 제외)"
86,광고정보 78호(1987년 9월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.9,"월간지, 134쪽(앞뒤 표지 제외)"
87,광고정보 79호(1987년 10월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.7,"월간지, 130쪽(앞뒤 표지 제외)"
88,광고정보 80호(1987년 11월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 98쪽(앞뒤 표지 제외)"
89,광고정보 81호(1987년 12월호),1,종이,1987년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 128쪽(앞뒤 표지 제외)"
90,광고정보 82호(1988년 1월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×1,"월간지, 146쪽(앞뒤 표지 제외)"
91,광고정보 83호(1988년 2월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25.7×0.5,"월간지, 88쪽(앞뒤 표지 제외)"
92,광고정보 84호(1988년 3월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 96쪽(앞뒤 표지 제외)"
93,광고정보 85호(1988년 5월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.8,"월간지, 134쪽(앞뒤 표지 제외)"
94,광고정보 86호(1988년 5월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.9,"월간지, 148쪽(앞뒤 표지 제외)"
95,광고정보 87호(1988년 6월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 80쪽(앞뒤 표지 제외)"
96,광고정보 88호(1988년 7월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.9,"월간지, 154쪽(앞뒤 표지 제외)"
97,광고정보 89호(1988년 8월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 106쪽(앞뒤 표지 제외)호수 오기(88호가 아니라 89호임)"
98,광고정보 90호(1988년 9월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.6,"월간지, 124쪽(앞뒤 표지 제외)"
99,광고정보 91호(1988년 10월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 104쪽(앞뒤 표지 제외)"
100,광고정보 92호(1988년 11월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.6,"월간지, 120쪽(앞뒤 표지 제외)"
101,광고정보 93호(1988년 12월호),1,종이,1988년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 126쪽(앞뒤 표지 제외)"
102,광고정보 94호(1989년 1월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×1,"월간지, 166쪽(앞뒤 표지 제외)"
103,광고정보 95호(1989년 2월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.6,"월간지, 98쪽(앞뒤 표지 제외)"
104,광고정보 96호(1989년 3월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 102쪽(앞뒤 표지 제외)"
105,광고정보 97호(1989년 4월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25.6×0.7,"월간지, 126쪽(앞뒤 표지 제외)"
106,광고정보 98호(1989년 5월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 102쪽(앞뒤 표지 제외)"
107,광고정보 99호(1989년 6월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 90쪽(앞뒤 표지 제외)"
108,광고정보 101호(1989년 8월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.7,"월간지, 134쪽(앞뒤 표지 제외)"
109,광고정보 102호(1989년 9월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 98쪽(앞뒤 표지 제외)"
110,광고정보 103호(1989년 10월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 98쪽(앞뒤 표지 제외)"
111,광고정보 104호(1989년 11월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 108쪽(앞뒤 표지 제외)"
112,광고정보 105호(1989년 12월호),1,종이,1989년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 106쪽(앞뒤 표지 제외)"
113,광고정보 106호(1990년 1월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 124쪽(앞뒤 표지 제외)"
114,광고정보 107호(1990년 2월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.4×0.7,"월간지, 122쪽(앞뒤 표지 제외)"
115,광고정보 108호(1990년 3월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 120쪽(앞뒤 표지 제외)"
116,광고정보 109호(1990년 4월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 110쪽(앞뒤 표지 제외)"
117,광고정보 110호(1990년 5월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18.7×25.5×0.6,"월간지, 94쪽(앞뒤 표지 제외)"
118,광고정보 111호(1990년 6월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.7,"월간지, 124쪽(앞뒤 표지 제외)"
119,광고정보 112호(1990년 7월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.8,"월간지, 134쪽(앞뒤 표지 제외)"
120,광고정보 113호(1990년 8월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 108쪽(앞뒤 표지 제외)"
121,광고정보 14호(1990년 9월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 121쪽(앞뒤 표지 제외)"
122,광고정보 115호(1990년 10월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 122쪽(앞뒤 표지 제외)"
123,광고정보 116호(1990년 11월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18.8×25.9×0.6,"월간지, 109쪽(앞뒤 표지 제외)"
124,광고정보 117호(1990년 12월호),1,종이,1990년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 134쪽(앞뒤 표지 제외)"
125,광고정보 118호(1991년 1월호),1,종이,1991년(현대) ,광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18.7×25.9×0.8,"월간지, 158쪽(앞뒤 표지 제외)"
126,광고정보 119호(1991년 2월호),1,종이,1991년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18.7×26×0.6,"월간지, 114쪽(앞뒤 표지 제외)"
127,광고정보 120호(1991년 3월호),1,종이,1991년(현대) ,광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 108쪽(앞뒤 표지 제외)"
128,광고정보 121호(1991년 4월호),1,종이,1991년(현대) ,광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.5,"월간지, 114쪽(앞뒤 표지 제외)"
129,광고정보 122호(1991년 5월호),1,종이,1991년(현대) ,광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.7,"월간지, 122쪽(앞뒤 표지 제외)"
130,광고정보 123호(1991년 6월호),1,종이,1991년(현대) ,광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18.6×25.7×0.5,"월간지, 78쪽(앞뒤 표지 제외)"
131,광고정보 124호(1991년 7월호),1,종이,1991년 (현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 110쪽(앞뒤 표지 제외)"
132,광고정보 125호(1991년 8월호),1,종이,1991년(현대) ,광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.6,"월간지, 104쪽(앞뒤 표지 제외)"
133,광고정보 126호(1991년 9월호),1,종이,1991년(현대) ,광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.5,"월간지, 88쪽(앞뒤 표지 제외)"
134,광고정보 127호(1991년 10월호),1,종이,1991년(현대) ,광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.8,"월간지, 156쪽(앞뒤 표지 제외)"
135,광고정보 128호(1991년 11월호),1,종이,1991년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),19×25×0.7,"월간지, 122쪽(앞뒤 표지 제외)"
136,광고정보 129호(1991년 12월호),1,종이,1991년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 138쪽(앞뒤 표지 제외)"
137,광고정보 130호(1992년 1월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 146쪽(앞뒤 표지 제외)"
138,광고정보 131호(1992년 2월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18.8×25.8×0.7,"월간지, 128쪽(앞뒤 표지 제외)"
139,광고정보 132호(1992년 3월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.7,"월간지, 130쪽(앞뒤 표지 제외)"
140,광고정보 133호(1992년 4월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18×25×0.5,"월간지, 94쪽(앞뒤 표지 제외)"
141,광고정보 134호(1992년 5월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 114쪽(앞뒤 표지 제외)"
142,광고정보 135호(1992년 6월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 112쪽(앞뒤 표지 제외)"
143,광고정보 136호(1992년 7월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18.1×25.8×0.6,"월간지, 118쪽(앞뒤 표지 제외)"
144,광고정보 137호(1992년 8월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),25.5×25.5×0.6,"월간지, 110쪽(앞뒤 표지 제외)"
145,광고정보 138호(1992년 9월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),18.7×25.8×0.6,"월간지, 108쪽(앞뒤 표지 제외)"
146,광고정보 139호(1992년 10월호),1,종이,1992년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.6,"월간지, 106쪽(앞뒤 표지 제외)"
