번호,명칭,수량,재질,시대,용도기능,입수처,크기(cm),특징
1,"대한매일신보(제4권, 제133호)",1,종이,1906년(근대),신문,신인섭,30.5×55,4쪽
2,대한매일신보,1,종이,1907년(근대),신문,신인섭,30.5×55,4쪽
3,단성사 홍보주보,1,종이,1928년(근대),주간 홍보물,신인섭,13×18,4쪽
4,조선극장 홍보주보,1,종이,1929년(근대),주간 봉보물,신인섭,13×19.4,8쪽
5,중앙광고대상 자료철,1,종이,1983년(현대),중앙광고대상 관련 자료철,중앙일보사,30.1×34.3×6.1,1회(1965년)부터 19회(1983년)까지 자료로서 76쪽(앞뒤 표지 제외)
6,CM 라이브러리,1,종이,1977(현대),기록도서,디지모아,21.9×30.5×3.9,470쪽(앞뒤 표지 제외)
7,광고연감‘79,1,종이,1979(현대),광고연감,제일기획,20.4×26.3×4,738쪽(앞뒤 표지 제외)
8,TBC 동양라디오 방송순서표,1,종이,1971(현대),방송순서표,오리콤,35.9×53.1,
9,한국담배의장 도서,1,종이,1992(현대),홍보용 도서,KT&G,31.2×22.9×4.1,498쪽(앞뒤 표지 제외)
10,한국광고100년(상하권),2,종이,1996년(현대),한국광고 100년 관련 도서,(사단법인)한국광고단체연합회(현재 한국광고총연합회),23.2×31.9×3.9,"상권: 474쪽, 하권: 364쪽(앞뒤 표지 제외)"
11,"붉은악마 캠페인 기록책자(CD, 비디오테이프, 티셔츠 포함)",4,"종이, 플라스틱, 섬유(면)",2002년(현대),붉은악마 캠페인으로 주목을 받았던 SK텔레콤의 기록책자,"SK텔레콤, TBWA KOREA","책자:32.2×22.6×1.4,CD: 12(지름),비디오테이프: 18.8×10.4×2.5","58쪽(앞뒤 표지 제외), CD, 비디오테이프, 티셔츠 포함"
12,광고정보 2호(1981년 5월호),1,종이,1981년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.3,"월간지, 62쪽(앞뒤 표지 제외)"
13,광고정보 3호(1981년 6월호),1,종이,1981년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.3,"월간지, 62쪽(앞뒤 표지 제외)"
14,광고정보 4호(1981년 7월호),1,종이,1981년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.1×24.5×0.3,"월간지, 62쪽(앞뒤 표지 제외)"
15,광고정보 5호(1981년 8월호),1,종이,1981년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.3,"월간지, 62쪽(앞뒤 표지 제외)"
16,광고정보 6호(1981년 9월호),1,종이,1981년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.3,"월간지, 62쪽(앞뒤 표지 제외)"
17,광고정보 8호(1981년 11월호),1,종이,1981년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 76쪽(앞뒤 표지 제외)"
18,광고정보 9호(1981년 12월호),1,종이,1981년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 84쪽(앞뒤 표지 제외)"
19,광고정보 10호(1982년 1월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.1×24.5×0.5,"월간지, 80쪽(앞뒤 표지 제외)"
20,광고정보 11호(1982년 2월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 72쪽(앞뒤 표지 제외)"
21,광고정보 12호(1982년 3월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 78쪽(앞뒤 표지 제외)"
22,광고정보 13호(1982년 4월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.5,"월간지, 86쪽(앞뒤 표지 제외)"
23,광고정보 14호(1982년 5월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.1×24.5×0.5,"월간지, 86쪽(앞뒤 표지 제외)"
24,광고정보 15호(1982년 6월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.1×24.4×0.5,"월간지, 82쪽(앞뒤 표지 제외)"
25,광고정보 16호(1982년 7월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.8×25×0.4,"월간지, 80쪽(앞뒤 표지 제외)"
26,광고정보 17호(1982년 8월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 84쪽(앞뒤 표지 제외)"
27,광고정보 18호(1982년 9월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 86쪽(앞뒤 표지 제외)"
28,광고정보 19호(1982년 10월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 80쪽(앞뒤 표지 제외)"
29,광고정보 20호(1982년 11월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.9×25×0.5,"월간지, 88쪽(앞뒤 표지 제외)"
30,광고정보 21호(1982년 12월호),1,종이,1982년(현대),광고 정보지,한국방송광고공사(현재 한국방송광고진흥공사),17.2×24.5×0.5,"월간지, 110쪽(앞뒤 표지 제외)"
