도서명,저자,발행년도
한국광고시장 대외 개방에 관한 건의사항 ,한국방송광고공사,1987
한국방송광고공사 10년사 ,한국방송광고공사,1991
방송광고연구총서-[매체관련편] ,유재홍,1994
네덜란드의 방송광고 ,이규완,1995
독일의 방송광고 ,안보섭,1995
영국의 방송광고 ,민경숙,1995
프랑스의 방송광고 ,한은경,1995
방송광고연구총서-[광고산업편] ,유재홍,1995
광고산업의 세계화 ,한국방송광고공사,1996
호주의 방송광고 ,안보섭,1996
이탈리아의 방송광고 ,한은경,1996
중국의 방송광고 ,한은경,1996
광고산업의 과학화 ,신정신,1997
미국의 방송광고 ,신정신,1998
"방송광고, 어떻게 판매할 것인가? ","Warner, Charles",1998
TV광고의 길이효과 연구 / 인터넷광고의 포지셔닝과 효과 ,한정호/부경희/장대련,1998
일본의 방송광고 ,이철우,1998
텔레비전 시청률 조사의 글로벌 가이드라인 ,한국방송광고공사,1999
텔레비전 시청률 조사의 글로벌 가이드라인 ,한국방송광고공사,1999
텔레비전 시청률 조사의 글로벌 가이드라인 ,한국방송광고공사,1999
밀레니엄 연구논문 우수작품집 KOBACO ,이명성,1999
한국방송광고의 역사와 문화 ,김민환,2001
한국방송광고공사 20년사 ,한국방송광고공사,2001
공익광고의 이해 ,Earle Richard,2002
이 광고의 성공전략 ,권정남,2002
한국의 국제광고사 ,신인섭,2004
세계의 공익광고 ,카네코 히데유키,2004
광고와 상징 ,양웅,2004
광고와 심리 ,김재휘,2004
프랑스 광고산업의 이해 ,박찬표,2004
독일 광고산업의 이해 ,박노성,2004
네덜란드 광고산업의 이해 ,오세성,2004
이탈리아 광고산업의 이해 ,김봉철,2004
영국 광고산업의 이해 ,염성원,2004
대통령선거와 정치광고 ,김춘식,2005
공익광고 연구 ,우에조 노리오,2005
중국의 광고 ,신인섭,2005
영상커머셜 제작 ,윤석태,2005
한국광고문화회관 건설지 ,한국광고문화회관,2006
관계마케팅 ,허원무,2006
광고미디어플래닝 ,Kelly.Larry D,2006
광고에 대한 신화와 사실 ,Philip Jones. John,2006
한국 광고산업의 현재와 미래 ,송태정,2007
벤처.이노비즈기업 방송광고지원백서 ,한국방송광고공사,2007
트렌드가 된 브랜드 ,이현우,2008
우리가 사랑하는 KOBACO ,한국방송광고공사,2008
노인은 위대한 스토리 텔러다 ,경태림,2013
