지원연월,시도명,업종,지원금액
2012-01,강원도,제약및의료,127086050.0
2012-01,경기도,가정용전기전자,1016089480.0
2012-01,경기도,가정용품,3899246400.0
2012-01,경기도,산업기기,160000000.0
2012-01,경기도,서비스,11076132480.0
2012-01,경기도,식품,1426124000.0
2012-01,경기도,음료및기호식품,1500984660.0
2012-01,경기도,정밀기기및사무기기,781256420.0
2012-01,경기도,패션,140928480.0
2012-01,경기도,화장품및보건용품,786534840.0
2012-01,경상남도,수송기기,6370929740.0
2012-01,경상북도,서비스,654020640.0
2012-01,경상북도,화학공업,93535680.0
2012-01,대구광역시,교육및복지후생,4876200.0
2012-01,대구광역시,서비스,2116800.0
2012-01,대구광역시,수송기기,84157010.0
2012-01,대구광역시,음료및기호식품,309459360.0
2012-01,대구광역시,제약및의료,66955350.0
2012-01,대전광역시,유통,140313600.0
2012-01,대전광역시,음료및기호식품,125590920.0
2012-01,부산광역시,식품,621242000.0
2012-01,서울특별시,가정용전기전자,368646110.0
2012-01,서울특별시,가정용품,1611973440.0
2012-01,서울특별시,교육및복지후생,1074756900.0
2012-01,서울특별시,그룹및기업광고,219765700.0
2012-01,서울특별시,서비스,28801408440.0
2012-01,서울특별시,유통,327400920.0
2012-01,서울특별시,음료및기호식품,125590920.0
2012-01,서울특별시,출판,90137460.0
2012-01,서울특별시,컴퓨터및정보통신,229013120.0
2012-01,서울특별시,패션,651651000.0
2012-01,서울특별시,화장품및보건용품,10968992580.0
2012-01,인천광역시,가정용전기전자,275360400.0
2012-01,인천광역시,산업기기,485038400.0
2012-01,인천광역시,서비스,112425600.0
2012-01,인천광역시,유통,222329520.0
2012-01,인천광역시,패션,98678580.0
2012-01,전라남도,식품,5613020000.0
2012-01,전라북도,식품,167300000.0
2012-01,충청북도,식품,375984000.0
2012-02,강원도,가정용품,235085760.0
2012-02,강원도,제약및의료,118886950.0
2012-02,경기도,가정용전기전자,950535320.0
2012-02,경기도,가정용품,3530217600.0
2012-02,경기도,서비스,12123636840.0
2012-02,경기도,식품,1334116000.0
2012-02,경기도,음료및기호식품,1084568940.0
2012-02,경기도,정밀기기및사무기기,83307140.0
2012-02,경기도,패션,131836320.0
2012-02,경기도,화장품및보건용품,741031200.0
2012-02,경상남도,수송기기,4699535260.0
2012-02,경상북도,화학공업,87501120.0
2012-02,대구광역시,수송기기,147614460.0
2012-02,대구광역시,음료및기호식품,289494240.0
2012-02,대구광역시,제약및의료,62635650.0
2012-02,대전광역시,유통,131526360.0
2012-02,대전광역시,음료및기호식품,117488280.0
2012-02,부산광역시,식품,277930000.0
2012-02,서울특별시,가정용전기전자,344862490.0
2012-02,서울특별시,가정용품,1636407360.0
2012-02,서울특별시,교육및복지후생,1040178300.0
2012-02,서울특별시,그룹및기업광고,225071000.0
2012-02,서울특별시,서비스,18672816120.0
2012-02,서울특별시,유통,4124736000.0
2012-02,서울특별시,음료및기호식품,117488280.0
2012-02,서울특별시,출판,84322140.0
2012-02,서울특별시,컴퓨터및정보통신,1712781280.0
2012-02,서울특별시,패션,609609000.0
2012-02,서울특별시,화장품및보건용품,10213132020.0
2012-02,인천광역시,가정용전기전자,244764800.0
2012-02,인천광역시,산업기기,140649600.0
2012-02,인천광역시,서비스,117012000.0
2012-02,인천광역시,유통,207985680.0
2012-02,인천광역시,정밀기기및사무기기,136821440.0
2012-02,인천광역시,패션,92312220.0
2012-02,전라남도,식품,5053860000.0
2012-02,전라북도,식품,133840000.0
