년도,매체 유형,남성(명),여성(명),총계(명),남성(비율),여성(비율),총계(비율),연령_29세이하(명),연령_30-34세(명),연령_35-39세(명),연령_40세이상(명),고졸이하(명),전문대졸(명),대졸(명),대학원졸(명)
2016,전체,19688,9296,28984,68,32,100,3014,5438,5818,14713,1446,2591,23604,1348
2016,지상파TV,104,50,154,68,33,100,22,16,22,94,10,6,131,7
2016,DMB,18,5,23,78,22,100,1,4,2,16,0,2,21,0
2016,PP,658,263,921,71,29,100,119,226,302,274,10,47,836,28
2016,SO,160,51,211,76,24,100,16,50,66,79,1,16,192,2
2016,위성방송,7,3,10,70,30,100,1,1,2,6,0,0,10,0
2016,IPTV,18,14,32,56,44,100,7,8,10,7,0,0,28,4
2016,라디오,31,12,43,72,28,100,2,8,7,26,1,0,42,0
2016,신문,7217,2246,9463,76,24,100,434,1350,1217,6463,480,771,7626,587
2016,잡지,2750,1880,4630,59,41,100,488,992,1022,2128,65,134,3920,512
2016,PC,1109,449,1558,71,29,100,147,384,410,617,20,113,1395,32
2016,모바일,483,358,841,57,43,100,213,282,234,112,2,147,674,17
2016,옥외,5330,2361,7691,69,31,100,866,1395,1790,3639,489,691,6402,108
2016,DM,324,323,647,50,50,100,180,190,114,162,1,60,585,0
2016,생활정보,651,797,1448,45,55,100,93,199,374,782,358,458,619,14
2016,취업정보,105,147,252,42,58,100,88,50,67,48,1,118,135,0
2016,방송제작사,723,337,1060,68,32,100,337,283,179,260,8,28,988,37
2017,전체,16972,8707,25679,66,34,100,2333,3662,4831,14855,1488,2279,21026,884
2017,지상파TV,108,75,183,59,41,100,18,27,34,104,3,1,169,10
2017,DMB,7,2,9,78,22,100,1,2,3,3,0,2,7,0
2017,PP,671,283,954,70,30,100,119,212,298,325,19,44,867,24
2017,SO,132,46,178,74,26,100,11,33,47,87,1,30,144,3
2017,위성방송,7,4,11,64,36,100,2,2,4,3,0,0,11,0
2017,IPTV,10,7,17,59,41,100,1,3,6,7,0,0,14,3
2017,라디오,56,15,71,79,21,100,10,7,13,41,0,4,63,4
2017,신문,6105,1866,7971,77,23,100,308,597,921,6144,391,302,7106,171
2017,잡지,3017,2141,5159,59,42,100,548,893,1363,2355,55,215,4403,485
2017,PC,2340,984,3324,70,30,100,434,357,418,2115,101,198,2966,59
2017,모바일,239,201,440,54,46,100,123,126,115,77,0,37,397,6
2017,옥외,2558,1230,3788,68,33,100,379,753,854,1802,210,812,2751,14
2017,DM,395,376,771,51,49,100,163,169,212,227,10,92,629,39
2017,생활정보,665,1057,1722,39,61,100,114,135,316,1156,670,452,569,31
2017,취업정보,142,190,332,43,57,100,19,106,79,129,0,28,276,28
2017,방송제작사,520,231,751,69,31,100,83,240,148,280,28,62,654,7
2018,전체,24823,13242,38067,65,35,100,3332,6078,7865,20790,1859,4003,31191,1012
2018,지상파TV,66,39,105,63,37,100,14,21,32,38,4,13,82,6
2018,DMB,7,1,8,88,13,100,0,1,3,4,1,0,7,0
2018,PP,348,243,591,59,41,100,56,134,202,199,1,13,564,13
2018,SO,124,53,177,70,30,100,10,29,43,95,5,16,152,4
2018,위성방송,3,0,3,100,0,100,0,0,0,3,0,0,3,0
2018,IPTV,21,6,27,78,22,100,2,10,5,10,0,0,27,0
2018,라디오,138,36,174,79,21,100,6,25,39,104,5,9,154,6
2018,신문,9764,4185,13949,70,30,100,882,1854,2672,8540,105,1116,12573,154
2018,잡지,5561,2728,8290,67,33,100,623,1684,1735,4247,172,816,7054,247
2018,PC,3210,1187,4398,73,27,100,633,791,904,2070,494,970,2888,45
2018,모바일,192,80,272,71,29,100,40,63,83,86,6,15,249,1
2018,옥외,3476,3520,6996,50,50,100,630,774,1455,4137,752,811,5001,433
2018,DM,554,170,724,77,24,100,112,174,137,301,32,25,616,51
2018,생활정보,376,353,729,52,48,100,136,134,131,328,210,53,451,16
2018,취업정보,159,123,283,56,44,100,26,102,103,52,0,8,274,0
2018,방송제작사,824,518,1341,61,39,100,162,282,321,576,72,138,1096,36
2019,전체,17467,7615,25082,70,30,100,2337,3447,4321,14973,998,5067,18632,385
2019,지상파TV,131,47,178,74,26,100,18,35,34,91,1,19,148,10
2019,DMB,5,0,5,100,0,100,0,2,2,1,0,0,4,1
2019,PP,349,54,403,87,13,100,11,148,107,137,0,179,223,1
2019,SO,97,10,107,91,9,100,1,49,40,17,3,4,99,1
2019,위성방송,13,0,13,100,0,100,0,7,6,0,0,0,13,0
2019,IPTV,22,13,35,63,37,100,3,13,15,4,0,0,33,2
2019,라디오,65,11,76,86,15,100,3,20,22,31,0,2,74,0
2019,신문,7427,1922,9349,79,21,100,944,769,1060,6577,256,2090,6837,166
2019,잡지,2947,1943,4890,60,40,100,273,838,1077,2703,24,329,4501,38
2019,PC,1907,977,2884,66,34,100,351,438,493,1602,131,382,2297,74
2019,모바일,488,370,858,57,43,100,209,226,236,187,6,134,654,64
2019,옥외,2416,1043,3459,70,30,100,263,415,658,2122,358,1328,1757,16
2019,DM,598,492,1090,55,45,100,74,165,194,656,178,373,535,5
2019,생활정보,335,379,714,47,53,100,34,99,111,470,26,104,580,4
2019,취업정보,140,109,249,56,44,100,23,88,87,51,0,11,238,0
2019,방송제작사,526,243,769,68,32,100,130,135,179,324,15,112,639,3
2020,전체,13962,7424,21386,65,35,100,744,2799,4592,13253,730,5224,15185,247
2020,지상파TV,135,77,212,64,36,100,19,26,52,115,1,19,182,10
2020,DMB,3,2,5,60,40,100,0,0,4,1,0,0,5,0
2020,PP,401,218,619,65,35,100,21,125,159,314,0,85,528,6
2020,SO,193,32,225,86,14,100,0,4,79,142,0,15,210,0
2020,위성방송,10,3,13,77,23,100,0,2,3,8,0,0,13,0
2020,IPTV,24,20,44,55,46,100,6,12,13,13,0,0,44,0
2020,라디오,52,22,74,70,30,100,6,13,13,42,0,1,72,1
2020,신문,4279,1468,5747,75,26,100,113,705,966,3963,208,2072,3393,73
2020,잡지,2663,1534,4197,64,37,100,98,549,1016,2533,21,383,3728,65
2020,PC,1697,714,2411,70,30,100,143,279,359,1630,98,339,1926,48
2020,모바일,392,221,613,64,36,100,39,196,188,190,0,138,474,1
2020,옥외,2122,976,3098,69,32,100,120,325,679,1974,231,1099,1766,2
2020,DM,600,290,890,67,33,100,14,86,160,630,148,397,334,11
2020,생활정보,408,665,1073,38,62,100,3,46,207,817,23,572,477,1
2020,취업정보,525,1010,1535,34,66,100,138,351,517,529,0,22,1488,25
2020,방송제작사,459,173,632,73,27,100,24,80,177,352,0,82,545,4
2021,전체,16182,8434,24615,66,34,100,1716,3587,6269,13043,1148,5970,16905,592
2021,지상파TV,144,93,237,61,39,100,19,32,59,127,1,50,168,18
2021,DMB,2,1,3,67,33,100,0,0,1,2,0,0,3,0
2021,PP,533,212,745,72,29,100,34,86,222,403,0,71,647,27
2021,SO,205,33,238,86,14,100,14,21,49,154,0,5,228,5
2021,위성방송,5,3,8,63,38,100,0,2,2,4,0,0,8,0
2021,IPTV,43,26,69,62,38,100,8,20,20,21,0,0,67,2
2021,라디오,60,26,86,70,30,100,5,7,28,46,0,4,81,1
2021,신문,4846,2148,6994,69,31,100,406,573,1741,4274,451,1720,4695,128
2021,잡지,3575,1659,5234,68,32,100,485,1139,1456,2154,32,884,4056,262
2021,PC,2577,1346,3923,66,34,100,431,613,1001,1878,174,1120,2532,97
2021,모바일,392,129,521,75,25,100,4,166,195,156,1,154,364,2
2021,옥외,2082,679,2761,75,25,100,88,355,575,1743,317,1031,1391,22
2021,DM,425,194,619,69,31,100,24,95,130,370,97,224,297,1
2021,생활정보,422,724,1146,37,63,100,23,49,165,909,72,587,486,1
2021,취업정보,522,964,1486,35,65,100,131,334,498,523,0,71,1392,23
2021,방송제작사,350,195,545,64,36,100,44,95,127,279,3,49,490,3
2022,전체,15419,8849,24268,64,36,100,1278,3438,5938,13614,957,5887,16804,620
2022,지상파TV,119,89,208,57,43,100,19,39,35,115,1,4,190,13
2022,DMB,2,0,2,100,0,100,0,0,1,1,0,0,2,0
2022,PP,289,194,483,60,40,100,37,89,155,202,0,12,448,23
2022,SO,226,159,385,59,41,100,17,66,117,185,0,3,377,5
2022,위성방송,6,2,8,75,25,100,1,1,2,4,0,0,8,0
2022,IPTV,65,25,90,72,28,100,6,15,25,44,0,0,77,13
2022,라디오,38,22,60,63,37,100,4,10,12,34,1,1,51,7
2022,신문,"4,826","2,130","6,956",69,31,100,340,786,1465,4365,303,1777,4580,296
2022,잡지,"2,893","1,733","4,626",63,37,100,223,762,1272,2369,29,738,3699,160
2022,PC,"1,831",919,"2,750",67,33,100,102,290,703,1655,58,447,2187,58
2022,모바일,497,523,"1,020",49,51,100,154,229,283,354,50,246,709,15
2022,옥외,"2,770",944,"3,714",75,25,100,139,571,882,2122,343,1505,1865,1
2022,DM,404,187,591,68,32,100,4,57,166,364,89,271,231,0
2022,생활정보,404,672,"1,076",38,62,100,15,54,154,853,81,492,500,3
2022,취업정보,496,933,"1,429",35,65,100,150,326,426,527,0,96,1307,26
2022,방송제작사,553,317,870,64,36,100,67,143,240,420,2,295,573,0
2023,전체,14650,9117,23767,62,38,100,1446,3340,5557,13437,1019,5338,16820,603
2023,지상파TV,94,93,187,50,50,100,24,37,32,94,1,5,169,12
2023,DMB,1,0,1,100,0,100,0,0,0,1,0,0,1,0
2023,PP,314,197,511,61,39,100,40,101,153,217,0,27,457,27
2023,SO,203,135,338,60,40,100,14,62,108,154,0,11,322,5
2023,위성방송,6,2,8,75,25,100,1,1,2,4,0,0,8,0
2023,IPTV,65,27,92,71,29,100,7,11,22,52,0,0,79,13
2023,라디오,47,16,63,75,25,100,2,7,17,50,0,1,69,6
2023,신문,4155,2262,6417,65,35,100,344,814,1432,3827,182,1507,4492,236
2023,잡지,2898,1818,4716,61,39,100,92,824,1397,2403,44,656,3787,229
2023,PC,1837,779,2616,70,30,100,46,288,297,1985,61,220,2301,34
2023,모바일,583,757,1340,44,56,100,538,178,283,341,40,227,1067,6
2023,옥외,2558,1108,3666,70,30,100,121,440,879,2226,450,1643,1568,5
2023,DM,419,269,688,61,39,100,34,76,138,440,114,215,355,4
2023,생활정보,357,579,936,38,62,100,30,69,149,688,112,355,464,5
2023,취업정보,476,827,1303,37,63,100,53,285,448,517,0,281,1002,20
2023,방송제작사,637,248,885,72,28,100,100,147,200,438,15,190,679,1
