수상연도,광고제명(시상주체),작품명,제작사,수상내용
1991,제38회 칸느광고제,음주운전 방지- 필름역회전,제일기획,은사자상
1991,제34회 뉴욕페스티벌,음주운전 방지- 필름역회전,제일기획,공공광고부문 금상
1991,제11회 방송광고대상,음주운전 방지- 필름역회전,제일기획,공공광고 작품상
1991,제34회 뉴욕페스티벌,마약추방 - 올가미,세종문화,Finalist
1996,제5회 소비자가 뽑은 좋은 광고상,경제살리기 - 신소비 문화,제일기획,라디오 부문좋은광고상
1997,'97 대한민국광고대상,올바른 소비생활 - 씀씀이도 다이어트,제일기획,옥외부분 은상
1998,'98 대한민국광고대상,경제살리기 - 똑똑한 소비,제일기획,TV부문 은상
1999,'99 대한민국광고대상,청소년(독서) - 책벌레,휘닉스컴,잡지부문 동상
2000,제8회 소비자가 뽑은좋은 광고상,청소년(독서) -  발레리나 강진희,휘닉스컴,라디오 부문좋은광고상
2001,2001 대한민국광고대상,산불예방 - 동물사진,리앤디디비,TV부문 동상환경부문 특별상
2001,2001 대한민국광고대상,글로벌에티켓 - 교통월드컵 우승,휘닉스컴,인쇄부문 우수상
2002,2002 대한민국광고대상,친절 - 미소,리앤디디비,TV부문 우수상
2003,TVCF AWARD 2003,나눔의 문화 - 나누는 마음,선 연,금상
2003,TVCF AWARD 2003,자원 재활용 - 쓰레기는 죽지 않는다,대홍기획,공익부문우수상
2004,제12회 소비자가 뽑은 좋은 광고상,나눔의 문화 - 나누는 마음,선 연,TV 부문좋은광고상
2004,TVCF AWARD 2004,자원 재활용 - 병들의 합창,대홍기획,공익부문우수상
2006,한국광고인협회(AIA) 올해의 광고상,타인에 대한 배려 - 1분의 배려,KECC,올해의 광고상
2006,AD TIMES,타인에 대한 배려 - 1분의 배려,KECC,3월 이달의 best of best 수상
2006,TVCF AWARD 2006,타인에 대한 배려 - 1분의 배려,KECC,은상부문상(올해의카피상)
2006,한국인터넷마케팅협회 광고대회,공공장소에서의 에티켓 - 참 잘했어요(인터넷 배너),"차이커뮤니케이션,디보트픽쳐스(TV)",크리에이티브부문 동상
2007,TVCF AWARD 2007,사회공동체 - 주장과 배려,그레이프컴,Finalist
2007,TVCF AWARD 2007,자연환경 - 일회용품들의 수다,KECC,Finalist
2008,제1회 부산국제광고제,더불어 사는 사회 - 아름다운 빈손,광고방,Finalist
2008,TVCF,부모와 자식간의 대화 - 평생태교,KECC,TV부문 1월 우수광고
2008,TVCF AWARD 2008,에너지 절약 - 에너지는 현금입니다,깊이와 넓이,그랑프리
2008,TVCF AWARD 2008,에너지 절약 - 에너지는 현금입니다,깊이와 넓이,"품목별(공익, 공공기관) 최우수상"
2008,TVCF AWARD 2008,헌혈 - 세상에서 가장 아름다운 표정,노르웨이의 숲,Finalist
2009,한국의 성공캠페인 2010(사단법인 광고PR실학포럼),다문화 포용 - 행복을 채워주는 사람,디보트픽쳐스,올해의 공공캠페인
2010,TVCF AWARD 2010,교육과 청소년의 미래 - 부모와 학부모,㈜즐겨찾기필림,Finalist
2010,아이낳기 좋은세상 운동 경진대회,저출산 - 아이는 나라의 건강한 미래,깊이와 넓이,국무총리상
2010,한국의 성공캠페인 2010(사단법인 광고PR실학포럼),나눔/기부문화 - 밥이 되고 싶습니다,광고방,올해의 공익광고 캠페인
2011,서울영상광고제 TVCF AWARD 2011,가족의 가치 - 안과 밖이 다른 가족,(주)서든리,은상
2012,서울영상광고제 TVCF AWARD 2012,언어 순화 - 어서 말을 해,잼필름,"심사위원 특별상, 동상"
2013,대한민국광고대상,Silvertalk(인쇄),"제일기획,컴앤드,랜덤 비주얼",은상
2013,서울영상광고제 TVCF AWARD 2013,안전운전 - 오직 운전만 하세요,보아코끼리,은상
2013,서울영상광고제 TVCF AWARD 2013,Silvertalk(캠페인),"제일기획, 쥬앤블러썸",동상
2013,A.N.D AWARD 2013,다문화다리 캠페인 웹사이트(public service website),더즈,본상(Winner)
2014,서울영상광고제 TVCF AWARD 2014,스마트폰 올바른사용 - 묵념,솔트커뮤니케이션즈,금상
2014,서울영상광고제 TVCF AWARD 2014,에너지절약 - 발명보다 위대한 발견,(주)크리스마스필름,동상
2014,11회 웹어워드코리아,다문화다리 프로젝트,더즈,프로모션 이노베이션 대상
2014,한국광고PR실학회,타인배려 - 약사,심플리크리에이티브,올해의 캠페인상
2014,대한민국 교육기부대상,공익광고 현장교육,-,교육부 장관상
2015,서울영상광고제 TVCF AWARD 2015,가족간의 관계 - 질문,크리에이티브리퍼블릭,동상
2015,제2회 중국TV 공익광고제,스마트폰 올바른사용 - 묵념,솔트커뮤니케이션즈,우수상
2015,국민이 선택한 좋은 광고상,부모 자식간 커뮤니케이션 '효' - 효,심플리크리에이티브,특별상
2015,광복 70주년 기념사업추진위원회,나라 사랑 - 나를 위한,브레이브컴즈,대통령 표창
2016,제11회 임산부의 날,저출산 문제 - 아기의 마음,보아코끼리,보건복지부 장관상
2017,국민이 선택한 좋은 광고상,경쟁위주 사회문화 - 이세돌,이월삼십일일주식회사,특별상
2018,서울영상광고제 TVCF AWARD 2018,갑질문화 인식개선 - 벼슬,㈜영준이형,은상
2018,한국광고인협회(AIA) 올해의 광고상,갑질문화 인식개선 - 벼슬,㈜영준이형,좋은광고상
2019,2019년 방통위 적극행정 자체 경진대회,사회적 약자 보호 - 주인공은 싫습니다,그릿컴 주식회사,우수상
2019,서울영상광고제 TVCF AWARD 2019,사회적 약자 보호 - 주인공은 싫습니다,그릿컴 주식회사,Finalist
2019,서울영상광고제 TVCF AWARD 2019,안전불감증 개선 - 어느 안전,크리에이티브 랙탱글,Finalist
2020,제28회 국민이 선택한 좋은 광고상,사회적 약자 보호 - 주인공은 싫습니다,그릿컴 주식회사,특별상
2020,SPARK DESIGN AWARDS,2020 공익광고제 온라인 전시관(psa.kobaco.co.kr),"모트, 시온",Finalist
2020,서울영상광고제 TVCF AWARD 2020,학교폭력 예방 - 톡 쳤을 뿐인데,이월삼십일일주식회사,동상
2020,서울영상광고제 TVCF AWARD 2020,안전한 반려견 예절문화 - 우리 개는 순한데,브랜드센세이션,Finalist
2020,2020년 대한민국 광고대상,학교폭력 예방 - 톡 쳤을 뿐인데,이월삼십일일주식회사,금상
2020,2020년 대한민국 광고대상,상호 존중과 통합 - 대한민국 듣기평가,얼라이브필름즈,동상
2020,2020년 부산국제광고제,안전한 반려견 예절문화 - 우리 개는 순한데,브랜드센세이션,Finalist
2021,A.N.D AWARD 2021,코바코 공익광고 홈페이지,주식회사 코드명인,최우수상
2021,웹어워드코리아,코바코 공익광고 홈페이지,주식회사 코드명인,디지털 미디어&서비스부문 위너(Winner)
2021,서울영상광고제 TVCF AWARD 2021,아동보호 - 아동학대 방지,유브레인커뮤니케이션즈,소비자 반응상(특별상)
2021,서울영상광고제 TVCF AWARD 2021,아동보호 - 아동학대 방지,유브레인커뮤니케이션즈,Finalist
2021,서울영상광고제 TVCF AWARD 2021,청소년 개인정보보호 인식개선 - 털린그림찾기,주식회사 마제스타지,Finalist
2021,2021 대한민국 커뮤니케이션대상,환경 - 애착용기,유브레인커뮤니케이션즈,ESG 부문 최우수상
2021,한국PR대상,환경 - 애착용기,유브레인커뮤니케이션즈,최우수상
2021,올해의 광고PR상,환경 - 애착용기,유브레인커뮤니케이션즈,대상
2021,제29회 국민이 선택한 좋은 광고상,아동안전 - 운전자가 보호자(Viral),심플리크리에이티브,특별상
2021,2021 아시아 디자인 프라이즈,2020 공익광고제 온라인 전시관(psa.kobaco.co.kr),"모트, 시온",위너
2022,제30회 국민이 선택한 좋은 광고상,아동보호 - 아동학대 방지,유브레인커뮤니케이션즈,특별상
2022,서울영상광고제 TVCF AWARD 2022,다양성 존중 및 사회통합 - 존중과 배려 Viral,심플리크리에이티브,Finalist
2022,올해의 광고PR상,환경Ⅱ(탄소중립) - 좋은 습관,㈜대학내일,정부공공부문광고부문 대상
2023,서울영상광고제 TVCF AWARD 2023,공동체의식-처음만 힘들지,로보트필름,Finalist
2023,2023 ESG캠페인 대상,생활안전-일상의 개인안전,케이이씨씨,사회문제 인식 제고/개선 동상
2024,제32회 소비자가 뽑은 좋은 광고상,피싱-스미싱 예방-심청,마더스플랜컴퍼니,한국소비자단체협의장상
