광고소재등록일,대업종,중업종,소업종,인공지능(AI) 인식 키워드,수동 키워드
2021-07-14,서비스,개인서비스,세탁염색및청소,"거울,그릇,나무,나무마루,노트북,도로,불빛,사람,소파,시계,유리병,의자,자동차,창문가리개,책,천장,커튼,핸드폰","걸레질,닦다,로우앵글,바이바이,밝은,소프트포커스,여성성우,주부,줌인,화면분할"
2021-07-14,서비스,개인서비스,세탁염색및청소,"노트북,사람,소파,유리병,책,핸드폰","거실,걸레질,경쾌한,누르다,닦다,밝은,소프트포커스,여성성우,패닝,형광펜"
2021-07-14,서비스,개인서비스,세탁염색및청소,"거울,사람,창문가리개,핸드폰","거품,경쾌한,누르다,닦다,돌다,밝은,소프트포커스,여성성우,욕실,짜다,착용"
2021-07-14,서비스,개인서비스,세탁염색및청소,"사람,소파,시계,의자,책,천장,커튼,테이블,핸드폰,화분에 심은 식물","거실,경쾌한,누르다,로우앵글,미소,밀다,밝은,줌아웃,줌인,진공청소기"
2021-07-14,서비스,개인서비스,세탁염색및청소,"그릇,나무,사람,자동차,천장,콘크리트 벽,포장 도로,핸드폰","나도 할 수 있을까?,배웅하다,생활연구소,손을 흔들다,아이를 키우며 할 수 있는 일,업무를 선택하다,유연근무,일정을 확인하다,일하다,자유롭게,짬짬이,청소연구소 매니저,청소하다,휴대폰을 누르다"
2022-11-29,산업기기,전기관련기계,전기관련기계기타,"김보라(1995),바닥,사람,식탁,의자,책,천장,컵","나노씨엠에스,누르다,다가가다,둘러 앉아서,들다,마주 보며,서서히,엉켜있는,열리다,퍼지다,한데 모여"
2022-11-29,산업기기,전기관련기계,전기관련기계기타,"넥타이,바닥,사람,식탁,의자,책,천장,컵,콘크리트 벽","공간,기술의,깨끗한,나노,살균,센서,전자기기,카페,쾌적한,테이블,혁신의"
2022-11-29,산업기기,전기관련기계,전기관련기계기타,"노트북,사람,의자,천장,콘크리트 벽","공간,기술의,깨끗한,나노,사무실,살균,센서,오피스,전자기기,쾌적한,혁신의"
2022-11-29,산업기기,전기관련기계,전기관련기계기타,"노트북,바닥,사람,의자,천장,컵,콘크리트 벽","CMS,NANOCMS,UVC,V-GUARD 222,감지,공간,나노,동작,들어오는,무해한,바라보다,바이러스,살균,살균하다,센서,안심ZONE,안심존,안심하다,완료되다,외선,원자,인식하다,인체"
2022-11-29,산업기기,전기관련기계,전기관련기계기타,"바닥,사람,의자,천장,컵","나노씨엠에스,다가가다,둘러 앉아서,들다,마주 보며,서서히,엉켜있는,퍼지다,한데 모여"
2022-11-29,산업기기,전기관련기계,전기관련기계기타,"바닥,사람,의자,천장,컵,콘크리트 벽","공간 살균 V GUARD 222,나노씨엠에스,눈이 내리는,동작감지센서,들어서다,바이러스 안심존,바이러스 제거,바이러스 카페,어두운,원자외선,자동 살균,흰색의"
2022-11-29,산업기기,전기관련기계,전기관련기계기타,"노트북,배낭,사람,와인잔,의자,천장","나노씨엠에스,나란히,누르다,다가가다,들다,마주 보며,서서히,앉아서,엉켜있는,열리다,퍼지다,한데 모여,흘낏"
2022-11-29,산업기기,전기관련기계,전기관련기계기타,"노트북,바닥,사람,의자,천장,콘크리트 벽","공간,기술의,깨끗한,나노,사무실,살균,센서,오피스,전자기기,쾌적한,혁신의"
2022-05-31,화장품및보건용품,여성기초화장품,여성기초화장품기타,"모래시계,사람,앰플,유진","CG,내려보다,누르다,분위기,비트,소프트포커스,우아한,줌아웃,줌인,클로즈업,포즈,피부"
2022-05-31,제약및의료,의료기기,의료기기기타,"사람,유진,콘크리트 벽","PDO 고분자,깔끔한 화면구성,모델의존도 높은,미세입자필러,울트라브이,울트라콜,유진,의료기기,피부연구,화장품 같은"
2022-08-24,화장품및보건용품,여성기초화장품,여성기초화장품기타,"사람,유진,천장","강력한,고급,기능성화장품,내 피부,드레스,무대,변화,볼을 쓰다듬다,세련된,스튜디오,울트라브이,이데베논 프레스티지 앰플,이데베논으로 올리자,조명,프리미엄,행복한,화장품"
2022-08-17,제약및의료,의료기기,의료기기기타,"김지석,냉장고,넥타이,사람,소파,의자,창,책,콘크리트 벽","간편하게,남성피부,더 깊숙히,듀얼레이어,듀얼소닉,어디서나,언제나,지온메디텍,탄력있는,피부관리,홈케어,확실한 효과"
2022-08-12,제약및의료,의료기기,의료기기기타,"넥타이,사람,소파,의자,창,책,콘크리트 벽","걷다,남성의,레이저,마사지하다,만족하는,문지르다,신뢰하다,얼굴,의료기기,탄력있는,피부"
2022-07-22,제약및의료,의료기기,의료기기기타,"김나영,박민영,사람,소파,스튜디오 촬영장 조명,유리병,의자,창,책,커튼,컵,타일 벽,하늘,화분에 심은 식물","간편하게,더 깊숙히,듀얼레이어,듀얼소닉,어디서나,언제나,지온메디텍,탄탄해지는,피부관리,홈케어,확실한 효과"
2022-07-18,제약및의료,의료기기,의료기기기타,"반사광 우산,반사광우산,사람,소파,제품,창,책,커튼,콘크리트 벽,화분에 심은 식물","DUAL SONIC,간편한,관리하다,김유진,깊이,달라지다,듀얼 레이어,듀얼 소닉,미용기기 효과,바쁘다,스튜디오,유진,조명기기,차이,차이나다,책읽다,촬영하다,탄력,피부관리,피부탄력,화보 촬영"
2022-07-22,제약및의료,의료기기,의료기기기타,"사람,소파,의자,창,책,커튼,콘크리트 벽,화분에 심은 식물","당당한,레이저,만족스러운,매끄러운,미용,부드러운,신뢰하다,여성의,의료기기,편리한"
2022-08-18,제약및의료,의료기기,의료기기기타,"넥타이,사람,소파,유진,의자,창,책,커튼,콘크리트 벽,화분에 심은 식물","간편한,관리하다,꾸미다,남자의 분위기,넥타이을 매다,달라지다,대본을 보다,더 깊숙이 달라지는,듀얼레이어 기술,듀얼소닉,맛사지 하다,생각하는,세안 하다,웃다,지온메디텍,집에 오다,차이나다,책읽다,촬영하다,퇴근하다,피부관리,피부탄력,흑백의"
2022-07-18,제약및의료,의료기기,의료기기기타,"나무,사람,소파,유리병,의자,창,책,촬영스튜디오 조명기구,커튼,컵,하늘,화분에 심은 식물","간편하게,더 깊숙히,듀얼소닉,어디서나,언제나,지온메디텍,탄탄해지는,피부관리,홈케어,확실한 효과"
2022-08-12,제약및의료,의료기기,의료기기기타,"사람,옷,의자,창,책,천장,커튼,콘크리트 벽","김지석,꾸미다,남자의 분위기,넥타이을 매다,대본을 보다,더 깊숙이 달라지는,듀얼레이어 기술,듀얼소닉,맛사지 하다,생각하는,세안 하다,웃다,지온메디텍,집에 오다,퇴근하다,피부탄력,흑백의"
2022-08-17,제약및의료,의료기기,의료기기기타,"김지석,냉장고,배낭,사람,옷,유리병,의자,창,책,천장,칫솔,커튼,컵,콘크리트 벽,타월,텔레비전","간편하게,남성피부,더 깊숙히,듀얼레이어,듀얼소닉,어디서나,언제나,지온메디텍,탄력있는,피부관리,홈케어,확실한 효과"
2023-03-13,가정용전기전자,가정용전기전자기타,가정용전기전자기타,"사람,옷,유진,콘크리트 벽","감탄,관리하다,듀얼소닉,맥시멈,벽에 붙인,얼굴 마사지,요가하는,운동하다,웃다,지온메디텍,탄력,탄성,피부,피부관리기"
2023-02-28,가정용전기전자,가정용전기전자기타,가정용전기전자기타,"미용기기,사람,유진","SES,그림자,기대다,놀라다,마사지,미소,밝은,스트레칭,싱글샷,아름다운,응시,차분한,클로즈업,포즈,피부 관리,하얀,하이앵글,핸드헬드,환한"
