광고소재등록일,대업종,중업종,소업종,인공지능(AI) 인식 키워드,수동 키워드
2023-02-27,가정용전기전자,가정용전기전자기타,가정용전기전자기타,"넥타이,사람,유진,콘크리트 벽","관리하다,꾸준히,끌어올리다,단 하나의,맥시멈,아름다운,운동하다,자신만의,전하는,중요하다,타고난,탄성,피부,피부관리기"
2023-01-05,가정용전기전자,가정용전기전자기타,가정용전기전자기타,"미용기구,사람,유진","관리,그림자,마사지,만족,미소,밝은,스트레칭,싱글샷,아름다운,응시,클로즈업,포즈,하이앵글,화사한"
2023-03-29,가정용전기전자,가정용전기전자기타,가정용전기전자기타,"매트,미용기구,사람,유진","그림자,내레이션,마사지,밝은,빛나는,스트레칭,싱글샷,예쁜,응시,차분한,클로즈업,탄성,포즈,피부,하얀,홈트,환한"
2023-03-31,가정용품,가정용품기타,가정용품기타,"사람,소파,유진,컵","거울,꺼내다,만져보다,문지르다,살살,살펴보다,소파,앉은 채,엎드린 채,열어 젖히다,요리 조리,지온메디텍,집어 들다,편안한,화장대"
2023-03-31,가정용품,가정용품기타,가정용품기타,"사람,소파,유리병,유진,의자,컵,핸드폰","거울,꺼내다,만져보다,문지르다,살살,살펴보다,소파,앉은 채,엎드린 채,열어 젖히다,요리 조리,지온메디텍,집어 들다,편안한,화장대"
2023-07-06,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타,"사람,유진,컵","건강한,곡선,미용기기,얼굴,여성의,예쁘게,유지하는,전자용품,클리닉,피부"
2022-06-29,식품,건강식품,건강식품제품종합,"건물,공유,나무,마우스,바닥,사람,산,의자,창문가리개,컵,테이블,통,하늘","강렬한,그림자,대조,돌리다,돌아보다,복제,열다,인상적인,재미있는,점등,차분한,핑거팁,화면분할"
2022-06-29,식품,건강식품,건강식품제품종합,"건물,공유,나무,마우스,목재 벽,사람,산,식탁,옷,의자,창문가리개,커튼,컵,콘크리트 벽,테이블,하늘,화분에 심은 식물","Tak,건강기능식품,건강함,고맙습니다,고품질,덴마크,덴프스,비타민,에이치피오,연구,유산균"
2022-06-29,식품,건강식품,건강식품제품종합,"건물,공유,나무,마우스,목재 벽,사람,산,식탁,옷,의자,창문가리개,커튼,컵,콘크리트 벽,하늘,화분에 심은 식물","건강기능식품,건강한,남성의,두드리다,비타민,신선한,젊은,치다,프리미엄,활력있는"
2022-06-29,식품,건강식품,건강식품제품종합,"건물,공유,나무,마우스,바닥,사람,산,식탁,의자,창문가리개,컵,테이블,통,하늘,화분에 심은 식물","강렬한,걷다,그림자,핑거팁,꺼내다,놓다,대조,돌리다,돌아보다,복제,쏟다,열다,인상적인,재미있는,점등,차분한,화면분할"
2022-10-05,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","강형욱,사람,유리병","가져다대다,고개를 숙인채,뒤돌아보다,레시피,메디올,무표정한,쓰다듬어 올리다,잔뜩,잡아뜯다,청정샴푸,헝클어뜨리다,화난"
2022-11-17,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","가위,드라이기,사람,유리병,콘크리트 벽","가위,드라이기,메디올,반복,볼륨있다,부드럽다,샴푸,스타일링,이세희,지치다,청정하다,특허성분,파마머리,휘날리다"
2022-01-11,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","넥타이,사람,소파,창","RCP-B COMPLEX,가족,감다,관리하다,깨끗하게,두피청정샴푸,레시피,메디올,모두,상쾌하다,이세희,지현우,청정머리결,청정머리피부,특허성분"
2022-01-14,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","사람,유리병,자동차,지현우,트럭,하늘","고민,다음날까지,래시피,메디올,비듬각질,이세희,청정머리,청정샴푸,청정한 기분,탈모,헤어볼륨"
2022-12-05,화장품및보건용품,모발 및 목욕용제,"샴푸,린스",사람,"레시피,만족한,메디올이 필요해,모양을 만드는,무스를 바르는,스타일링,웃다,짜증나는,청정샴푸,청정하게,흑백의,힘들다"
2022-01-06,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","넥타이,배너,베너,사람,소파,유리병,창,창문가리개,커튼,콘크리트 벽","MED:ALL,RCP-B COMPLEX,가족,감다,관리하다,깨끗하게,머릿결,메디올,모두,상쾌하다,샴푸,청정머리,청정샴푸,특허성분"
2022-10-05,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","사람,옷","권하다,만족스런,머리카락,모발용품,샴푸,신선한,아름다운,여성의,즐거운,찰랑거리다"
2022-11-16,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","사람,콘크리트 벽","내 마음대로,레시피,메디올 샴프,메디올이 필요해,무스를 바르다,블랙프라이데이,스타일링,스프레이를 뿌리다,짜증나는,청정샴푸,청정하게,흑백의"
2022-11-03,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","사람,옷","가려운,레시피,만족한,메디올이 필요해,볼륨있게,부드럽다,비듬,스타일링,웃다,지치다,찰랑거리다,청정샴푸,흑백의"
2022-10-05,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","병,사람,지현우","건들건들,괴로운,넘기다,미소,반말,스타일링,싱글샷,재미있는,줌인,쥐어뜯다,청정,클로즈업,특허성분,포즈,화면분할,흑백"
2022-11-14,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","가위,사람,유리병,콘크리트 벽","가지런하다,만족스런,매력적인,모발용품,샴푸,엉키다,여성의,차분한,케어하다,효과있는"
2022-12-05,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","가위,사람,유리병,이세희,콘크리트 벽","가위,드라이기,메디올,반복,볼륨있다,부드럽다,샴푸,스타일링,이세희,지치다,청정하다,특허성분,파마머리,휘날리다"
2022-10-05,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","가위,사람,유리병,헤어 드라이기","가져다 대다,뒤돌아보다,레시피,메디올,무표정한,빗질하다,자르다,지친,찰랑이다,청정샴푸,턱을괴다,휘날리는"
2022-10-05,화장품및보건용품,모발 및 목욕용제,"샴푸,린스",사람,"감다,권하다,남성의,만족스런,머리카락,멋내는,모발용품,샴푸,신선한,즐거운"
2022-11-03,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","사람,옷,유리병,최명빈,콘크리트 벽","가위,드라이기,메디올,반복,볼륨있다,부드럽다,샴푸,스타일링,이세희,지치다,청정하다,특허성분,파마머리,휘날리다"
2022-11-03,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","사람,유리병,천장,콘크리트 벽","걱정,걱정스런,기분 안 좋은,망치다,머리,바라다,세일하다,속상하다,스타일,스타일링,실망한,지현우,청정한,필요하다,헤어"
2022-01-11,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","넥타이,사람,샴푸 용기,소파,의자,이성경,창,창문가리개,커튼,콘크리트 벽,하늘,핸드폰","깨끗,둘째도,레시피,막내도,메디올,비결이 뭐지,상쾌,아빠도,첫째도,청정 머리피부,청정머릿결,청정샴푸,특허성분"
2022-11-03,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","가위,사람","가려운,드라이하는,레시피,만족한,메디올이 필요해,반복된,볼륨있게,부드럽다,비듬,스타일링,웃다,지치다,찰랑거리다,청정샴푸,흑백의"
2022-01-14,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","배너,사람,자동차,제품,하늘","고민,대화,들다,떡지는,바디용품,볼륨,샴푸,앉다,운전하다,자동차,정장화장품,헤어"
2022-01-14,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","사람,유리병,자동차,지현우,하늘,헨리","고민,다음날까지,래시피,메디올,비듬각질,이세희,청정머리,청정샴푸,청정한 기분,탈모,헤어볼륨"
2023-02-03,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","병,사람,지현우","기분좋은,만지다,불만,뿌리다,싱글샷,쓸어넘기다,응시,줌인,짜다,짜증,클로즈업,특허성분,흑백"
2023-01-04,화장품및보건용품,모발 및 목욕용제,"샴푸,린스","사람,옷,유리병","나란히,돌리다,레시피,쓸어 올리다,양 손으로,쥐어 뜯다,찡그리다,찰랑 찰랑,클로즈업,허리춤에 손을 올린채"
2022-09-22,화학공업,화학공업기타,화학공업기업PR,"강,나무,물,사람,하늘","기술의,로프,미세플라스틱,보호하다,위험한,지키다,친환경,혁신의,화학용품,환경의"
2022-09-22,화학공업,화학공업기타,화학공업기업PR,"나무,배너,사람,하늘","대한민국 기술,로프,미세플라스틱,미세플라스틱이 날리다,밧줄리 끈어지다,세계자연유산,스마트로프,안전로프,야간가이드 용이,제주도,축광기능,플라스틱,환경 친화적"
2022-10-04,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타,"가스레인지,그릇,넥타이,사람,선반,세면대,소파,숟가락,식탁,유리병,의자,창,창문가리개,책,커튼,컵,키보드,타일 벽,테이블,화분에 심은 식물","경쾌한,놀라다,닦다,먹다,모녀,미소,밝은,뽑다,뿌리다,서빙,소프트포커스,시중,싱글샷,여성성우,웨이터,줌인,타이핑"
2022-08-08,화장품및보건용품,가정및보건용제지,물티슈,"건물,그릇,넥타이,벽,사람,소파,숟가락,식탁,오븐,유리병,의자,창,책,카운터,커튼,컵,콘크리트 벽,키보드,타일 벽,화분에 심은 식물","깨끗한,닦다,말끔한,물티슈,보건용품,사랑스러운,오염된,치우다,필요한,흘리다"
2022-08-08,화장품및보건용품,가정및보건용제지,물티슈,"그릇,김미숙,넥타이,사람,소파,숟가락,식탁,유리병,의자,창,책,커튼,컵,키보드,타일 벽,화분에 심은 식물","PC모니터,그릇,나비 넥타이,닦다,뽑다,소파,스프레이,식탁,의자,접시,지크린텍,창문,커튼,쿠션,키보드,티슈,화분"
2020-12-10,그룹및기업광고,기타광고,기타기업기타,"나무,사람,산,의자,컵,하늘","대화하다,리모델링,미소,바라보다,연륜,잔잔한,추억,회상하다"
2021-07-27,"건설,건재및부동산",건설,건설기타,"꽃병,넥타이,사람,선반,소파,시계,의자,자전거,책,트럭,화분에 심은 식물","말하다,변호사,설명하다,소개하다,인터뷰하다,전문적인,카메라를 보며,컬러,확대,효과음,흑백"
2022-07-27,정밀기기및사무기기,계량기및계측기,계량기및계측기기타,"건물,도로,사람,자동차,핸드폰","기술의,남성의,누르다,만족하는,열다,웃는,자동차,진단하다,편리한,혁신의"
2022-07-20,정밀기기및사무기기,계량기및계측기,계량기및계측기기타,"건물,넥타이,도로,벽돌 벽,사람,자동차,포장 도로,핸드폰","기술의,남성의,다가오다,디지털,서비스,앱,자동차,전문적인,진단하다,혁신의"
2022-07-26,정밀기기및사무기기,계량기및계측기,계량기및계측기기타,"건물,넥타이,도로,벽돌 벽,사람,자동차,포장 도로,핸드폰","기술의,남성의,누르다,만족하는,열다,웃는,자동차,진단하다,편리한,혁신의"
2022-07-27,수송기기,수송기기기타,수송기기기업PR,"건물,도로,사람,자동차,핸드폰","infocar,가장 안전한 차,내가 잘 아는차,내차를 아는것 부터,데이터분석,빅데이터,세상에서,시작,인포카,차량진단"
2023-08-18,정밀기기및사무기기,보안기기,보안기기제품종합,"건물,벽돌 벽,사람,자동차,천장,핸드폰","데이터 분석,문을 여는,분석하다,아는 것,안전,안전한 차,운전대를 잡은,인포카,차량 진단,출발하다,터치하다,헤드라이트"
2022-06-09,서비스,문화및공연,"전시, 박람회 및 학술회의","그릇,꽃병,사람,소파,식탁,와인잔,유리병,의자,창,천장,컵,콘크리트 벽,화분에 심은 식물","가구단지,대량의,소비하는,소파,쇼핑몰,식탁,장롱,정기세일,즐거운,창고정리,할인"
2017-04-11,서비스,문화및공연,"전시, 박람회 및 학술회의","사람,천장,하멜등대,화분에 심은 식물","가구,가전제품,나열,내레이션,다양한,밝은,생활용품,여성성우,인테리어,전시하다,하이앵글,화면분할"
2022-06-22,서비스,문화및공연,"전시, 박람회 및 학술회의","그릇,꽃병,바닥,배너,사람,소파,식탁,와인잔,유리병,의자,창,컵,콘크리트 벽,하늘,화분에 심은 식물","가구,가정용품,군산,리퍼브,박람회,욕실용품,제품,컨벤션세터,한자리,홈리빙,홈인테리어"
2023-03-08,서비스,문화및공연,"전시, 박람회 및 학술회의","건물,구름,노트북,배낭,사람,소파,시계,옷,의자,자동차,집,천장","건축,관람하는,농막,대전건축박람회,보여주는,사람이 많은,상담하는,이앤애드,인테리어 자재,전시하는,한자리에 모인"
2023-03-15,서비스,문화및공연,"전시, 박람회 및 학술회의","사람,유모차","가족,경쾌한,경품,둘러보다,밝은,여성성우,유아교육,육아용품,인파,장난감,줌인,하이앵글,화면분할,흔들리다"
2023-08-08,서비스,문화및공연,"전시, 박람회 및 학술회의",사람,"8월,경품,광주맘아랑베이비페어,김대중컨벤션센터,다양한,대규모,사랑,아이의 꿈,유아교육,육아용품,이앤애드,장난감,전시"
2018-06-07,서비스,문화및공연,"전시, 박람회 및 학술회의","눈,비행기,사람,울산대교전망대,인천대교,텔레비전,하늘","다양한,베이비페어,영유아식품,유아교육,육아,이벤트,임산부,임산부서비스,임산부용품,출산용품,태교용품"
2018-04-27,서비스,문화및공연,"전시, 박람회 및 학술회의","구름,그릇,금속,사람,소파,식탁,와인잔,유리병,의자,컵,콘크리트 벽","가정용품,다양한,박람회,생활가전,생활용품,세종,욕실용품,인테리어,주방가전"
2018-04-27,서비스,문화및공연,"전시, 박람회 및 학술회의","눈,비행기,사람,오토바이,울산대교전망대,하늘","경품,교육프로그램,다양한,대전,베이비페어,영유아식품,이벤트,임산부용품,임신,출산,출산용품,태교용품"
2018-03-13,서비스,문화및공연,"전시, 박람회 및 학술회의","건물,기차,배낭,벽돌 벽,사람,의자,창,타일 벽,텔레비전,핸드백","건설자재,건축,그래픽,내레이션,다양한,대전,박람회,인테리어,특별한,펼쳐지다"
2018-07-25,서비스,문화및공연,"전시, 박람회 및 학술회의","건물,노트북,리모트컨트롤,배낭,사람,서핑보드,자동차,책,커튼,키보드,핸드백,핸드폰","개최하다,그래픽,내레이션,다양한,대전,베이비페어,유아교육,육아용품,이벤트,임신,출산,판매하다"
2018-07-13,서비스,문화및공연,"전시, 박람회 및 학술회의","눈,비행기,사람,울산대교전망대,인천대교,자동차,텔레비전,하늘","개최하다,그래픽,내레이션,다양한,베이비페어,유아교육,육아용품,이벤트,전시하다,판매하다"
2017-09-19,서비스,문화및공연,"전시, 박람회 및 학술회의","건물,경주타워,곰인형,비행기,사람,오토바이,자동차,책,트럭","경품,다양한,베이비페어,유아교육,육아용품,이벤트,임산부,임신,출산,출판"
2017-08-29,서비스,문화및공연,"전시, 박람회 및 학술회의","금속,냉장고,베너,사람,의자,텔레비전,하늘","가구,개최하다,건축자재,다양한,대전,리빙,인테리어,전시하다,초대하다,축제"
2021-08-30,서비스,문화및공연,"전시, 박람회 및 학술회의","사람,천장","가족,교육,대전,밝은,베이비페어,신나는,유아,육아용품,이벤트,임신,즐거운,출산,컨벤션센터,프로그램,행복한"
2022-09-27,서비스,전문서비스,전문서비스기타,"건물,넥타이,노트북,마우스,사람,식탁,유리병,의자,창,책,천장,컵,키보드,탁상용의 물건,핸드폰","그룹,기술의,기업,대응하다,디지털,발전하다,성범죄,전문적인,젊은,혁신의,홍보"
2022-09-27,서비스,전문서비스,전문서비스기타,"건물,넥타이,노트북,사람,산,식탁,안경,유리병,의자,창,천장,추대엽 카피추,컵,텔레비전,핸드폰","긁적이다,긴박한,두드리다,라바웨이브,의논하다,전문적인,찾아내다,탐색하다,통화하다,팔짱끼다,함께모여"
2022-05-27,제약및의료,의료기기,의료기기기타,"구름,모래,사람,유지태,하늘","간편한,걱정스런,권하는,기침,기침하다,답답하다,베트라,불편한,시원한,유지태,의료기기,입다,입어서 폐속까지 깨끗하게,착용하다,침전물,코러스트,폐청결,폐호흡"
2022-01-21,제약및의료,의료기기,의료기기기타,"사람,유지태","건강을 지키는,나이 든,새로운,약해 보이는,유지태,의료기기,책임감을 느끼는,첨단을 달리는,콜록콜록 하다,폐 청결,폐 침전물 배출,힘들어 하는"
2022-04-27,제약및의료,의료기기,의료기기기타,"구름,모래,벽,사람,유지태,콘크리트 벽","간편한,걱정스런,권하는,기침,기침하다,답답하다,베트라,불편한,시원한,유지태,의료기기,입다,입어서 폐속까지 깨끗하게,착용하다,침전물,코러스트,폐청결,폐호흡"
2022-05-12,제약및의료,의료기기,의료기기기타,"구름,모래,벽,사람,유지태,하늘","건강한,기침하는,깨끗한,눕다,답답한,불편한,의료기기,청결한,폐,효과있는"
2022-05-27,제약및의료,의료기기,의료기기기타,"구름,모래,사람,사이먼도미닉,소파,스케이트보드,유지태,핸드폰","기술의,기침하다,깨끗한,만족스런,의료기기,청결한,치료,폐,혁신의,효과있는"
2022-12-23,제약및의료,의료기기,의료기기기타,"리모트컨트롤,바닥,사람,선반,소파,유지태,컵,하늘,화분에 심은 식물","CG,고빈도,기침하다,로우앵글,믿음직스러운,바스트샷,싱글샷,응시,줌아웃,줌인,차분한,클로즈업,호흡기,흉벽진동"
2022-04-21,식품,건강식품,건강식품기타,"그릇,사람,식탁,컵,테이블","10%할인,가정의 달 이벤트,고르고 고른,구전녹용,귀한 것,녹용 1박스 무료,러시아 아바이스크산 녹용,선물.나전칠기,원용,좋은선물,컵에 따르다,편강한방연구소,홍삼"
2022-06-29,식품,건강식품,건강식품기타,"그릇,사람,컵,테이블","건강기능식품,건강한,녹용,비법,생기있는,웰빙,전통의,젊은,프리미엄,활력있는"
2022-02-04,식품,건강식품,건강보조식품,"그릇,녹용,사람,사슴,상자,식탁,컵,테이블","CG,고급스러운,남성성우,놓다,따르다,러시아,원용,자개,잔잔한,저울,차분한,클로즈업,틸팅,피아노음악,홍삼"
2021-12-14,식품,건강식품,건강식품기타,"그릇,사람,식탁,컵,테이블","건강을 챙기다,고급스러워 보이다,고르고 고르다,구전녹용,귀하디 귀한,까다롭게,나전칠기의,불러왔습니다,선물포장된,신중하다,한방의"
2022-06-29,식품,건강식품,건강식품기타,"그릇,녹용,사람,사슴,사슴뿔,숟가락,시계,식탁,컵,콘크리트 벽,테이블","구전녹용,귀한,러시아녹용,무료체험,선별,아바이스크,여름수확,원용,편강한방연구소,홍삼"
2022-08-10,식품,건강식품,건강식품기타,"그릇,녹용,사람,사슴,숟가락,컵,콘크리트 벽","귀한 선물입니다,귀한거,녹용,동물,러시아산,마시다,사슴,순록,아바이스크 녹용,용,원용,음식,좋은선물이 아닙니다,초콜릿,추석선물"
2022-08-11,식품,건강식품,건강식품기타,"그릇,녹용,사람,상자,식탁,컵","CG,고급스러운,놓다,따르다,보여주다,소프트포커스,자개,저울,줌아웃,줌인,차분한,클로즈업,틸팅,피아노음악,하이앵글,화면분할,회전"
2021-12-24,식품,건강식품,건강식품기타,"그릇,사람,컵,테이블","고급스러운,놓다,따르다,보여주다,자개,저울,차분한,클로즈업,피아노음악,회전"
2022-04-21,식품,건강식품,건강식품기타,"그릇,사람,컵,테이블","가정의,건강기능식품,건강한,귀한,녹용,만족스럽다,보약의,선물하다,원방,즐겁다"
2022-02-04,식품,건강식품,건강식품기타,"그릇,녹용,사람,사슴,상자,컵,테이블","CG,고급스러운,남성성우,놓다,따르다,러시아,원용,자개,잔잔한,저울,차분한,클로즈업,틸팅,피아노음악,홍삼"
2021-12-24,식품,건강식품,건강식품기타,"그릇,사람,식탁,컵,테이블","귀한 것이다,녹용,따르다,러시아산의,마시다,사슴,선물하다,순록,원용,자개로 된,좋은 것이 아니다,진한,채취한,해부한"
2022-12-26,식품,건강식품,건강식품기타,"김계란,꽃병,넥타이,문짝,불빛,사람,새,식탁,의자,천장,커튼,핸드폰","가지런히,공손히,깜짝놀라서,마시다,번쩍 들다,양 손을 모므고,열리다,짜내다,편강한방연구소,포개어"
2022-12-26,식품,건강식품,건강식품기타,"그릇,사람,식탁,컵,테이블","건강,건강기능식품,건강한,녹용,생기있는,선물,설,원방,웰빙,젊은,프리미엄,활력있는"
2022-12-26,식품,건강식품,건강식품기타,"구름,김계란,넥타이,눈,바다,벤치,사람,새,옷,의자,포장 도로,하늘","고개를 숙이고,굴리다,낚시하다,들어올리다,마시다,물러서며,밀다,빨다,소리지르다,신나서,역기,쭈욱,편강한방연구소,하늘을 보며"
2022-12-26,식품,건강식품,건강식품기타,"김계란,사람,옷,유리병,컵,텔레비전","건네다,놀라다,들고서,마시다,미심쩍어하는,살짝 들어서,소리치다,싱긋,안다,쭈욱,편강한방연구소"
2022-12-26,식품,건강식품,건강식품기타,"그릇,사람,사슴,숟가락,식탁,컵","가지런히,다가가다,달다,밀다,붓다,위 아래로,저울질,정돈된,편강한방연구소,흔들다"
