번호,기준연월,기준일_범위,이용자구분,단체구분,이용자수
1,2014-01,13일~19일,어린이,개인,86
2,2014-01,13일~19일,어린이,단체,27
3,2014-01,13일~19일,청소년,개인,13
4,2014-01,13일~19일,청소년,단체,32
5,2014-01,13일~19일,대학생,개인,5
6,2014-01,13일~19일,성인,개인,99
7,2014-01,13일~19일,성인,단체,19
8,2014-01,01일~05일,어린이,개인,33
9,2014-01,01일~05일,청소년,개인,18
10,2014-01,01일~05일,청소년,단체,100
11,2014-01,01일~05일,대학생,개인,1
12,2014-01,01일~05일,성인,개인,37
13,2014-01,20일~26일,어린이,개인,88
14,2014-01,20일~26일,어린이,단체,12
15,2014-01,20일~26일,청소년,개인,19
16,2014-01,20일~26일,대학생,개인,7
17,2014-01,20일~26일,성인,개인,91
18,2014-01,27일~31일,어린이,개인,3
19,2014-01,27일~31일,청소년,개인,9
20,2014-01,27일~31일,성인,개인,6
21,2014-01,06일~12일,어린이,개인,65
22,2014-01,06일~12일,청소년,개인,4
23,2014-01,06일~12일,대학생,개인,6
24,2014-01,06일~12일,성인,개인,72
25,2014-02,10일~16일,어린이,개인,3
26,2014-02,10일~16일,청소년,개인,4
27,2014-02,10일~16일,청소년,단체,29
28,2014-02,10일~16일,대학생,개인,9
29,2014-02,10일~16일,성인,개인,67
30,2014-02,17일~23일,어린이,개인,15
31,2014-02,17일~23일,청소년,개인,16
32,2014-02,17일~23일,청소년,단체,30
33,2014-02,17일~23일,대학생,개인,7
34,2014-02,17일~23일,성인,개인,33
35,2014-02,24일~28일,어린이,개인,12
36,2014-02,24일~28일,청소년,개인,8
37,2014-02,24일~28일,대학생,개인,5
38,2014-02,24일~28일,성인,개인,30
39,2014-02,03일~09일,어린이,개인,7
40,2014-02,03일~09일,청소년,개인,14
41,2014-02,03일~09일,대학생,개인,12
42,2014-02,03일~09일,대학생,단체,52
43,2014-02,03일~09일,성인,개인,39
44,2014-03,10일~16일,어린이,개인,9
45,2014-03,10일~16일,청소년,개인,3
46,2014-03,10일~16일,청소년,단체,51
47,2014-03,10일~16일,대학생,개인,7
48,2014-03,10일~16일,성인,개인,34
49,2014-03,17일~23일,어린이,개인,3
50,2014-03,17일~23일,청소년,개인,4
51,2014-03,17일~23일,청소년,단체,33
52,2014-03,17일~23일,대학생,개인,14
53,2014-03,17일~23일,성인,개인,27
54,2014-03,01일~02일,어린이,개인,6
55,2014-03,01일~02일,성인,개인,8
56,2014-03,24일~30일,어린이,개인,8
57,2014-03,24일~30일,청소년,개인,4
58,2014-03,24일~30일,청소년,단체,105
59,2014-03,24일~30일,대학생,개인,51
60,2014-03,24일~30일,성인,개인,29
61,2014-03,31일,대학생,단체,67
62,2014-03,03일~09일,어린이,개인,8
63,2014-03,03일~09일,청소년,개인,3
64,2014-03,03일~09일,대학생,개인,2
65,2014-03,03일~09일,성인,개인,44
66,2014-04,14일~20일,어린이,개인,2
67,2014-04,14일~20일,청소년,단체,91
68,2014-04,14일~20일,대학생,개인,4
69,2014-04,14일~20일,대학생,단체,18
70,2014-04,14일~20일,성인,개인,31
71,2014-04,01일~06일,어린이,개인,3
72,2014-04,01일~06일,청소년,개인,8
73,2014-04,01일~06일,청소년,단체,127
74,2014-04,01일~06일,대학생,개인,25
75,2014-04,01일~06일,성인,개인,30
76,2014-04,21일~27일,어린이,개인,3
77,2014-04,21일~27일,어린이,단체,18
78,2014-04,21일~27일,청소년,단체,76
79,2014-04,21일~27일,대학생,개인,9
80,2014-04,21일~27일,성인,개인,45
81,2014-04,28일~30일,청소년,단체,299
82,2014-04,28일~30일,대학생,개인,1
83,2014-04,28일~30일,성인,개인,3
84,2014-04,07일~13일,어린이,개인,6
85,2014-04,07일~13일,어린이,단체,32
86,2014-04,07일~13일,청소년,개인,3
87,2014-04,07일~13일,청소년,단체,72
88,2014-04,07일~13일,대학생,개인,4
89,2014-04,07일~13일,대학생,단체,38
90,2014-04,07일~13일,성인,개인,23
91,2014-05,12일~18일,어린이,개인,23
92,2014-05,12일~18일,청소년,개인,6
93,2014-05,12일~18일,청소년,단체,221
94,2014-05,12일~18일,대학생,개인,8
95,2014-05,12일~18일,성인,개인,38
96,2014-05,19일~25일,어린이,개인,6
97,2014-05,19일~25일,청소년,개인,5
98,2014-05,19일~25일,청소년,단체,196
99,2014-05,19일~25일,대학생,개인,9
100,2014-05,19일~25일,대학생,단체,41
101,2014-05,19일~25일,성인,개인,18
102,2014-05,01일~04일,어린이,개인,2
103,2014-05,01일~04일,청소년,개인,1
104,2014-05,01일~04일,청소년,단체,76
105,2014-05,01일~04일,대학생,개인,8
106,2014-05,01일~04일,성인,개인,4
107,2014-05,26일~31일,어린이,개인,6
108,2014-05,26일~31일,어린이,단체,28
109,2014-05,26일~31일,청소년,개인,9
110,2014-05,26일~31일,청소년,단체,152
111,2014-05,26일~31일,대학생,개인,65
112,2014-05,26일~31일,대학생,단체,5
113,2014-05,26일~31일,성인,개인,8
114,2014-05,05일~11일,어린이,개인,116
115,2014-05,05일~11일,어린이,단체,57
116,2014-05,05일~11일,청소년,개인,5
117,2014-05,05일~11일,청소년,단체,59
118,2014-05,05일~11일,대학생,개인,22
119,2014-05,05일~11일,성인,개인,39
120,2014-06,16일~22일,어린이,개인,8
121,2014-06,16일~22일,어린이,단체,19
122,2014-06,16일~22일,청소년,개인,8
123,2014-06,16일~22일,청소년,단체,256
124,2014-06,16일~22일,대학생,개인,4
125,2014-06,16일~22일,성인,개인,11
126,2014-06,1일,어린이,개인,7
127,2014-06,1일,청소년,개인,2
128,2014-06,1일,대학생,개인,1
129,2014-06,1일,성인,개인,8
