파일명,년도,광고주,대분류,중분류,소분류,제품명,제목,대행사
A1A00001.wma,1991,엘프,기초재,"석탄, 석유 및 가스",윤활유,엘프,윤활류,
A1A00004.wma,1996,케스트롤뉴트론X,기초재,"석탄, 석유 및 가스",연료유,케스트롤뉴트론X,한국의명차들과함께,
A1A00005.wma,1997,엘지칼텍스정유(주)여,기초재,"석탄, 석유 및 가스",연료유,테크론,어서오세요,(주)엘지애드
A1A00006.wma,1996,엘지칼텍스정유(주)여,기초재,"석탄, 석유 및 가스",연료유,테크론,LG정유라고해주세요,(주)엘지애드
A1A00007.wma,1997,엘지칼텍스정유(주)여,기초재,"석탄, 석유 및 가스",연료유,테크론,장애인돕기에참여하세요,(주)엘지애드
A1A00008.wma,,엘지칼텍스정유(주)여,기초재,"석탄, 석유 및 가스",연료유,테크론,말못하는차도스트레스,(주)엘지애드
A1A00009.wma,,엘지칼텍스정유(주)여,기초재,"석탄, 석유 및 가스",연료유,테크론,추석맞이,(주)엘지애드
A1A00010.wma,1993,쌍용정유,기초재,기초재 기타,기초재 기업PR,쌍용정유,변함없는친절함,(주)제일기획
A1A00011.wma,1993,쌍용정유,기초재,기초재 기타,기초재 기업PR,쌍용정유,10부제편,(주)제일기획
A1A00012.wma,,쌍용정유,기초재,기초재 기타,기초재 기업PR,쌍용정유,도와주세요,(주)제일기획
A1A00013.wma,1993,경인에너지,기초재,"석탄, 석유 및 가스",윤활유,비스코루트,엔진보호,삼희기획
A1A00014.wma,1993,경인에너지,기초재,기초재 기타,기초재 기업PR,경인휘발유,다시찾고싶은 주유소,삼희기획
A1A00015.wma,1992,쌍용정유,기초재,"석탄, 석유 및 가스",윤활유,드래곤슈퍼,디젤엔진오일,나라기획
A1A00017.wma,1993,쌍용정유,기초재,"석탄, 석유 및 가스",윤활유,드래곤슈퍼CF,엔진을부드럽게,나라기획
A1A00018.wma,1993,쌍용정유,기초재,"석탄, 석유 및 가스",윤활유,드래곤슈퍼CF,대형트록,나라기획
