연도,대분류(NCS),중분류(NCS),소분류(NCS),세분류(NCS),교육과정명
2019,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고마케팅 이해 및 전략
2019,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고기획 사례연구 및 기획서 작성 클리닉
2019,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어플래닝의 이해
2019,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털광고 마케팅 및 트렌드 이해
2019,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,빅데이터와 디지털광고 사례분석
2019,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,콘텐츠 마케팅
2019,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,퍼포먼스 미디어 운영 및 효과분석
2019,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털 효과 측정 실전
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고마케팅 이해 및 전략
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고기획 사례연구 및 기획서 작성 클리닉
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,크리에이티브 & 광고카피 
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고제작 실습
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어플래닝의 이해
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어플래닝 전략 실무
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어플래닝 실습
