연구보고서,저자,발행년도
한국인의 라디오 청취행태 및 라디오 광고위력 조사 ,고려대학교 신문방송연구소,1983
한국 광고산업의 육성발전을 위한 제도연구 ,이상회,1983
공익광고의 주제와 내용에 대한 평가연구 ,강현두,1984
광고의 윤리성 제고를 위한 광고계 육성방안에 관한 연구 ,최창섭,1984
방송매체의 시청취 패턴 ,한국방송광고공사,1984
한국의 광고법 체제와 운영에 관한 연구 ,김정기,1985
정보매체에 대한 국민반응 효과조사 ,한국방송광고공사,1986
ATTITUDE OF ASIAN AD-MEN TOWARDS BROADCASTING REGULATION ,한국방송광고공사,1986
단체를 통한 효과적인 정부홍보방안 ,광고문화연구소,1987
매체 접촉행태 및 광고의 효과도 조사 ,유재홍,1987
DM효과제고를 위한 수용자분석 ,유재홍,1987
TV광고 내용분석연구 ,유재홍,1987
방송광고의 규제제도 및 규정에 관한 비교 연구 ,장형익,1987
한국광고시장 대외개방에 따른 대응방안 연구 ,한국방송광고공사,1987
공익광고 효율화 방안 연구 ,광고문화연구소 조사부,1988
광고 계획 및 예산 편성을 위한 광고 의사결정 지원체제 ,김상곤,1988
청장년(20대~30대) 세대의 의식구조 조사 ,유재홍,1988
광고전략수립을 위한 민력조사연구 ,유재홍,1988
방송광고 매체로서의 케이블 텔레비젼에 관한 연구 ,장형익,1988
제13대 대통령선거 정치광고에 관한 연구(요약) ,조병량,1988
방송제도와 방송광고에 대한 종합 연구 ,김우룡,1989
TV광고에 대한 소비자 반응 조사 ,유재홍,1989
한국광고대행산업의 특성 및 발전방향에 관한 연구 ,조병량,1989
공익광고평가 및 주제선정조사 ,한국방송광고공사,1989
방송광고시간 판매제도에 관한 연구 ,이수동,1990
신설 라디오 매체의 광고자료 연구 90/08 ,한국방송광고공사,1990
신설 라디오 매체의 광고자료 연구 90/12 ,한국방송광고공사,1990
공익광고평가 및 주제선정조사 ,한국방송광고공사,1990
방송광고요금의 지역별 차등적용기준에 관한 연구 ,황병일,1990
광고수요 예측에 관한 연구 ,황병일,1990
라디오 매체의 청취률 및 청취행태 연구 1991 ,한국방송광고공사,1991
방송광고 영업백서 ,한국방송광고공사,1991
'91 제2차 라디오 매체 청취율 및 청취행태 연구 ,한국방송광고공사,1991
공익광고 10년에 대한 평가 연구 ,한국방송광고공사,1991
가시청권 및 이에 따른 구매력 측정에 관한 연구 ,황병일,1991
종합유선방송실시에 따른 광고관련종합연구 ,유재홍,1992
종합유선방송(CATV)의 특성과 유선방송산업의 기반분석 ,이규완,1992
서울방송의 가시청권과 수신상태에 대한 조사 ,한국방송광고공사,1992
한국방송광고공사의 기능 ,한국방송광고공사,1992
한국방송광고공사연지 1992 ,한국방송광고공사,1992
공익광고평가 및 주제선정조사 ,한국방송광고공사,1992
'92년 라디오 매체의 청취율 및 청취경향 연구 ,한국방송광고공사,1992
도시옥외광고물의 질적향상을 위한 기본지침:1.현황과 전망 ,황기원,1992
광고와 관련한 광고주 실태분석 ,황병일,1992
국내진출 외국광고회사의 서비스 연구 ,민경숙,1993
광고시장개방 종합연구 ,민경숙,1993
광고산업 발전과 구조 변화에 관한 연구 ,이규완,1993
시장지배적 사업자 지정에 따른 공사의 대처방안에 관한 연구 ,이철우,1993
도시 옥외광고물 2 ,한국방송광고공사,1993
방송광고에 대한 소비자 의견 조사 ,한국방송광고공사,1993
광고교육현황 및 광고교육원 운영효율화 방안 연구 ,한국방송광고공사,1993
도시 옥외광고물 1 ,한국방송광고공사,1993
도시옥외광고물의 질적향상을 위한 기본지침:2. 기본이론과 응용기술 ,황기원,1993
라이프 스타일 유형에 따른 정보추구 및 매체접촉행동 ,황병일,1993
'94 방송광고에 대한 소비자 의견 조사 ,한국방송광고공사,1994
UR타결이후 광고산업 구조 변화와 대응책 연구 ,한국방송광고공사,1994
한국광고의 국제화 전략에 관한 연구 ,한국방송광고공사,1994
공익광고 평가조사 1994 ,한국방송광고공사,1994
주요국의 광고환경연구-중국편 ,한국방송광고공사,1994
일본광고산업의 세계화전략 연구 ,이철우,1995
공익광고 평가조사 1995 ,한국방송광고공사,1995
미국 광고산업의 세계화 전략 연구 ,한국방송광고공사,1995
시청률 조사제도 연구 ,한국방송광고공사,1995
해외광고의 활성화 방안 조사 ,한국방송광고공사,1995
"외국광고회사, 외국광고주 현황분석연구 ",민경숙,1996
'96 방송광고에 대한 소비자 의견 조사 ,한국방송광고공사,1996
우리나라 국가이미지 및 해외광고에 대한 의견조사 ,한국방송광고공사,1996
전국 가시청취권 조사 보고서 ,한은경,1996
전국광고 잠재력 조사 ,차종천,1997
전국 소비자의식 조사 ,차종천,1997
공익광고 평가조사 1997 ,한국방송광고공사,1997
신규 방송광고 업종 개발에 관한 연구 ,한국방송광고공사,1997
지역민방 광고시장분석 및 영업활성화 방안 ,한은경,1997
'97 전국 소비자의식 조사 ,이철우,1998
'98 전국 소비자의식 조사 ,이철우,1999
벤치마킹 결과보고서 ,한국방송광고공사,1999
취약 매체의 시장분석 및 영업활성화 ,한은경,1999
Media and Consumer 1999 ,한국방송광고공사,2000
Media and Consumer 1999 ,한국방송광고공사,2000
광고업계의 국제화에 따른 국내 광고회사 발전방안에 관한 연구 ,박원기,2001
아시아광고시장 변화와 북한광고 ,박찬표,2001
인터랙티브 미디어의 광고동향 연구 ,여송필,2001
2000년도 외국계 광고주 방송광고 실적분석 ,한국방송광고공사 국제부,2001
Media and Consumer 2000 ,한국방송광고공사,2001
비상업적 공공광고에 대한 개념정립 및 발전방향 ,KOBACO,2002
우리나라의 바람직한 쌍방향TV 광고도입 연구 ,김명중,2002
"방송광고의 공공성, 공익성 확보를 위한 주요국의 법, 제도 연구 ",박찬표,2002
인터랙티브 광고시스템 구축방안에 관한 연구 ,여송필,2002
2002년 상반기 방송 공익광고 사후평가 조사 ,한국방송광고공사,2002
공익광고 주제선정을 위한 여론조사 ,한국방송광고공사,2002
Media and Consumer 2001 ,한국방송광고공사,2002
중국 방송광고 시장변화와 프로그램 수출 합리화 방안 연구 ,강만석,2003
디지털방송과 인터랙티브 광고 ,기획정책실 경영전략부,2003
광고산업의 국민 경제적 기여도에 관한 국가간 비교 연구 ,김봉철,2003
광고매체 가치에 관한 연구 ,박노성,2003
광고요금에 관한 연구 ,박원기,2003
한국광고연구의 분석 및 발전에 관한 연구 ,박종렬,2003
지역방송 활성화 방안 연구 ,박찬표,2003
디지털 멀티미디어 방송(DMB) 매체활용 연구 ,여송필,2003
지상파방송의 인터랙티브 서비스 대응전략 연구 ,여송필,2003
국가이미지 제고전략에 관한 연구 ,염성원,2003
광고주와 광고회사간의 대행관계에 관한 연구 ,오세성,2003
디지털시대 뉴미디어 방송영상산업 활성화 방안 연구 ,이만제,2003
인터랙티브 광고 활성화 방안 연구 ,이시훈,2003
지방 광고시장 활성화에 관한 연구 ,이의자,2003
Media and consumer 2003 ,한국방송광고공사,2003
Media Now ,한국방송광고공사,2003
Media and Consumer 2002 ,한국방송광고공사,2003
주요국의 방송제도 연구 -호주- ,강만석,2004
총선 정치광고에 관한 연구 ,김광수,2004
방송영상산업 진흥을 위한 종합 정책연구 ,김동규,2004
방송통신 융합과 방송정책 추진체계 개편 연구 ,김동욱,2004
우리나라 방송광고 제도개선 방안에 관한 연구 ,김봉철,2004
중간광고의 경제 효과에 관한 연구 ,박노성,2004
시청률 예측에 관한 연구 -드라마 시청률 분석을 중심으로- ,박노성,2004
방송광고 용어의 오남용 실태에 관한 조사연구 ,박영상,2004
한국 광고관련법제 연구 ,박찬표,2004
주요국의 미디어렙 제도 연구 ,박찬표,2004
지상파 DMB서비스 수요예측 및 광고시장 전망 ,박천일,2004
한국방송광고공사(KOBACO) 공적기능의 지역 활성화 방안 연구 ,송정민,2004
주요국의 방송제도 연구 -미국- ,송종길,2004
체계적인 사회공헌 활동을 통한 한국방송광고공사의 역할 제고 방안 ,안보섭,2004
뉴미디어광고가 방송광고산업에 미치는 영향 ,여송필,2004
주5일 근무제도가 광고산업에 미치는 영향 ,여송필,2004
광고교육의 산학연계 방안 연구 ,염성원,2004
국제광고에 관한 광고인의 인식 연구 ,염성원,2004
국내광고시장에 크로스미디어렙의 효과적 도입방안에 대한 연구 ,오세성,2004
시청률조사 검증작업 제도 개선 연구 ,오세성,2004
정치·경제·사회의 변화가 광고산업에 미치는 영향 ,윤석홍,2004
주요국의 방송제도 연구 -영국- ,은혜정,2004
주요국의 방송제도 연구 -일본- ,이만제,2004
PVR(Personal Video Recorder)도입에 따른 광고시청 행태 변화와 광고정책 방안 연구 ,이상훈,2004
매체환경 변화에 따른 한국 광고시장 구성변동에 관한 예측 ,전석호,2004
방송환경 변화에 따른 방송 공익성 개념의 재정립 방향 ,정상윤,2004
영상 컨텐츠 유통 국제허브 구축방안 연구 ,최양수,2004
방송콘텐츠와 저작권에 관한 연구 ,최영묵,2004
주요국의 방송제도 연구-프랑스- ,하윤금,2004
공익광고 주제선정을 위한 여론조사 보고서 ,한국방송광고공사,2004
Media and consumer research 2004 ,한국방송광고공사,2004
광고산업의 통계DB 통합화를 위한 선행연구 ,황선영,2004
Media and consumer research 2005 ,KOBACO,2005
방송영상물의 세계시장 확대 및 지속화를 위한 종합전략 연구 - 중국 ,강만석,2005
디지털시대의 매체간 대체성에 관한 연구 ,강승구,2005
2005 독립제작사 실태 조사 연구 ,강익희,2005
DMB 도입초기 광고수용 특성에 관한 연구 ,강태완,2005
방송프로그램의 공익성 지수개발에 관한 연구 ,강형철,2005
동남아시아 방송산업과 시장특성에 따른 한국방송산업 경쟁력과 진출 강화 방안 ,권승호,2005
디지털 융합시대의 플랫폼별 콘텐츠 정책에 관한 연구 ,김국진,2005
방송통신융합에 따른 방송광고제도 개선방안에 관한 연구 ,김서중,2005
방송영상물의 세계시장 확대 및 지속화를 위한 종합전략 연구 - 일본 ,김영덕,2005
디지털 시대 한·일 양국의 저작권 법제와 처리관행에 관한 비교 연구 ,김정기,2005
디지털시대 방송광고 활용도 제고를 위한 연구 ,남궁협,2005
방송광고 판매 활성화를 위한 거래방식 비교연구 ,남인용,2005
오스트리아스위스 방송광고 제도 연구 ,박노성,2005
불황기 마케팅전략을 활용한 방송광고 판매제고 방안 연구 ,박원기,2005
광고소재 전송시스템 도입에 따른 광고모니터링 개선 방향 연구 ,박원기,2005
광고효과조사의 효용성 제고를 위한 개선방안 연구 ,박은아,2005
IMC 환경하의 광고에 대한 국민의식조사 분석결과 보고서 ,박은아,2005
IMC 환경하의 광고에 대한 국민의식 조사연구 ,박은아,2005
주요국의 광고관련 법제 비교 연구 ,박찬표,2005
방송영상콘텐츠의 환경변화에 따른 패러다임의 변화와 정책개선 방안 ,박창희,2005
주요국가 방송영상산업진흥정책 및 지원기구 연구 ,송종길,2005
미디어융합에 따른 광고산업 발전모델 연구 ,양영종,2005
지상파 디지털 TV 전환과 디지털 방송광고 ,여송필,2005
TV 간접광고에 관한 인식조사 연구 ,염성원,2005
한국의 방송광고 심의제도에 관한 연구 ,염성원,2005
광고산업 주요통계 조사 및 DB화 연구 ,오세성,2005
방송광고 판매시장 내 고객관계관리(CRM)시스템 구축 선행연구 ,오세성,2005
방송영상물의 세계시장 확대 및 지속화를 위한 종합전략 연구 - 아랍 ,윤재식,2005
방송영상물의 세계시장 확대 및 지속화를 위한 종합전략 연구 - 중남미 ,은혜정,2005
방송영상물의 세계시장 확대 및 지속화를 위한 종합전략 연구 - 대만 ,이만제,2005
고객만족 제고를 위한 경영지표 개발과 전략적 제언에 관한 연구 ,장대현,2005
방송사업자 재원구조 변화에 따른 정책전망 ,정기현,2005
IPTV 도입정책 및 시장전망에 관한 연구 ,정두남,2005
DMB 활성화 방안 연구 ,정두남,2005
방송영상콘텐츠 유통지원센터 설립 타당성 연구 ,정윤경,2005
방송구조 변화에 따른 방송광고 환경에 관한 연구 ,조흥래,2005
디지털 컨버전스 시대의 광고매체 속성과 광고효과에 관한 연구 ,최영균,2005
방송영상물의 세계시장 확대 및 지속화를 위한 종합전략 연구 - 인도 ,하윤금,2005
2005년 어린이 조사 ,한국방송광고공사,2005
Media and consumer research 2005 ,한국방송광고공사,2005
한류의 인적 브랜드자산 측정 연구 ,한은경,2005
전국 광고잠재력 조사연구 ,현용진,2005
2006 Media & Consumer Research in Korea ,KOBACO,2006
광고산업통계 2005 ,"문화관광부,한국방송광고공사",2006
방송광고시장 변화와 전망에 관한 연구 ,박노성,2006
광고대행 수수료에 관한 연구 ,박원기,2006
DMB 초기사용자(Early adopter) 다매체 사용행태 연구 ,박은아,2006
방송광고시장 예측에 관한 연구 ,박원기,2006
광고의 공적 커뮤니케이션 기능에 대한 연구 ,박찬표,2006
광고 및 광고주 신뢰회복을 위한 PR전략 연구 ,신호창,2006
방통융합시대 KOBACO체제 공적 기능 강화방안 연구,정두남,2006
광고산업 진흥을 위한 소요 연구과제 수요조사 ,오세성,2006
데이터방송 광고요금 및 판매대행에 관한 연구,여송필,2006
뉴미디어 환경하의 지역광고 산업 육성방안 연구 ,이의자,2006
중국 광고산업의 이해와 광고시장 진출 활성화 방안 연구 ,이호영,2006
방송물제작시장의 효율성 제고방안 연구 ,임정수,2006
미디어 융합에 따른 관련 기구 및 제도 효율화 방안에 관한 연구 ,주정민,2006
미디어 동시소비 추세에 따른 방송광고의 효과강화에 관한 연구,심미선,2006
국내 광고주의 브랜드 관리시스템 정착방안에 관한 연구,김유경,2006
방송통신 융합시대 방송규제구조 개편방안 연구,송종길,2006
온라인 광고의 정책과 제도에 관한 연구,이시훈,2006
방송통신 융합이 콘텐츠 산업에 미치는 영향과 정책과제,윤석민,2006
방송영상물 공정거래 확립방안 연구(저작권을 중심으로),은혜정,2006
"동아시아 방송한류 저변확대 방안 연구(중국,일본,대만)",이만제,2006
융합시대의 도래와 방송산업의 미래(디지털 융합시대 미디어 산업 및 정책 패러다임 전환 종합 연구),권호영,2006
디지털 시대 미디어 융합정책의 현안과 과제(디지털 융합시대 미디어 산업 및 정책 패러다임 전환 종합 연구),이기현,2006
KOBAnet 시스템 성과분석 연구 ,변종봉,2006
디지털 시대 콘텐츠 산업의 발전 전략 연구,문남미,2006
융합환경에서의 방송산업 시장획정 방법 및 규제 개선에 관한 연구,김도연,2006
자유무역협정(FTA)이 광고산업에 미치는 영향과 대응방안 연구,한상필,2006
디지털컨버전스 시대 인터랙티브TV 광고의 효과측정 방법에 관한 연구,변동현,2006
광고산업의 재활성화 방안에 관한 연구(광고에 대한 인식 제고 및 제도 활성화 방안),이희복,2006
소비자 행태 조사 2006 ,한국방송광고공사,2006
2006년 실버세대 조사 ,한국방송광고공사,2006
2007 Media & Consumer Research in KOREA ,KOBACO,2007
방송산업의 미래전망연구 ,김영덕,2007
방송통신융합시대의 콘텐츠산업진흥방안연구 ,김창규,2007
광고산업통계 2006 ,"문화관광부,한국방송광고공사",2007
지역방송 지원제도에 관한 연구 - 유럽 사례를 통한 한국형 모델 제안 ,박노성,2007
KOBACO 광고교육원 프로그램 개선방안에 대한 연구 ,박노성,2007
2008년 방송광고비 예측에 관한 연구 ,박원기,2007
방송통신융합시대에 적합한 공영방송 규제체제에 관한 연구 ,박천일,2007
KODEX 시스템 성과분석에 관한 연구 ,변종봉,2007
한.미 FTA 방송분야 타결이 방송광고에 미치는 영향 ,여송필,2007
인터넷 동영상이 지상파방송에 미치는 영향에 관한 연구 ,여송필,2007
미디어마케팅적 접근으로 고객지향경영가치를 창출하는 방송광고 머천다이징 연구 ,오세성,2007
광고산업 주요통계 조사 및 DB화 연구(3차년도) ,오세성,2007
방송 '한류'위기 극복을 위한 신시장 교류 확대와 네트워크 구축방안 연구 : 카스피해 연안국을 중심으로 ,윤재식,2007
방통융합시대의 광고제도를 통한 방송 공공성 확보방안 연구 ,전규찬,2007
광고인의 윤리의식과 방송광고 심의제도 개선방안 연구 ,정기현,2007
방송통신융합에 따른 광고제도 변화에 관한 연구 - 수평적 규제체계의 도입에 따른 광고규제 개선방안 - ,정두남,2007
지상파 디지털방송 멀티 모드 서비스(MMS)도입에 관한 연구 ,정두남,2007
디지털 다매체시대에 방송콘텐츠의 제작 및 유통에 관한 연구 - 콘텐츠 수요와 공급능력 분석을 중심으로 - ,최성진,2007
통합플랫폼 환경에서 방송이용행태 변화와 이용자 니즈의 차별성 연구 ,최세경,2007
한.미 FTA가 방송산업에 미치는 영향과 대응방안 ,최용준,2007
소비자 행태 조사 2007 ,한국방송광고공사,2007
방송통신융합시대 '매체간 균형발전'개념의 재정립에 관한 연구 ,한균태,2007
2008 Media & Consumer Research in KOREA ,KOBACO,2008
방송통신융합시대 차세대 성장동력 개발을 위한 방송영상산업진흥관려 법제도 정비방안 연구 ,강익희,2008
방송 엔터테인먼트 콘텐츠 경쟁력 강화방안 연구 ,권혁남,2008
글로벌시대 방송영상산업구조 선진화 및 시장확대방안 연구,윤호진,2008
방송콘텐츠제작산업 발전방안연구 -드라마산업을 중심으로- ,이만제,2008
"방송통신융합시대 지상파 방송, 유료방송, 융합서비스 및 독립제작사의 미래전망과 과제 ",이기현,2008
광고에서의 지적소유권 분쟁과 판례에 관한 연구-저작권 상표권 퍼블리시티권을 중심으로- ,김봉철,2008
광고산업통계 2007 ,"문화체육관광부,한국방송광고공사",2008
방송 통신 융합시대 공공서비스 방송의 개념과 법 제도 개선방안 ,언론개혁시민연대 한국방송광고공사,2008
IPTV 도입에 따른 방송광고환경 전망에 대한 연구 ,여송필,2008
광고산업 주요통계 조사 및 DB화 연구(4년차도) ,오세성,2008
방송광고 매출구조 진단을 통한 거래특성차원의 요금설계방안 연구 ,오세성,2008
인터넷광고가 방송광고에 미치는 영향에 대한 연구,여송필,2008
방송통신융합시대 지상파방송 규제체계 개선 방안 연구 ,정두남,2008
