번호,년도,매체구분,매체,대분류,중분류,소분류,광고주,제품,내용
MM-161,1927,잡지,현대평론(現代評論),기초재,"석탄, 석유 및 가스",석탄,"조선합동탄광주식회사,조선탄업주식회사","함흥탄,회령탄","함흥탄,회령탄등 연탄 광고"
SNU-254,1899,신문,황성신문,기초재,"석탄, 석유 및 가스",석탄,임전상점,,명동지폐은화교환소 임전상점 석탄광고
SNU-717,1910,신문,황성신문,기초재,"석탄, 석유 및 가스",석탄,평양무연연탄소,,평양무연연탄소 경성지점 
SNU-385,1901,신문,제국신문,기초재,"석탄, 석유 및 가스",석탄,진고개 마루태기,,"진고개 마루태기  양잿물,석탄광고"
MM-052,1917,잡지,반도시론(半島時論),기초재,농축수산 기초재,종묘,동경 원예상회,기업PR,우수한 종묘 목록 소개
yuhan-216,1927,신문,기타신문,기초재,"석탄, 석유 및 가스",석탄,육삼상회,관제연탄,석탄갑 반밧게 안드는 관제연탄
SNU-168,1909,신문,대한매일신보,기초재,농축수산 기초재,비료,광고주미상,,비료회사 파벤파부리켄
yuhan-226,1936,신문,조선일보,기초재,기초재 기타,기초재 기업PR,강상제대공업소,기업PR,부업에 지대제조
MM-418,1947,잡지,원예(園藝),기초재,농축수산 기초재,종묘,조선농사주식회사,기업PR,종자 묘목 생산 한다는 광고
SNU-336,1899,신문,황성신문,기초재,농축수산 기초재,종묘,육종원,,육종원 화수판매
MM-459,1948,잡지,신태양(新太陽),기초재,비금속,비금속 기타,공생유리공업사,기업PR,제병 저문 유리공업사 광고
SNU-353,1899,신문,황성신문,기초재,"석탄, 석유 및 가스",석탄,임전상점,,임전상점 석탄판매
SNU-505,1903,신문,황성신문,기초재,"석탄, 석유 및 가스",연료유,솔표석유,,솔표석유 전면광고
SNU-033,1909,신문,대한매일신보,기초재,목재 및 제지,목재,광고주미상,기업PR,목재판매광고
LG-AD-1042,1968,신문,동아일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,호남정유 주유소로 오십시오,호남정유 주유소로 오십시오
LG-AD-1043,1968,신문,동아일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,세척경유,경유엔진을 보호하는
LG-AD-1036,1969,신문,동아일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,호남정유 여수공장 증설공사 완공,가정용 난방연료유 등유
LG-AD-1037,1969,신문,동아일보,기초재,"석탄, 석유 및 가스",연료유,호남정유,화이브스타 모터오일,새로운 발견
LG-AD-1038,1969,신문,동아일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,세척휘발유,현대 운전사는 선택할줄 압니다
LG-AD-1039,1969,신문,동아일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림,우주시대를 달리는 고성능 휘발유
LG-AD-1040,1969,신문,동아일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,세척휘발유,경제적이고 상쾌한 드라이브
LG-AD-1041,1969,신문,동아일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,세척휘발유,이제부터 경비가 절약됩니다
조선광고대상0080,1970,신문,조선일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",대한석유공사,세브스3,고속시대
LG-AD-0452,1971,잡지,기타잡지,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈프림골드,황금의 휘발유로 엔진에 새힘을
LG-AD-0453,1971,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈프림골드,호남정유가 새로이 드리는 - 고급휘발유
