번호,년도,매체구분,매체,대분류,중분류,소분류,광고주,제품,내용
LG-AD-0431,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈퍼디젤,유신고속 운전기사 김흥윤 편
LG-AD-0432,1972,잡지,기타잡지,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈퍼디젤,속리산관광고속 운전기사 최경식 편
LG-AD-0433,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈퍼디젤,유신고속 공장장 박총복 편
LG-AD-0434,1972,잡지,썬데이서울,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈퍼디젤,그레이하운드 운전기사 강진용 1편
LG-AD-0435,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈퍼디젤,그레이하운드 운전기사 강진용 2편 
LG-AD-0436,1972,잡지,기타잡지,기초재,"석탄, 석유 및 가스",연료유,호남정유,별표 백등유,봄의 따스함을 집안에 가득히
LG-AD-0437,1972,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,검은황금
LG-AD-0438,1972,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,검은 황금을 아낍시다
LG-AD-0439,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",가스,호남정유,LPG가스,요리솜씨를 제대로 발휘하시려면…
LG-AD-0440,1972,잡지,주간경향,기초재,"석탄, 석유 및 가스",윤활유,호남정유,화이브스타 모터오일,청춘의 샘으로 오십시오
LG-AD-0442,1972,잡지,선데이서울,기초재,"석탄, 석유 및 가스",윤활유,호남정유,화이브스타 모터오일,청춘의 샘으로 오십시오
LG-AD-0443,1972,잡지,주간경향,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈프림골드휘발유,청춘의 샘으로 오십시오
LG-AD-0444,1972,잡지,기타잡지,기초재,"석탄, 석유 및 가스",연료유,호남정유,칼텍스 카스템 화이브스타 모터오일,청춘의 샘으로 오십시오
LG-AD-0445,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,호남정유,화이브스타 모터오일,청춘의 샘으로 오십시오
LG-AD-0446,1972,잡지,선데이서울,기초재,"석탄, 석유 및 가스",연료유,호남정유,슈프림골드휘발유,청춘의 샘으로 오십시오
LG-AD-0447,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,녹색의 슈퍼디젤,한남고속 정비주임 남원삼 편
LG-AD-0448,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,녹색의 슈퍼디젤,그레이하운드 정비부사장 이.엘.티크
LG-AD-0449,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,녹색의 슈퍼디젤,한일고속 운전기사 김재인 편
LG-AD-0450,1972,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,녹색의 슈퍼디젤,한일고속 정지계장 최동희 편
LG-AD-3602,1972,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림골드,황금의 휘발유로 엔진에 새힘을
LG-AD-3603,1972,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈퍼디젤,오늘하루의 이익이 매연과 함께 사라지고 있지 않읍니까
LG-AD-3604,1972,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,엄마 별 고마운별
LG-AD-3605,1972,신문,주간조선,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,수퍼디젤,오늘하루의 이익이 매연과 함께 사라지고 있지 않읍니까
LG-AD-3606,1972,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈퍼디젤,오늘하루의 이익이 매연과 함께 사라지고 있지 않읍니까
LG-AD-3607,1972,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈퍼디젤,오늘하루의 이익이 매연과 함께 사라지고 있지 않읍니까
조선광고대상0137,1973,신문,조선일보,기초재,기초재 기타,기초재 기업PR,대한석유공사,기업PR,엔진을 살아있는 김장과 같읍니다
LG-AD-3600,1973,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림 화이브스타 모터오일,세계어느나라 어떤 차에도
LG-AD-3601,1973,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림 화이브스타 모터오일,세계어느나라 어떤 차에도
LG-AD-3599,1974,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,석유나무는 황금의 나무입니다
LG-AD-3597,1977,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,검은 황금을 아낍시다
LG-AD-3598,1977,잡지,현대경제,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,한방울의 기름에도 정성을 다한 10년
LG-AD-3608,1977,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,깨끗한 아침이슬
LG-AD-0932,1978,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,깨끗한 아침 이슬
LG-AD-1180,1978,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 기타",럭키,ABC RESIN,럭키가 이룩한 또 하나의 개가
LG-AD-1187,1978,신문,기타신문,기초재,"석탄, 석유 및 가스",연료유,호남정유,깨끗한 아침 이슬,깨끗한 아침 이슬
LG-AD-0928,1979,잡지,한국수산신보,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,석유를 아낍시다
조선광고대상0292,1981,신문,조선일보,기초재,기초재 기타,기초재 기업PR,세대제지공업주식회사,기업PR,문명을 더듬는 손
LG-AD-1035,1981,신문,조선일보,기초재,"석탄, 석유 및 가스",연료유,호남정유,cxb,연료절약.돈절약
LG-AD-0918,1983,신문,조선일보,기초재,"석탄, 석유 및 가스",연료유,호남정유,CXB,연료절약.돈절약
LG-AD-0919,1983,잡지,서울청년회의소,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,석유를 아낍시다
LG-AD-0920,1983,신문,광주일보,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,호남지역과 함께 성장해온 호남정유
LG-AD-1246,1986,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",럭키금성상사,칼텍스슈프림화이브스타,"세계속에 쌓아온 그 기술,그품질"
LG-AD-1280,1986,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",럭키금성상사,슈림프 화이브스타,"세계속에 쌓아온 그 기술,그품질"
LG-AD-1919,1986,신문,매일경제신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,칼텍스슈프림화이브스타,"세계속에 쌓아온 그 기술,그 품질"
LG-AD-2271,1986,신문,경향신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,칼텍스슈프림화이브스타,"세계속에 쌓아온 그 기술,그 품질"
조선광고대상0443,1987,신문,조선일보,기초재,기초재 기타,기초재 기업PR,전주제지주식회사,기업PR,종이 한 장 아쉬웠던 그 시절
LG-AD-2485,1987,잡지,경향,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,"2천년대 종합에너지및 석유화학산업,"
LG-AD-2689,1988,신문,매일경제신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,폴리프로필렌 공장준공
LG-AD-2692,1988,신문,한국경제신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,종합에너지및 석유화학산업의 발전을 위해
중앙광고대상0353,1989,신문,중앙일보,기초재,기초재 기타,기초재 기업PR,전주제지주식회사,기업PR,서기2천년-이것은 곧 종이의 역사입니다
KAA1990 (154),1989,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,하늘-좋은석유 맑은공기
LG-AD-2629,1989,신문,한국경제,기초재,기초재 기타,기초재 기업PR,럭키금속,기업PR,한국광업제련의 새로운 이름-럭키금속
LG-AD-1696,1990,신문,내외경제신문,기초재,기초재 기타,기초재 기업PR,럭키금속,기업PR,"럭키금속,우수KS업체 대상수상"
LG-AD-2232,1990,신문,스포츠조선,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림CXT,우승또 우승
KAA1992 (36),1991,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,한밭,터보NO.1,최첨단 합성엔진오일
KAA1992 (5),1991,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,인천제철 스테인레스
LG-AD-1450,1991,신문,국민일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈퍼 다이나믹,요즘 몰라보게 잘 나갑니다
LG-AD-2478,1992,신문,한국경제,기초재,기초재 기타,기초재 기업PR,럭키금속,기업PR,우리나라 봉생사의 역사입니다
중앙광고대상0480,1993,신문,중앙일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림디럭스,깃털처럼 부드럽고 가볍게
중앙광고대상0487,1993,신문,중앙일보,기초재,기초재 기타,기초재 기업PR,유공,기업PR,깨끗하게 되살려 알뜰하게 씁시다
KAA1994 (171),1993,신문,기타신문,기초재,기초재 기타,기초재 기업PR,럭키금속,기업PR,"땅을,하늘을,바다를 살려서"
KAA1994 (172),1993,신문,기타신문,기초재,기초재 기타,기초재 기업PR,럭키금속,기업PR,자유는 무죄
KAA1994 (180),1993,신문,기타신문,기초재,기초재 기타,기초재 기업공고,호남정유,호남정유 푸른문화 예술축제,감사의 꽃씨를 나눠드립니다
KAA1994 (227),1993,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,생활속에 종이-점자
KAA1994 (228),1993,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,생활속에 종이-한글쓰기
KAA1994 (92),1993,신문,기타신문,기초재,기초재 기타,기초재 기업PR,경인에너지,경인휘발유,환경을 먼저 생각하는 - 경인휘발유
LG-AD-0394,1993,잡지,기타잡지,기초재,"석탄, 석유 및 가스",연료유,호남정유,호남정유 슈프림디럭스골드,세계 최고권위에 빛난다 
LG-AD-3021,1993,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림 디럭스,고감도주행
LG-AD-3022,1993,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈퍼 다이나믹,요즘 몰라보게 잘 나갑니다
LG-AD-3023,1993,신문,기타신문,기초재,기초재 기타,기초재 기업PR,호남정유,기업PR,"이 푸른미소,365일 지켜가겠습니다"
LG-AD-3024,1993,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림디럭스,고감도주행
LG-AD-3036,1993,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,슈프림디럭스,엔진오일의 최정상에 선다
AWARDS95 (206),1994,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),한솔제지 기업PR,한솔제지 기업PR
AWARDS95 (88),1994,신문,기타신문,기초재,기초재 기타,기초재 기업PR,유공,기업PR,이 모든 사업을 유공이 펼쳐가고 있습니다
LG-AD-1381,1994,신문,한국일보,기초재,"석탄, 석유 및 가스",연료유,호남정유,테크론,세계적인 휘발유가 온다
LG-AD-2542,1994,신문,동아일보,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",호남정유,하이후렉스,24시간 확실한 광고효과
1996-01 (256),1995,신문,기타신문,기초재,기초재 기타,기초재 기업PR,유공,기업PR,미래개척-유공
1996-01 (356),1995,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,철마고우
jeil 264,1995,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,"이제,한솔중성지가 맥을 이어갑니다"
jeil 265,1995,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,"하루한번,에베레스트산을 넘는다"
jeil 267,1995,잡지,기타잡지,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,천년 종이디스켓
ogilbi-2836,1995,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,죽마고우
ogilbi-2837,1995,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,철이 말을 한다
ogilbi-2838,1995,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,철이 웃는다
ogilbi-2839,1995,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,금상첨화
광고작품연감_251,1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,쌍용정유,기업PR,기술휴머니스트
광고작품연감_255,1996,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",(주)중외산업,레덱스골드,힘내라엔진
광고작품연감_307,1996,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",(주)한화,이맥스,휘발유가 강하면 차는 부드러워진다
광고작품연감_308,1996,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",(주)한화,이맥스,강한 걸로 넣어주세요
AWARDS97 (134),1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,유공,기업PR,한국에는 유공이 있습니다
AWARDS97 (155),1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,유공,기업PR,한국에는 유공이 있습니다
AWARDS97 (193),1996,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",유공,엔크린,문제는 휘발유 찌꺼기
AWARDS97 (5),1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,엘지칼텍스정유(주)여,기업PR,사랑해요 LG
AWARDS97 (98),1996,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",유공,엔크린,문제는 휘발유 찌꺼기
jeil 001,1996,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",유공,엔크린,당신의 차도 X-RAY를 찍어볼 수만 있다면
jeil 002,1996,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",유공,엔크린,피가 깨끗치 못하면 생기는 병들
jeil 085,1996,잡지,기타잡지,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",유공,엔크린,자동차도 복통을 일으킨다
jeil 143,1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,유공,기업PR,"환경,유공은 실천합니다"
jeil 144,1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,유공,기업PR,환경친화기업으로 지정되었습니다
jeil 145,1996,잡지,기타잡지,기초재,기초재 기타,기초재 기업PR,유공,기업PR,월드컵은 절대로 양보할 수 없다
jeil 146,1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,유공,기업PR,"아빠,공룡하고 우리나라하고, 누가 더 힘이 쎄요"
ogilbi-1068,1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,현대오일뱅크(주)서울지점,기업PR,두번째 도약
ogilbi-1161,1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,경제대국의 마지막 걸림쇠
ogilbi-1162,1996,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,경쟁의 아름다움을 다시 생각합니다
ogilbi-2518,1996,신문,기타신문,기초재,"석탄, 석유 및 가스",가스,현대자동차써비스,캔 에어컨가스,자동차용 캔 에어컨가스 탄생
ogilbi-2520,1996,신문,기타신문,기초재,"석탄, 석유 및 가스",가스,현대자동차써비스,캔 에어컨가스,자동차용 캔 에어컨가스가 새로 나왔습니다
AWARDS98 (247),1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,한솔제지 한솔 종이박물관 편
AWARDS98 (291),1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,기업PR 종이학
AWARDS98 (94),1997,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",SK(주),엔크린,이 놈의 차가 뭘 잘못 먹었나
KAA1998 (213),1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,아버지의 청년정신
KAA1998 (214),1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,나무들의 청년정신
KAA1998 (215),1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,한솔종이가 있는 집
KAA1998 (216),1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,한솔제지(주),기업PR,버릴 것이 없다
KAA1998 (232),1997,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",유공,엔크린,"찌꺼기 없는 휘발유, 엔크린-비누"
KAA1998 (233),1997,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",유공,엔크린,"찌꺼기 없는 휘발유, 엔크린-녹차티백"
KAA1998 (234),1997,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",유공,엔크린,"찌꺼기 없는 휘발유, 엔크린-에센스"
ogilbi-1069,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,현대오일뱅크(주)서울지점,기업PR,탄생 오일뱅커스 팬클럽
ogilbi-1070,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,현대오일뱅크(주)서울지점,기업PR,아무도 우리를 멈출 수없다
ogilbi-1163,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,21세기 신문명 창조
ogilbi-1164,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,21세기 철강복지국가
ogilbi-1165,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,세계 경제선진국 도약 중심엔 인천제철이 있습니다
ogilbi-1166,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,한국의 눈부신 경제성장 중심엔 인천제철이 있습니다
ogilbi-1167,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,기초가 튼튼한 나라 - 인천제철이 만듭니다
ogilbi-1168,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,21세기 산업혁명
ogilbi-1169,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,철은 운송대국의 초석입니다
ogilbi-1170,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,철은 조선대국의 초석입니다
ogilbi-1171,1997,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,메이드 인 코리아의 신화 중심엔 인천제철이 있습니다
광고작품연감_065,1998,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",쌍용정유,슈퍼크린LB,쌍용주유소에 오시면 3번 웃을 수 있습니다
ogilbi-1071,1998,신문,기타신문,기초재,기초재 기타,기초재 기업PR,현대오일뱅크(주)서울지점,기업PR,Imagine Your Energy
ogilbi-1072,1998,신문,기타신문,기초재,기초재 기타,기초재 기업공고,현대오일뱅크(주)서울지점,기업PR,오일뱅크 탄생5주년 감사대잔치
KAA2000 (121),1999,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",쌍용정유,"보일러등유, 청정등유",다이어트 등유
KAA2000 (122),1999,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",쌍용정유,"보일러등유, 청정등유","""지난 겨울 등유 때문에 고생 많으셨죠"
KAA2000 (152),1999,신문,기타신문,기초재,기초재 기타,기초재 기업PR,엘지칼텍스정유(주)여,기업PR,밀레니엄 에너지
KAA2001 (34),2000,신문,기타신문,기초재,"석탄, 석유 및 가스","석탄, 석유 및 가스 제품종합",에쓰-오일(주),슈퍼클린 플러스,적게 넣고 오래가는 연비개선 휘발유
ogilbi-1085,2000,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)옥시 레킷벤키저,불스원샷,불스원샷 - 엔진 때 빼고 기름절약하는 나라
ogilbi-1086,2000,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)옥시 레킷벤키저,불스원샷,불스원샷 - 엔진때 빼면 진짜 이득
ogilbi-1087,2000,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)옥시 레킷벤키저,불스원샷,불스원샷 - 엔진 때를 빼면 적게 먹어도 충분하다
ogilbi-1088,2000,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)옥시 레킷벤키저,불스원샷,"불스원샷 - 엔진 때 빼고, 기름값 벌고"
ogilbi-1089,2000,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)옥시 레킷벤키저,불스원샷,불스원샷 한방으로 쫘~악
ogilbi-1090,2000,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)옥시 레킷벤키저,불스원샷,불스원샷 한방이면 아랍도 안부럽다
ogilbi-2840,2000,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,"철의 사나이 오교문, 금메달 명중"
ogilbi-2841,2000,신문,기타신문,기초재,기초재 기타,기초재 기업PR,인천제철,기업PR,"세계를 조준한 강철심장, 오교문"
phnix (124),2000,신문,기타신문,기초재,비금속,비금속 기타,한국호야렌즈(주),호야 핀필 ,"화장도,안경도,맨얼굴처럼 자연스럽게"
KAA2002 (019),2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,아이앤아이스틸(주),기업PR,"""더 큰 세계로 가는 길, INI스틸이 열겠습니다"""
KAA2002 (363),2001,신문,기타신문,기초재,금속,금속 제품종합,(주)포스코,기업PR,때로는 작은 철조각이 친구가 됩니다
ogilbi-1073,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,현대오일뱅크(주)서울지점,기업PR,봄날은 다 - 개구리편
ogilbi-1074,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,현대오일뱅크(주)서울지점,기업PR,봄이 오른다 - 눈썹
ogilbi-1075,2001,신문,기타신문,기초재,기초재 기타,기초재 기업공고,현대오일뱅크(주)서울지점,기업PR,봄날은 왔다 - 봄 특석경품잔치
ogilbi-1093,2001,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)옥시 레킷벤키저,불스원샷,고유가 시대의 필수품 - 불스원샷
ogilbi-1094,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,(주)옥시 레킷벤키저,기업PR,오토매니아
ogilbi-1095,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,(주)불스원,기업PR,자동차용품의 모든것 - 불스원 손안에 있습니다
ogilbi-1096,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,(주)불스원,기업PR,1천2백만 운전자와 함께 새출발합니다
ogilbi-1097,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,(주)불스원,기업PR,옥시 자동차 용품이 ㈜불스원으로 해출발합니다
ogilbi-1098,2001,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)불스원,불스원샷,"엔진때, 아직도 안빼셨어요"
ogilbi-1099,2001,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)불스원,불스원샷,모르셨죠
ogilbi-1100,2001,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)불스원,불스원샷,새차로 돌아가자
ogilbi-1101,2001,신문,기타신문,기초재,"석탄, 석유 및 가스",윤활유,(주)불스원,불스원샷,"엔진때, 빼자 빼자"
ogilbi-2842,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,아이앤아이스틸(주),기업PR,인천제철이 INI스틸로 새롭게 출발합니다
ogilbi-2843,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,아이앤아이스틸(주),기업PR,"미래를 바꾸는 힘, INI steel에 있습니다"
ogilbi-2844,2001,신문,기타신문,기초재,기초재 기타,기초재 기업PR,아이앤아이스틸(주),기업PR,세계를 세웁니다
