0,1,2,3,4
점검일,점검장소,위험요인,,
2023년  6월  2일,♧♧,ㅇ  5층  휴게실  :  창문에  추락위험물(화분)  방치,,
,,,,
2023년  6월  13일,♥♥,ㅇ  본관  옥상  :  난간에  추락위험물(벽돌)  방치,,
