0,1,2,3,4,5,6,7
(단위: 원),,,,,,,
"당기말
전기말
주요
기업명
영업활동
지분율
취득원가
장부금액
지분율
취득원가
장부금액",,,,,,,
,,,,,,,
<관계기업>,,,,,,,
"KTBN 방송영상콘텐츠
전문투자조합","문화콘텐츠
투자",50.00%,-,"1,027,196,044",50.00%,-,"1,019,026,933"
"화이-코바코 콘텐츠 투
자조합","문화콘텐츠
투자",50.00%,"1,000,000,000","874,623,540",50.00%,"1,000,000,000","1,966,168,814"
"KTBN 미래콘텐츠
일자리창출 투자조합","문화콘텐츠
투자",20.00%,"6,000,000,000","4,976,981,986",20.00%,"6,000,000,000","5,470,185,151"
합  계,,,"7,000,000,000","6,878,801,570",,"7,000,000,000","8,455,380,898"
