0,1,2,3
연번,광고주명,연번,광고주명
1,AAAAAA,19,SSSSSS
2,BBBBBB,20,TTTTTT
3,CCCCCC,21,UUUUUU
4,DDDDDD,22,VVVVVV
5,EEEEEE,23,WWWWWW
6,FFFFFF,24,XXXXXX
7,GGGGGG,25,YYYYYY
8,HHHHHH,26,ZZZZZZ
9,IIIIII,27,AAAAAAA
10,JJJJJJ,28,BBBBBBB
11,KKKKKK,29,CCCCCCC
12,LLLLLL,30,DDDDDDD
13,MMMMMM,31,EEEEEEE
14,NNNNNN,32,FFFFFFF
15,OOOOOO,33,GGGGGGG
16,PPPPPP,34,HHHHHHH
17,QQQQQQ,35,IIIIIII
18,RRRRRR,공백,
