0,1
구    분,중점  점검  사항
일반보안,"내PC  지키미,  PC  필터,  유해사이트  차단시스템  등  정보보안  솔
§
루션을  이용하여  정보보호  부적정  행위  전  부서  점검
정보보호체크리스트를  활용한  원격·서면  감사실시
§"
정보화사업,"국정원  정보보안  평가  대상  정보화  사업  보안성  검토  수행  여부
§
정보화  사업  보안조치  이행  여부
§"
개인정보  위·수탁사업,"개인정보  위·수탁사업의  정보보호조치  이행  여부
§
      (수탁사업자의  보안조치,  필수서류  작성  등  확인)"
IT팀  정보보안  관리현황  점검,"국정원  정보보안지침  및  개인정보보호법  개정에  근거한  정보보안 
§
관련  지침  및  절차서  현행화  여부
IT  시스템  보안  현황  점검
§"
