0,1,2,3,4,5,6,7,8,9,10
이익 등,,,,,,,,,,
"법인세비용차감전
순이익",0,"17,335",-683,"-8,995",420,"-10,196","-5,894","-16,612","-3,586","-13,953"
법인세비용,-,"2,681",-39,850,474,480,0,0,0,28
당기순이익,0,"14,655",-644,"-9,845",-54,"-10,676","-5,894","-16,612","-3,586","-13,981"
기타포괄손익,-,687,-767,"-1,086","-5,398","-8,660","3,351","5,870","1,347","4,055"
총포괄손익,0,"15,342","-1,411","-10,931","-5,452","-19,336","-2,543","-10,742","-2,239","-9,926"
"지배기업의 소유주
에게
귀속되는 당기순이
익",-,"14,655",-644,"-9,845",-54,"-10,676","-5,894","-16,612","-3,586","-13,981"
"비지배지분에 귀속
되는
당기순이익",-,0,0,0,0,0,0,0,0,0
매출액순이익률,-,11.73,-0.99,-6.88,-0.07,-7.33,-10.8,-13.94,-6.63,-12.08
자기자본회전율,-,39.28,41.15,46.63,47.79,50.63,38.29,43.03,39.40,43.33
재무현황자료,"해당사항 없
음","2020(ifrs) 연
결포괄손익
계산서.pdf","2021반기
(ifrs) 연결
포괄손익계
산서.pdf","2021(ifrs) 연
결 포괄손익
계산서.pdf","2022반기
(ifrs) 연결
포괄손익계
산서.pdf","2022 한국방
송광고진흥
공사_연결
포괄손익계
산서.pdf","2023 반기
연결포괄손
익계산서
.pdf","2023 한국방
송광고진흥
공사_연결
포괄손익계
산서.pdf","2024년 한국
방송광고진
흥공사 반기
연결포괄손
익계산서
.pdf","2024 한국방
송광고진흥
공사_연결
포괄손익계
산서.pdf"
별도 손익계산서,"해당사항 없
음","2020(ifrs) 별
도포괄손익
계산서.pdf","2021반기
(ifrs) 별도
포괄손익계
산서.pdf","2021(ifrs) 별
도 포괄손익
계산서.pdf","2022반기
(ifrs) 별도
포괄손익계
산서.pdf","2022 한국방
송광고진흥
공사_별도
손익계산서
.pdf","2023 반기
별도포괄손
익계산서
.pdf","2023 한국방
송광고진흥
공사_별도
포괄손익계
산서.pdf","2024년 한국
방송광고진
흥공사 반기
별도포괄손
익계산서
.pdf","2024 한국방
송광고진흥
공사_별도
포괄손익계
산서.pdf"
