0,1,2,3,4,5
(단위: 원),,,,,
구   분,기초,"세무조정 차이
조정","당기손익에
인식될 금액","자본에 직접
인식될 금액",기말
미지급금(성과급),"1,100,000,000",-,"(50,000,000)",-,"1,050,000,000"
선수수익(임대보증금),"24,664,382",-,"28,114,358",-,"52,778,740"
현재가치할인차금(임차보증금),"4,249,895","(2,305,947)","6,161,921",-,"8,105,869"
이연정부보조금수익,"412,704",-,"15,452,853",-,"15,865,557"
감가상각비,"517,938,805",-,"19,338,848",-,"537,277,653"
현재가치할인차금(장기대여금),"2,433,104",-,"164,348",-,"2,597,452"
기타무형자산손상차손,"60,280,000",-,"(2,740,000)",-,"57,540,000"
차감할차이관련이연법인세 계,"8,287,747,374","88,526,107","(244,126,889)","1,915,226,513","10,047,373,105"
미수수익,"(166,759,352)",-,"62,354,802",-,"(104,404,550)"
퇴직연금운용자산,"(3,947,210,664)","(161,506,498)","646,619,092","(6,064,495)","(3,468,162,565)"
일시상각충당금,"(28,969,834)",-,"2,445,506",-,"(26,524,328)"
당기손익- 공정가치측정금융자산 평가이익,"(568,935,214)","37,949,772","(287,162,580)",-,"(818,148,022)"
기타포괄-공정가치측정금융자산평가이익,"(141,827,240)",-,-,-,"(141,827,240)"
공기구비품,"(271,556,670)",-,"12,343,485",-,"(259,213,185)"
사용권자산,"(159,277,224)",-,"43,392,124",-,"(115,885,100)"
선급비용(임차보증금),"(2,068,540)",-,"94,024",-,"(1,974,516)"
현재가치할인차금(임대보증금),"(25,057,928)",-,"(28,096,470)",-,"(53,154,398)"
선급비용(장기대여금),"(2,433,104)",-,"(164,348)",-,"(2,597,452)"
관계기업투자평가,"(300,648,067)",-,"300,648,067",-,-
가산할차이관련이연법인세 계,"(5,614,743,837)","(123,556,726)","752,473,702","(6,064,495)","(4,991,891,356)"
소 계,"2,673,003,537","(35,030,619)","508,346,813","1,909,162,018","5,055,481,749"
이연법인세 미인식 금액,,,,,"4,956,045,027"
이연법인세 인식 금액,,,,,"99,436,722"
