0,1,2,3,4,5
(단위: 원),,,,,
구   분,장부금액,계약상현금흐름,1년 이내,1~5년,5년 초과
현금및현금성자산,"18,134,083,040","18,134,083,040","18,134,083,040",-,-
매출채권및기타채권,"109,981,399,398","109,997,520,136","108,658,878,256","1,338,641,880",-
공정가치측정금융자산,"162,593,911,080","162,593,911,080","14,284,640,903","139,662,320,177","8,646,950,000"
상각후원가측정금융자산,"10,041,711,355","10,041,711,355",-,"10,041,711,355",
장기대여금,"147,278,294","158,425,275",-,"158,425,275",-
합  계,"300,898,383,167","300,925,650,886","141,077,602,199","151,201,098,687","8,646,950,000"
