0,1
조치사항,개선내용
"14층 임원실, 위원실 재배치 및 공간확보",N팀 본사 이전 및 광고회관 임대공간 확보
17층 기사 대기실 철거,감사 수감공간 확보 및 감사실 환경 개선
A본부 사무공간 통합 재배치,내부소통 강화 및 영업활성화 기반 마련
노조사무실 확정이전,직원 휴식공간 확보
"17층 대회의실 축소, 소회의실 3실 구축",회의공간 부족 문제 해결
