0,1,2,3
연도,문서명,협약  명의,협약  대상
"2022
년","중소벤처기업부  선정  지역혁신선도기업  및 
지자체  선정  유망  중소기업  발굴  및 
지원계획 중소기업국
-582,  2022.10.18.)",사장,"중소벤처기업부
,  14
개 
시도  및  지원기원기관  등"
"2023
년","kobaco-
코리아스타트업포럼  업무협약 
체결계획 중소기업국
-505,  2023.10.24.)",사장,코리아스타트업  포함
