0,1,2
구분,직무,단위업무
"지사△
( 지소▣
)
 
제외
* 지소",광고판매,"(
▩▩ ▩▩
시  일원  및 
▧▧▧▧
중 
▩▩ ▩▩ 
일원 
▦▦ ▦
▦ ▦▦  ▦▦ ▦▦ ▦▦ ▦▦
, 
관할구역  지상파 
DMB 
방송
국  등  기타방송국)
※▩▩ ▩▩  ▩▩
을  제외한 
▧▧▧▧ 
일원의 
▩▩ ▩▩ ▩▩
, 
기타방송국(
▣
지소)
1 
소관매체  영업  관련  업무
2. 
관할구역  광고주  관리  업무"
,영업지원,"1. 
소관매체  수금 운행 신탁관련  업무
2. 
고객서비스  개선  업무
*
3. 
관할구역  광고회사  계약  및  신탁관리 지급보증  업무
*
4. 
광고회사의  계약  및  지급보증  업무
*
5. 
광고회사  대행광고주의  계약  및  신탁관리업무
*"
,지사운영,"1. 
총무  및  경리  등  지사 지소 운영에  관한  업무
2. 
사무실  및  사택  임차  관련  업무
*"
지사■,광고판매,"( 
▩▩
시  및 
▩▩ 
일원 
▦▦ ▦▦ ▦▦ ▦▦ ▦▦ ▦▦
, 
관
할구역  지상파 
DMB 
방송국  등
)
1 
소관매체  영업  관련  업무
2. 
관할구역  광고주  관리  업무"
,영업지원,"1. 
소관매체  수금 운행 신탁관련  업무
2. 
고객서비스  개선  업무
3. 
관할구역  광고회사  계약  및  신탁관리 지급보증  업무
4. 
광고회사의  계약  및  지급보증  업무
5. 
광고회사  대행광고주의  계약  및  신탁관리업무"
,지사운영,"1. 
총무  및  경리  등  지사 지소 운영에  관한  업무
2. 
사무실  및  사택  임차  관련  업무"
"지사▽
)
( 지소◐
제외
* 지소",광고판매,"(
▩▩
시  및 
▩▩
일원 
▦▦ ▦▦  ▦▦ ▦▦ ▦▦ ▦▦ ▦▦
, 
관할구역의  지상파 
DMB 
방송국  등
)
※▩▩ 
일원의   
▦▦ ▦▦  ▦▦
,, 
기타방송국
(
◐지소)
1 
소관매체  영업  관련  업무
2. 
관할구역  광고주  관리  업무"
,영업지원,"1. 
소관매체  수금 운행 신탁관련  업무
2. 
고객서비스  개선  업무
*
3. 
관할구역  광고회사  계약  및  신탁관리 지급보증  업무
*
4. 
광고회사의  계약  및  지급보증  업무
*
5. 
광고회사  대행광고주의  계약  및  신탁관리업무
*"
,지사운영,"1. 
총무  및  경리  등  지사 지소 운영에  관한  업무
2. 
사무실  및  사택  임차  관련  업무
*"
