0,1,2,3,4,5
구분,"‘20
년","‘21
년","‘22
년","‘23
년","‘24
년  분기"
서울▶▶▶,"225,313","271,451","276,024","202,782","41,677"
지역▶▶▶,"111,500","125,782","119,992","91,950","19,572"
지역▶▶▶매출비중,49.5%,46.3%,43.5%,45.3%,47.0%
"(
소급적용액
)",(-),"(4,203)","(12,261  )","(8,901)","(2,346)"
