0,1,2,3,4,5,6,7
구분,,‘22년,,‘23년,,‘24년 上,
,,금액,비율,금액,비율,금액,비율
영 업 수 익,"용역매출액
(광고판매+임대)","133,545",85.6%,"106,756",82.7%,"59,705",88.7%
,기금 사업 수익,"10,662",6.8%,"11,274",8.7%,"2,996",4.4%
,기타수익,"1,513",1.0%,"1,192",0.9%,436,0.6%
영 업 외 수 익,금융수익,"7,299",4.7%,"11,382",8.8%,"4,248",6.3%
,관계기업관련이익,"2,986",1.9%,"-1,487",-1.2%,-38,-0.1%
총계,,"156,005",100.0%,"129,117",100.0%,"67,347",100.0%
