0,1,2,3,4,5
구분,,예산,"집행
액","집행
률",주요  예산  용도
팀☆,,400,15,3.8,"코바넷  시스템  구축
,   
디지털  광고관리시스템  등"
국◎,팀◆,70,24,34.2,"방송사  판매협의 광고주 광고회사  판매설명회
,
업프런트 파리올림픽  등  대형특집  판매설명회  등"
,팀□,36,9,25.4,
,팀▲,200,31,15.6,광고 번지  제작 라디오  청취율  자료구입  등
국◇,팀◆,76,14,34.2,"방송사  판매협의 광고주 광고회사  판매설명회
,
업프런트 대형특집판매설명회  등"
,팀□,36,9,25.4,
,팀▲,406,74,15.6,시청률  자료구입 마케팅  웹진제작비  등
"△ 지
사",지사△,203,50,24.6,"사무실임차료 영업일일출장 국내출장비
, 
판매설명회  등"
,지소▣,48,13,27.5,"사무실임차료 영업일일출장 국내출장비
, 
판매설명회  등"
지사■,,108,27,24.7,"사무실임차료 영업일일출장 국내출장비
, 
판매설명회  등"
"▽ 지
사",지사▽,84,19,22.9,"사무실임차료 영업일일출장 국내출장비
, 
판매설명회  등"
,지소◐,37,8,22.1,"사무실임차료 영업일일출장 국내출장비
, 
판매설명회  등"
지사★,,80,20,24.5,"사무실임차료 영업일일출장 국내출장비
, 
판매설명회  등"
