0,1,2,3,4
(단위: 원),,,,
종목명,지분율,취득원가,장부가액,공정가치
케이비문화 디지털콘텐츠 해외진출 투자조합(*1),7.50%,"2,580,000,000","2,580,000,000","2,580,000,000"
컴퍼니케이 고성장펀드 투자조합(*1),7.87%,"8,800,000,000","8,800,000,000","8,800,000,000"
유니온기술금융투자조합(*1),9.90%,"4,483,120,138","4,483,120,138","4,483,120,138"
스마일게이트엑스알콘텐츠펀드2호(*1),10.64%,"2,600,000,000","2,600,000,000","2,600,000,000"
영화 리멤버 투자금(*1),1.91%,"2,500,000,000","135,623,992","135,623,992"
영화 인생은 아름다워 투자금(*1),1.70%,"135,623,992","104,811,237","104,811,237"
영화 자백 투자금(*1),2.53%,"104,811,237","79,870,956","79,870,956"
비엔케이-코바코 광고마케팅 투자조합(*1),16.67%,"79,870,956","2,500,000,000","2,500,000,000"
투자형사모펀드 등,,"28,934,529,528","26,209,805,360","26,209,805,360"
합  계,,"50,217,955,851","47,493,231,683","47,493,231,683"
