0,1,2,3,4
구분,,‘22년,‘23년,‘24년 上
부채,유동,"252,065","215,893","189,286"
,비유동,"12,865","13,312","13,570"
,부채총계,"264,930","229,205","202,856"
자본,자본금,"300,000","300,000","300,000"
,주식발행초과금,"25,581","25,581","25,581"
,이익금(결손금),"(28,436)","(45,565)","(49,151)"
,기타,"(9,460)","(3,072)","(1,726)"
,자본총계,"287,685","276,943","274,704"
총자산,,"552,615","506,149","477,560"
