0,1,2,3,4,5,6
단위: 원),,,,,,
구분,기초금액,취득/자본적지출,처분,감가상각,기타증감(*1),장부금액
토지,"7,936,440,707",-,-,-,"(296,920,471)","7,639,520,236"
건물,"20,195,835,162","816,799,244",-,"(1,318,830,993)","(1,550,229,994)","18,143,573,419"
정부보조금,"(131,681,061)",-,-,"5,374,738",-,"(126,306,323)"
구축물,"1,153,664,442","59,800,000",-,"(218,557,458)",-,"994,906,984"
차량운반구,"6,000",-,-,-,-,"6,000"
집기와비품,"2,069,610,925","1,406,242,770","(88,000)","(978,812,016)",-,"2,496,953,679"
집기와비품(기금),"587,195,237","69,723,520",-,"(241,291,355)",-,"415,627,402"
정부보조금(기금),"(587,195,237)","(69,723,520)",-,"241,291,355",-,"(415,627,402)"
집기와비품(수탁),"27,660,576",-,-,"(12,740,300)",-,"14,920,276"
정부보조금(수탁),"(27,660,576)",-,-,"12,740,300",-,"(14,920,276)"
사용권자산,"139,902,317","323,895,253",-,"(167,513,209)",-,"296,284,361"
합계,"31,363,778,492","2,606,737,267","(88,000)","(2,678,338,938)","(1,847,150,465)","29,444,938,356"
