0,1,2,3,4,5,6,7,8,9,10
구분,"2020년
반기","2020년
결산","2021년
반기","2021년
결산","2022년
반기","2022년
결산","2023년
반기","2023년
결산","2024년
반기","2024년
결산"
기초잔액,192,192,272,272,161,161,147,147,156,156
기말잔액,217,272,224,161,99,147,129,156,160,190
변동금액,25,80,-48,-111,-62,-14,-18,9,4,34
변동사유(차입목적),리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채
주요 차입형태,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채,리스부채
자기자본대비비율,0.01,0.03,-0.02,-0.04,-0.02,-0.01,-0.01,0.00,0.00,0.01
차입금의존도,0.05,0.05,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.04
