0,1,2,3,4,5
구    분,주석,제 12 기(당기말),,제 11 기(전기말),
정부보조금,,"(120,931,585)",,"(126,306,323)",
감가상각누계액,,"(29,399,228,666)",,"(28,523,699,494)",
구축물,,"6,866,477,530",,"6,677,492,075",
감가상각누계액,,"(5,899,662,539)",,"(5,682,585,091)",
차량운반구,,"90,843,524",,"90,843,524",
감가상각누계액,,"(90,837,524)",,"(90,837,524)",
집기와비품,,"16,824,746,823",,"16,831,922,061",
감가상각누계액,,"(14,222,533,965)",,"(14,265,046,507)",
집기와비품(기금),,"1,419,145,070",,"1,387,927,070",
감가상각누계액(기금),,"(1,229,458,008)",,"(972,299,668)",
정부보조금(기금),,"(189,687,062)",,"(415,627,402)",
집기와비품(수탁),,"50,961,200",,"50,961,200",
감가상각누계액(수탁),,"(48,517,950)",,"(36,040,924)",
정부보조금(수탁),,"(2,443,250)",,"(14,920,276)",
사용권자산,,"473,335,552",,"551,833,809",
감가상각누계액,,"(111,709,091)",,"(255,549,448)",
(4)투자부동산,15,,"100,974,608,408",,"103,103,587,633"
토지,,"31,366,175,305",,"31,133,626,958",
건물,,"148,633,646,603",,"146,993,061,394",
감가상각누계액,,"(79,025,213,500)",,"(75,023,100,719)",
(5)영업권이외의무형자산,"13,16",,"1,158,982,632",,"1,364,214,339"
컴퓨터소프트웨어,,"6,531,466,474",,"8,647,043,821",
상각누계액,,"(6,136,196,539)",,"(8,051,204,998)",
컴퓨터소프트웨어(기금),,"105,648,800",,"105,648,800",
상각누계액(기금),,"(93,068,850)",,"(71,506,650)",
정부보조금(기금),,"(12,579,950)",,"(34,142,150)",
기타무형자산,,"1,053,321,024",,"1,052,389,208",
상각누계액,,"(15,608,327)",,"(10,013,692)",
손상차손누계액,,"(274,000,000)",,"(274,000,000)",
(6)관계기업투자지분,"17,36",,"6,878,801,570",,"8,455,380,898"
(7)순확정급여자산,20,,"900,269,654",,"1,409,988,061"
(8)이연법인세자산,30,,"99,436,722",,"99,436,722"
(9)비유동비금융자산,11,,"26,576,785",,"28,515,562"
장기선급비용,,"26,576,785",,"28,515,562",
자산총계,,,"506,148,748,576",,"552,615,167,990"
Ⅱ.부채,,,,,
1.유동부채,,,"215,892,793,329",,"252,064,698,742"
(1)매입채무및기타채무,"14,18,33,34,35",,"203,617,786,662",,"237,164,349,000"
단기매입채무,,"188,393,738,768",,"222,239,639,367",
단기미지급금,,"14,376,283,737",,"14,736,698,541",
단기기타보증금,,"691,375,360",,"40,828,000",
