0,1,2,3,4,5,6,7,8,9,10
구분,정원,현원(직급별),,,,,,,,"정원
대비"
,,1급,2급,3갑,3을,4급,5급,전문직,계,
♠♠팀,1,1,3,,,,,,4,+3
"♡♡파트
(♧♧)",10,,1,3,2,,1,-,7,+5
"♡♡파트
(♣♣)",,,3,2,1,,1,1,8,
♥♥파트,5,,2,,1,,,1,4,-1
합계,16,1,9,5,4,0,2,2,23,+7
