0,1,2,3,4
(단위: 원),,,,
구분,취득원가,정부보조금,감가상각누계액,장부금액
토지,"7,639,520,236",-,-,"7,639,520,236"
건물,"46,667,272,913","(126,306,323)","(28,523,699,494)","18,017,267,096"
구축물,"6,677,492,075",-,"(5,682,585,091)","994,906,984"
차량운반구,"90,843,524",-,"(90,837,524)","6,000"
집기와비품,"16,831,922,061",-,"(14,265,046,507)","2,566,875,554"
집기와비품(기금),"1,387,927,070","(415,627,402)","(972,299,668)",-
집기와비품(수탁),"50,961,200","(14,920,276)","(36,040,924)",-
사용권자산,"551,833,809",-,"(255,549,448)","296,284,361"
합계,"79,897,772,888","(556,854,001)","(49,826,058,656)","29,514,860,231"
