0,1,2,3,4,5,6,7,8,9,10,11
구분,,"2020년 반
기","2020년 결
산","2021년 반
기","2021년 결
산","2022년 반
기","2022년 결
산","2023년 반
기","2023년 결
산","2024년 반
기","2024년 결
산"
자산,유동자산,"204,146",-,-,-,-,-,-,-,-,-
,"비유동자
산","261,378",-,-,-,-,-,-,-,-,-
,자산총계,"465,524",0,0,0,0,0,0,0,0,0
부채,유동부채,"154,698",-,-,-,-,-,-,-,-,-
,"비유동부
채","14,168",-,-,-,-,-,-,-,-,-
,부채총계,"168,866",0,0,0,0,0,0,0,0,0
자본,자본금,"300,000",-,-,-,-,-,-,-,-,-
,기타,"-3,342",-,-,-,-,-,-,-,-,-
,"비지배지
분",0,-,-,-,-,-,-,-,-,-
,자본총계,"296,658",0,0,0,0,0,0,0,0,0
부채비율,,56.92,-,-,-,-,-,-,-,-,-
재무현황자료,,"2020반기
(ifrs) 재무상
태표.pdf","해당사항 없
음","해당사항 없
음","해당사항 없
음","해당사항 없
음","해당사항 없
음","해당사항 없
음","해당사항 없
음","해당사항 없
음","해당사항 없
음"
