0,1,2,3,4,5,6,7,8
(단위: 원),,,,,,,,
기업명,당기말,,,,전기말,,,
,자산총액,부채총액,매출액,당기순손익,자산총액,부채총액,매출액,당기순손익
"KTBN 방송영상콘텐츠
전문투자조합","1,016,453,844",-,"59,733,204","(949,304,709)","2,054,392,088",-,"198,529,092","198,528,902"
화이-코바코 콘텐츠 투자조합,"513,708,950","551,260","22,513,807","(772,089,390)","1,800,900,224","51,653,144","27,058,230","(2,183,090,547)"
"KTBN 미래콘텐츠
일자리창출 투자조합","28,480,494,754",,"434,455,375 5,960,936,917","3,161,129,451","26,371,103,202","491,293,774","28,031,088","(2,466,015,830)"
