0,1,2,3,4,5
과     목,주석,제 13(당)기 반기말,,제 12(전)기 기말,
정부보조금,,"(118,244,216)",,"(120,931,585)",
감가상각누계액,,"(29,805,015,106)",,"(29,399,228,666)",
구축물,,"6,888,450,257",,"6,866,477,530",
감가상각누계액,,"(6,008,931,198)",,"(5,899,662,539)",
차량운반구,,"90,843,524",,"90,843,524",
감가상각누계액,,"(90,837,524)",,"(90,837,524)",
집기와비품,,"16,915,117,021",,"16,654,804,682",
감가상각누계액,,"(14,710,212,651)",,"(14,153,950,229)",
집기와비품(기금),,"1,422,361,970",,"1,419,145,070",
감가상각누계액(기금),,"(1,350,304,254)",,"(1,229,458,008)",
정부보조금(기금),,"(72,057,716)",,"(189,687,062)",
집기와비품(수탁),,"50,961,200",,"50,961,200",
감가상각누계액(수탁),,"(50,899,200)",,"(48,517,950)",
정부보조금(수탁),,"(62,000)",,"(2,443,250)",
사용권자산,,"537,612,965",,"473,335,552",
감가상각누계액,,"(206,904,229)",,"(111,709,091)",
(4)투자부동산,14,,"99,690,066,804",,"100,974,608,408"
토지,,"31,420,344,634",,"31,366,175,305",
건물,,"149,341,928,990",,"148,633,646,603",
감가상각누계액,,"(81,072,206,820)",,"(79,025,213,500)",
(5)무형자산,"13,15",,"1,066,196,004",,"1,151,358,235"
컴퓨터소프트웨어,,"6,531,466,474",,"6,531,466,474",
상각누계액,,"(6,221,358,770)",,"(6,136,196,539)",
컴퓨터소프트웨어(기금),,"105,648,800",,"105,648,800",
상각누계액(기금),,"(103,849,950)",,"(93,068,850)",
정부보조금(기금),,"(1,798,850)",,"(12,579,950)",
기타무형자산,,"1,030,088,300",,"1,030,088,300",
손상차손누계액,,"(274,000,000)",,"(274,000,000)",
(6)종속기업투자지분,16,,"300,000,000",,"300,000,000"
(7)관계기업투자지분,16,,"6,840,870,548",,"6,878,801,570"
(8)순확정급여자산,19,,"187,685,279",,"1,048,977,279"
(9)이연법인세자산,,,"99,436,722",,"99,436,722"
(10)비유동비금융자산,11,,"24,685,946",,"26,576,785"
장기선급비용,,"24,685,946",,"26,576,785",
자산총계,,,"476,771,999,488",,"505,617,435,427"
Ⅱ.부채,,,,,
1.유동부채,,,"188,488,161,293",,"214,822,378,382"
(1)매입채무및기타채무,"17,25,26",,"175,348,889,026",,"202,702,537,933"
단기매입채무,,"163,220,928,601",,"188,393,738,768",
단기미지급금,,"9,782,161,359",,"13,461,035,008",
단기기타보증금,,"2,185,529,335",,"691,375,360",
