0,1,2
문서명,내부위원 외부위원,
"2023년 광고경기전망지수 조사 용역업체 선정을 위한 제안서 평가 실시
(전자 Ⓐ국-1352, 2022.12.16.)",4명,4명
"2022년 방송통신광고비 조사용역 제안서 평가위원회 개최
(전자 Ⓐ국-561, 2022.4.20.)",4명,4명
