0,1,2,3,4,5
과               목,주석,제 13(당)기 반기,,제 12(전)기 반기,
6. 기타수익,,,-,,"122,934,814"
외부위탁사업수익,,-,,"122,934,814",
7. 기타비용,,,"6,932,690",,"140,018,451"
기부금,,"6,932,690",,"14,966,820",
외부위탁사업비용,,-,,"125,051,631",
8. 기타이익(손실),,,"(296,738,426)",,"(206,962,845)"
그밖의 기타이익,,"127,895,491",,"172,510,631",
그밖의 기타손실,,"(424,633,917)",,"(379,473,476)",
9. 금융수익,25,,"4,258,232,286",,"3,893,048,146"
이자수익,,"3,141,566,052",,"2,769,110,251",
배당수익,,"42,929,065",,"69,365,797",
금융자산처분이익,,-,,"833,011,809",
"당기손익-공정가치측정금융자산평
  가이익",,"1,073,737,169",,"221,560,289",
10. 금융원가,25,,"384,394,927",,"2,828,275,972"
이자비용,,"68,062,006",,"143,521,004",
금융자산처분손실,,"316,332,921",,-,
"당기손익-공정가치측정금융자산평
  가손실",,-,,"2,684,754,968",
11. 관계기업관련손익,16,,"(37,931,022)",,"31,676,794"
12. 법인세비용차감전순손실,,,"(3,585,612,139)",,"(5,894,280,988)"
13. 법인세비용,,,-,,-
14. 반기순손실,,,"(3,585,612,139)",,"(5,894,280,988)"
지배기업 소유주지분,,,"(3,585,612,139)",,"(5,894,280,988)"
비지배지분,,,-,,-
15. 기타포괄손익(세후),,,"1,346,554,086",,"3,351,193,046"
"(1) 후속적으로 당기손익으로 재분 
  류되는 기타포괄손익",,,"1,346,554,086",,"3,351,193,046"
"기타포괄손익-공정가치측정금융자
  산의 세후평가이익(손실)",,"1,346,554,086",,"3,351,193,046",
16. 총포괄손실,,,"(2,239,058,053)",,"(2,543,087,942)"
지배기업 소유주지분,,,"(2,239,058,053)",,"(2,543,087,942)"
비지배지분,,,-,,-
17. 주당손익,,,,,
기본주당손실,,,(120),,(196)
