0,1
항목,불가능한 사유
기업이윤,"당해 계약이 완료되었을 때 지급되는 것으로 계약목적 달성을 위한 직접적
용도로 볼 수 없음"
일반관리비,"제조, 판매 등 협업 부분의 비용이 아니고, 감가상각비, 수선비, 소모품비 등
으로 정의되는 일반관리비는 계약 목적 달성을 위한 직접적 용도로 볼 수 없음"
부가가치세,"일반적으로 선금 지급 대상이 아님, 단 「부가세법」 제17조 제1항에 따라 
용역이 완료되지 않아도 대가 일부를 세금계산서 발행하는 경우 가능"
