0,1,2,3,4,5,6,7
구분,구분,2022,2021,2020,2019,2018,2013
수익(A),광고판매수익,"24,290","25,232","21,732","22,516","26,263","39,495"
,시설판매·운용수익,"1,513",664,508,"1,496","1,853","3,060"
,시설운영수익,"14,891","14,147","13,803","13,197","12,281","7,140"
,기타,"12,792","9,882","48,070*","8,267","8,445","9,042"
,소계,"53,486","49,925","84,113","45,476","48,842","58,737"
비용(B),소계,"64,145","59,623","69,458","58,811","58,848","63,724"
"당기순이익
(C=A-B)",계,"-10,659","-9,698","14,655","-13,335","-10,006","-4,987"
