0,1,2,3,4
연번,구입도서명,구입금액(원),연구주제,비고
1,"경영지도사 2차
(나만의 주관식 문제집)","17,550","광고산업
포용적 성장
(’21.2.~’21.7.)",수험서
2,경영지도사 2차 마케팅,"36,000",,
3,경영지도사 2차 인적자원관리,"36,000",,
4,경영지도사 2차 재무관리,"26,000",,
5,정석 경영조직론,"26,000",,
합계,,"141,550",,
