0,1,2,3,4
(단위: 원),,,,
종목명,지분율,취득원가,장부가액,공정가치
케이비문화디지털콘텐츠해외진출 투자조합 출자(*1),7.50%,"3,000,000,000","3,000,000,000","3,000,000,000"
컴퍼니케이 고성장펀드 투자조합 출자(*1),7.87%,"9,450,000,000","9,450,000,000","9,450,000,000"
영화 차인표 투자금(*1),12.75%,"35,704,472","35,704,472","35,704,472"
유니온기술금융투자조합 출자(*1),9.90%,"4,879,159,742","4,879,159,742","4,879,159,742"
스마일게이트엑스알콘텐츠펀드2호(*1),10.64%,"1,800,000,000","1,800,000,000","1,800,000,000"
영화 리멤버 투자금(*1),1.91%,"200,000,000","200,000,000","200,000,000"
영화 인생은 아름다워 투자금(*1),1.70%,"200,000,000","200,000,000","200,000,000"
영화 자백 투자금(*1),2.53%,"200,000,000","200,000,000","200,000,000"
비엔케이-코바코 광고마케팅 투자조합(*1),16.67%,"1,250,000,000","1,250,000,000","1,250,000,000"
투자형사모펀드 등,,"68,776,666,698","67,710,593,856","67,710,593,856"
합  계,,"89,791,530,912","88,725,458,070","88,725,458,070"
