0,1,2,3,4,5
구    분,주석,제 12 기 (당기말),,제 11 기 (전기말),
Ⅰ. 자산,,,,,
(1) 유동자산,,,"246,898,768,144",,"273,379,183,753"
(1) 현금 및 현금성자산,"4,12,32,33",,"42,980,701,880",,"30,916,358,092"
현금,,"43,073,725,672",,"31,108,625,879",
정부보조금,,"(66,721,134)",,"(75,550,270)",
수탁사업자금,,"(26,302,658)",,"(116,717,517)",
(2) 유동금융자산,,,"53,313,108,084",,"62,931,392,470"
"당기손익-공정가치측정금융자산
        (유동)","6,32,33","13,313,108,084",,"48,919,031,895",
유동상각후원가측정금융자산,"7,32,33","40,000,000,000",,"14,012,360,575",
(3) 매출채권 및 기타채권,"5,32,33",,"148,921,328,701",,"178,008,166,051"
단기매출채권,,"146,528,652,799",,"175,946,130,256",
단기미수금,,"1,491,660,663",,"1,564,871,269",
단기미수수익,,"901,015,239",,"497,164,526",
(4) 재고자산,9,,"40,379,295",,"108,628,916"
저장품,,"40,379,295",,"108,628,916",
(5) 당기법인세자산,,,"1,283,521,020",,"1,075,814,100"
(6) 선급법인지방세,,,"128,346,440",,"107,579,110"
(7) 유동비금융자산,10,,"231,382,724",,"231,245,014"
단기선급비용,,"133,372,192",,"182,090,538",
기타유동비금융자산,,"98,010,532",,"49,154,476",
(2) 비유동자산,,,"258,718,667,283",,"278,695,981,524"
(1) 비유동금융자산,,,"118,591,583,221",,"132,920,712,074"
"당기손익-공정가치측정금융자산
       (비유동)","6,32,33","34,180,123,599",,"39,806,426,175",
"기타포괄손익-공정가치측정금융자산
       (비유동)","6,32,33","74,176,766,000",,"82,857,233,000",
비유동상각후원가측정금융자산,"7,32,33","10,069,602,566",,"10,096,618,141",
장기대여금및수취채권,"8,32,33","178,828,592",,"172,803,576",
장기대여금현재가치할인차금,,"(13,737,536)",,"(12,368,818)",
(2) 장기매출채권 및 기타채권,"5,32,33",,"1,470,836,230",,"1,499,764,739"
장기보증금,,"1,494,225,880",,"1,504,931,880",
현재가치할인차금,,"(23,389,650)",,"(5,167,141)",
(3) 유형자산,"11,12,13",,"28,176,488,833",,"29,444,938,356"
토지,,"7,406,971,889",,"7,639,520,236",
건물,,"46,460,375,290",,"46,667,272,913",
정부보조금,,"(120,931,585)",,"(126,306,323)",
감가상각누계액,,"(29,399,228,666)",,"(28,523,699,494)",
구축물,,"6,866,477,530",,"6,677,492,075",
감가상각누계액,,"(5,899,662,539)",,"(5,682,585,091)",
차량운반구,,"90,843,524",,"90,843,524",
감가상각누계액,,"(90,837,524)",,"(90,837,524)",
