0,1,2,3
연번,광고주명,연번,광고주명
1,JJJJJJJ,31,BGBG
2,KKKKKKK,32,BHBH
3,LLLLLLL,33,BIBI
4,MMMMMMM,34,BJBJ
5,NNNNNNN,35,CACA
6,OOOOOOO,36,CBCB
7,PPPPPPP,37,CECE
8,QQQQQQQ,38,CFCF
9,RRRRRRR,39,CGCG
10,SSSSSSS,40,CHCH
11,TTTTTTT,41,CICI
12,UUUUUUU,42,CJCJ
13,VVVVVVV,43,DADA
14,WWWWWWW,44,DBDB
15,XXXXXXX,45,DCDC
16,YYYYYYY,46,DEDE
17,ZZZZZZZ,47,DFDF
18,ABAB,48,DGDG
19,ACAC,49,DHDH
20,ADAD,50,DIDI
21,AEAE,51,DJDJ
22,AFAF,52,EAEA
23,AGAG,53,EBEB
24,AHAH,54,ECEC
25,AJAJ,55,EDED
26,BABA,56,EFEF
27,BCBC,57,EGEG
28,BDBD,58,EHEH
29,BEBE,59,EIEI
30,BFBF,공백,
