0,1,2,3,4,5
구    분,주석,제 13 기(당기말),,제 12 기(전기말),
Ⅰ.자산,,,,,
1.유동자산,,,"143,297,430,747",,"247,769,806,116"
(1)현금및현금성자산,"4,13,33,34",,"19,066,134,661",,"43,336,272,729"
현금,,"19,075,247,240",,"43,429,296,521",
정부보조금,,"(1,921,589)",,"(66,721,134)",
수탁사업자금,,"(7,190,990)",,"(26,302,658)",
(2)유동금융자산,,,"14,284,640,903",,"53,813,108,084"
당기손익-공정가치측정금융자산(유동),"6,33,34","14,284,640,903",,"13,313,108,084",
유동상각후원가측정금융자산,"7,33,34",-,,"40,000,000,000",
단기금융상품,"9,33,34",-,,"500,000,000",
(3)매출채권및기타채권,"5,33,34",,"108,658,909,622",,"148,921,904,722"
단기매출채권,,"106,649,617,987",,"146,528,654,460",
단기미수금,,"1,568,097,824",,"1,492,235,023",
단기미수수익,,"441,193,811",,"901,015,239",
(4)재고자산,10,,"46,924,819",,"41,617,150"
저장품,,"46,924,819",,"41,617,150",
(5)당기법인세자산,,,"910,536,239",,"1,288,510,410"
(6)선급법인지방세,,,"90,075,840",,"128,586,520"
(7)유동비금융자산,11,,"240,208,663",,"239,806,501"
단기선급비용,,"86,862,862",,"141,795,969",
기타유동비금융자산,,"153,345,801",,"98,010,532",
2.비유동자산,,,"292,716,047,237",,"258,378,942,460"
(1)비유동금융자산,,,"158,498,259,826",,"118,591,583,221"
"당기손익-공정가치측정금융자산
    (비유동)","6,33,34","76,017,832,177",,"34,180,123,599",
"기타포괄손익-공정가치측정금융자산
   (비유동)","6,33,34","72,291,438,000",,"74,176,766,000",
비유동상각후원가측정금융자산,"7,33,34","10,041,711,355",,"10,069,602,566",
장기대여금및수취채권,"8,33,34","158,425,275",,"178,828,592",
장기대여금현재가치할인차금,,"(11,146,981)",,"(13,737,536)",
(2)장기매출채권및기타채권,"5,33,34",,"1,322,521,142",,"1,470,836,230"
장기보증금,,"1,338,641,880",,"1,494,225,880",
현재가치할인차금,,"(16,120,738)",,"(23,389,650)",
(3)유형자산,"12,13,14",,"25,353,910,434",,"28,277,847,238"
토지,,"6,938,783,503",,"7,406,971,889",
건물,,"44,576,991,107",,"46,460,375,290",
