0,1,2,3,4,5,6
(단위: 원),,,,,,
구분,기초,취득,처분,평가,기타,기말
당기손익-공정가치측정금융자산(유동),"30,544,449,410","78,000,000,000","(63,672,620,741)","380,567,839","3,666,635,387","48,919,031,895"
당기손익-공정가치측정금융자산(비유동),"38,833,329,300","13,400,000,000","(8,616,871,272)","(143,396,466)","(3,666,635,387)","39,806,426,175"
소  계,"69,377,778,710","91,400,000,000","(72,289,492,013)","237,171,373",-,"88,725,458,070"
기타포괄손익-공정가치측정금융자산(유동),-,,"- (10,072,720,000)","(48,430,000)","10,121,150,000",-
기타포괄손익-공정가치측정금융자산(비유동),"71,704,348,000","30,210,000,000","(206,644,811)","(8,729,320,189)","(10,121,150,000)","82,857,233,000"
소  계,"71,704,348,000","30,210,000,000","(10,279,364,811)","(8,777,750,189)",-,"82,857,233,000"
