0,1,2
연구명,예산,주요내용
"OTT환경의  디지털미디어  이용
분석을  위한  모니터링  검증  기
술개발","30,000천원","-OTT 시청조사 패널관리 시스템 구축을 위한 기초자료 수집
-패널 구축, 운영 및 관리 시스템 구축을 위한 목표수립"
불법미디어유통 기술개발,"50,000천원","-다양한  불법미디어  유통서비스를  분석,  저작권전문가 
기반의 소스 수집, 불법 콘텐츠 식별 방법론 개발"
AI 기반 배리어프리 개발,"75,000천원","-미디어 취약계층을 위한 배리어프리 콘텐츠 제작
-생성형 AI기술 접목, 콘텐츠 제작 생성을 향상
-지상파TV 및 뉴미디어 대상의 서비스 실증
-미디어 취약 계층의 미디어 콘텐츠 향유 확대"
"AI  PPL을  통한  방송통신광고시
장 활성화 정책연구","15,000천원","-AI PPL 사업화를 위한 법·제도, 정책 등 검토
-AI PPL 도입을 위한 기술 현황 검토 및 분석
-AI PPL 이해관계자 의견 수렴 및 수요 예측 등"
온라인 맞춤형광고 현황조사,"49,900천원","-맞춤형 광고시장 생태계 현황 파악 및 광고산업 통계
-웹/앱 이용자에 대한 트래킹수준 파악 등 현황조사
-맞춤형광고 가이드라인 개정을 위한 실무협의반 운영"
지역방송 아카이브 구축방안,"47,000천원","-지역방송 아카이브 개념정리, 필요성과 의미 도출
-지역방송 콘텐츠 아카이브 현황 분석 및 그룹화
-지역방송 아카이브 구축을 위한 세부방안 마련
-지역방송 아카이브 구축에 따른 경제적 파급효과 등"
