0,1,2,3,4,5,6,7
(단위: 원),,,,,,,
"당기말
전기말
주요
기업명
영업활동
지분율
취득원가
장부금액
지분율
취득원가
장부금액",,,,,,,
,,,,,,,
<관계기업>,,,,,,,
"KTBN 방송영상콘텐츠
전문투자조합","문화콘텐츠
투자",50.00%,-,"552,543,690",50.00%,-,"1,027,196,044"
"화이-코바코 콘텐츠 투
자조합","문화콘텐츠
투자",50.00%,"1,000,000,000","256,578,845",50.00%,"1,000,000,000","874,623,540"
"KTBN 미래콘텐츠
일자리창출 투자조합","문화콘텐츠
투자",20.00%,"6,000,000,000","5,609,207,876",20.00%,"6,000,000,000","4,976,981,986"
합  계,,,"7,000,000,000","6,418,330,411",,"7,000,000,000","6,878,801,570"
