0,1,2,3,4,5
구분,2021년,2022년,2023년,2024년,2025년
"국가정보원
사이버보안  실태평가","미흡
(72.65점)","미흡
67.6점","미흡
(75.99점)","미흡
(74.22점)","보통
(83.14점)"
"개인정보보호위원회
개인정보  보호수준  진단",양호,S등급,A등급,S등급,(미실시)
