0
(단위: 원)
"구   분
특수관계자
매출
매입
출자금증가"
"종속회사
코바코파트너스(주)
61,465,200
5,987,274,456
-"
"관계회사
KTBN 방송영상콘텐츠전문투자조합
-
-
(90,964,261)"
